Electronic,,Electrons,
T(electronic),J(electronic),T(electron),J(electron)
47122.685900542965,1.1288378916846837e-21,12733.408800854673,1.2139771890700752e-21
59061.80560425061,2.3930257311804945e-20,14179.138440389723,3.701869055846168e-20
79566.91032255704,1.6237767391887177e-18,16368.757028127064,2.1719114020174302e-18
120596.84233118682,2.1199020238496074e-16,19242.45035183914,1.370383450663168e-16
171596.69708755735,1e-14,22226.724987354115,2.1719114020174214e-15
255488.89102302934,5.86706706599308e-13,28604.287409268036,3.0493728293872644e-13
398152.8679695105,2.2251967709560307e-11,41796.361961370414,7.122485584859922e-11
598580.2232806324,3.2793628590208766e-10,63950.00286502508,4.1788100602942275e-9
950538.662843924,2.905078650510858e-9,106221.37983563652,1.1018063301098247e-7
1683613.5082106534,1.789087489923219e-8,184723.71759384434,9.76053637307901e-7
3009847.053834082,7.122485584859921e-8,242534.81561295735,0.000002019589750164386
5480700.124470868,1.704429127453198e-7,361638.0663043299,0.000004178810060294227
16596302.96847862,7.297227644686407e-7,612441.1255172848,0.000006951927961775619
35271040.32407199,0.0000015098971606184232,1027799.0776157312,0.000011565326417902536
70990885.29810889,0.000002335721469090126,1756822.3252303402,0.000012437607347260183
97559317.17452641,0.0000031241857136026744,2975782.1194044542,0.000013375677515263378
,,6866019.337229766,0.000010754220761125645
,,15278926.044416118,0.000006011008864405594
,,25653368.991600994,0.000003359818286283788
,,43073467.42420061,0.0000017462453520016209
,,97630885.36781543,5.867067065993116e-7
