Default Dataset,
X,Y
10.052356020942405,0.6716417910447774
10.471204188481671,9.537313432835816
11.308900523560204,17.59701492537313
12.774869109947645,26.19402985074626
14.24083769633507,33.582089552238806
17.382198952879577,41.238805970149244
22.40837696335079,47.14925373134328
31.41361256544502,51.71641791044775
43.141361256544485,54.26865671641791
55.916230366492144,56.41791044776119
76.43979057591622,59.238805970149244
96.54450261780104,62.05970149253731
117.48691099476437,65.01492537313432
137.5916230366492,67.97014925373134
149.31937172774866,69.44776119402984
161.46596858638742,71.46268656716417
173.8219895287958,73.2089552238806
184.5026178010471,74.955223880597
192.0418848167539,76.29850746268656
199.79057591623035,77.64179104477611
