# wavelength (nm)
# intensity (erg s-1 cm-2 nm-1 sr-1)
col1 col2
91.2 9.823751131366073e-07
92.2 1.2905681472244567e-06
93.2 1.5877750561054454e-06
94.2 1.872915981340822e-06
95.2 2.145212148419471e-06
96.2 2.4041373538014497e-06
97.2 2.6493854569867156e-06
98.2 2.8808237614249964e-06
99.2 3.0984524021516566e-06
100.2 3.3024071831140825e-06
101.2 3.492893517434233e-06
102.2 3.6701861153421502e-06
103.2 3.834668515687027e-06
104.2 3.986739875085586e-06
105.2 4.126784173096881e-06
106.2 4.2552900049942594e-06
107.2 4.372698243029917e-06
108.2 4.479491899608905e-06
109.2 4.576165246084558e-06
110.2 4.663165923935562e-06
111.2 4.7410107654176304e-06
112.2 4.810141822193163e-06
113.2 4.87101345440622e-06
114.2 4.924064107659914e-06
115.2 4.969744447560491e-06
116.2 5.008462418636757e-06
117.2 5.040612042396057e-06
118.2 5.0666007535500035e-06
119.2 5.0868223145044475e-06
120.2 5.101578477432762e-06
121.2 5.111239291303923e-06
122.2 5.1161626921910305e-06
123.2 5.116592347892946e-06
124.2 5.112891354249369e-06
125.2 5.1053101993487755e-06
126.2 5.094116483596758e-06
127.2 5.07954453752158e-06
128.2 5.061895362932376e-06
129.2 5.041338292589486e-06
130.2 5.0181103032569314e-06
131.2 4.992417049794545e-06
132.2 4.9644579645247946e-06
133.2 4.934402755625533e-06
134.2 4.902416072908649e-06
135.2 4.868681078963597e-06
136.2 4.8333291323864005e-06
137.2 4.796510805274465e-06
138.2 4.758372311632649e-06
139.2 4.7190329517963235e-06
140.2 4.678608622382306e-06
141.2 4.637211936817132e-06
142.2 4.594952340779757e-06
143.2 4.551914145106334e-06
144.2 4.508201246509777e-06
145.2 4.4639146795346e-06
146.2 4.419109465102026e-06
147.2 4.373860606762955e-06
148.2 4.328262416520179e-06
149.2 4.282364298189099e-06
150.2 4.2362353886844e-06
151.2 4.189942995901857e-06
152.2 4.14351111443153e-06
153.2 4.0970043855683515e-06
154.2 4.050485773790266e-06
155.2 4.003955508792796e-06
156.2 3.957515015630521e-06
157.2 3.911142469607009e-06
158.2 3.864916519683561e-06
159.2 3.818834403370854e-06
160.2 3.772952631776805e-06
161.2 3.727287088850654e-06
162.2 3.6818532668289597e-06
163.2 3.636705022437256e-06
164.2 3.5918178839358137e-06
165.2 3.5472636599773154e-06
166.2 3.5030173188505567e-06
167.2 3.4590922449949997e-06
168.2 3.4155390970224582e-06
169.2 3.3723512805023824e-06
170.2 3.3295409313479094e-06
171.2 3.2871383687848003e-06
172.2 3.245118128895822e-06
173.2 3.2034918430825383e-06
174.2 3.1623071733317094e-06
175.2 3.1215204672361756e-06
176.2 3.0811787775164506e-06
177.2 3.0412567284620333e-06
178.2 3.001782738319562e-06
179.2 2.962749306102788e-06
180.2 2.9241490973290416e-06
181.2 2.8859923871442633e-06
182.2 2.8482892251148997e-06
183.2 2.811032184142335e-06
184.2 2.7742311619660016e-06
185.2 2.7378787716723526e-06
186.2 2.7019677850355653e-06
187.2 2.6665080167768106e-06
188.2 2.6314922742545667e-06
189.2 2.5969135168916178e-06
190.2 2.5627980964128266e-06
191.2 2.5291056725242637e-06
192.2 2.4958625410832456e-06
193.2 2.4630453614887567e-06
194.2 2.4306801131332146e-06
195.2 2.398727457659735e-06
196.2 2.367213313900636e-06
197.2 2.3361310107852114e-06
198.2 2.3054580606812496e-06
199.2 2.2752041697520984e-06
200.2 2.2643132688202937e-06
201.2 2.260931616954994e-06
202.2 2.2575677780321123e-06
203.2 2.254221489065295e-06
204.2 2.2509079747210714e-06
205.2 2.2476113487877398e-06
206.2 2.2443313655561203e-06
207.2 2.2410830423943046e-06
208.2 2.2378507380583775e-06
209.2 2.234634222832864e-06
210.2 2.2314332713736555e-06
211.2 2.228262631954781e-06
212.2 2.2251069772298944e-06
213.2 2.2219660963449532e-06
214.2 2.218854542078919e-06
215.2 2.2157572144939185e-06
216.2 2.2126739161799477e-06
217.2 2.2096190091948347e-06
218.2 2.2065776140667183e-06
219.2 2.203549545870549e-06
220.2 2.2005346230404957e-06
221.2 2.1975469599105336e-06
222.2 2.194586188437907e-06
223.2 2.191623618082656e-06
224.2 2.188687475652073e-06
225.2 2.1857633703355557e-06
226.2 2.1828651191774514e-06
227.2 2.1799784656229686e-06
228.2 2.177103257205801e-06
229.2 2.174253137867318e-06
