table,species,Z,NH,H_loss_p0,H_loss_p1,H_loss_p2,H_loss_p3,H_loss_p4,H2_loss_p0,H2_loss_p1,H2_loss_p2,H2_loss_p3,H2_loss_p4
Table B.1,coronene (C24),-1,12,-6.131,1.154,-0.153,0.038,-0.001,-8.163,0.909,0.119,-0.047,0.006
Table B.1,coronene (C24),-1,13,3.405,0.999,0.001,-0.001,0.0,,,,,
Table B.1,coronene (C24),-1,14,3.448,0.999,0.004,-0.002,0.0,,,,,
Table B.1,coronene (C24),0,1,-3.814,1.083,-0.065,0.008,0.002,,,,,
Table B.1,coronene (C24),0,2,-5.82,1.198,-0.206,0.057,-0.003,-7.87,0.933,0.096,-0.042,0.006
Table B.1,coronene (C24),0,3,-1.85,0.947,0.083,-0.039,0.006,,,,,
Table B.1,coronene (C24),0,12,-5.8,1.192,-0.198,0.054,-0.003,-7.849,0.925,0.104,-0.043,0.006
Table B.1,coronene (C24),0,13,3.791,1.001,0.004,-0.002,0.0,,,,,
Table B.1,coronene (C24),0,14,3.693,0.997,0.005,-0.003,0.0,,,,,
Table B.1,coronene (C24),1,1,-2.082,1.166,-0.014,-0.019,0.004,,,,,
Table B.1,coronene (C24),1,2,-3.901,0.96,0.064,-0.031,0.005,-6.494,0.907,0.116,-0.043,0.005
Table B.1,coronene (C24),1,3,-2.359,0.917,0.109,-0.043,0.005,,,,,
Table B.1,coronene (C24),1,4,-4.356,0.986,0.038,-0.023,0.004,-6.866,0.898,0.136,-0.05,0.006
Table B.1,coronene (C24),1,5,-2.698,0.931,0.096,-0.041,0.005,,,,,
Table B.1,coronene (C24),1,6,-4.083,1.087,-0.06,0.005,0.001,-6.592,0.892,0.128,-0.045,0.005
Table B.1,coronene (C24),1,7,-3.135,1.076,-0.044,0.0,0.002,,,,,
Table B.1,coronene (C24),1,8,-5.225,1.143,-0.13,0.028,0.0,-7.481,0.9,0.126,-0.047,0.006
Table B.1,coronene (C24),1,9,-3.54,0.962,0.064,-0.031,0.005,,,,,
Table B.1,coronene (C24),1,10,-5.728,1.108,-0.088,0.017,0.001,-7.884,0.9,0.139,-0.051,0.006
Table B.1,coronene (C24),1,11,-3.929,1.02,0.03,-0.023,0.004,,,,,
Table B.1,coronene (C24),1,12,-6.106,1.151,-0.15,0.037,-0.001,-8.155,0.912,0.114,-0.044,0.005
Table B.1,coronene (C24),1,13,3.254,1.047,-0.021,0.004,0.0,,,,,
Table B.1,coronene (C24),1,14,3.007,0.998,0.004,-0.002,0.0,,,,,
