#---------- ---- ----- ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                                                                                                        
#          Mass  Age   [Fe/H  [O/F   [Na/F  [Mg/F  [Al/F  [Si/F  [K/F   [Ca/F  [Ti/F  [V/F   [Cr/F  [Ni/F  [Ba/F
#                      ]([     e] ([  e] ([  e] ([  e] ([  e] ([  e] ([  e] ([  e] ([  e] ([  e] ([  e] ([  e] ([
#HD                    Sun])  Sun])  Sun])  Sun])  Sun])  Sun])  Sun])  Sun])  Sun])  Sun])  Sun])  Sun])  Sun])
#---------- ---- ----- ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
       400  1.2  4.2  -0.23   0.18  -0.04   0.05  -0.03   0.07   0.19   0.08   0.00  -0.10 -10.00   0.00   0.09
      3454  0.9  9.1  -0.59   0.30  -0.06   0.15 -10.00   0.06   0.38   0.14   0.18   0.14 -10.00   0.01   0.17
      5750  1.0  6.0  -0.44   0.14  -0.05   0.25 -10.00   0.07   0.26   0.08 -10.00 -10.00  -0.05  -0.03   0.17
      6834  1.0  6.3  -0.73   0.34 -10.00 -10.00 -10.00   0.23 -10.00   0.09 -10.00 -10.00 -10.00   0.06   0.13
      6840  1.1  6.8  -0.45   0.25   0.04   0.21   0.17   0.08   0.22   0.10   0.04   0.05   0.06   0.00   0.08
     10307  1.0  9.1  -0.05   0.06   0.02   0.05   0.17   0.03   0.11   0.07  -0.07  -0.05   0.06   0.05  -0.07
     11007  1.2  4.9  -0.16   0.06  -0.11   0.05  -0.05   0.01   0.20   0.07  -0.01   0.01  -0.12   0.05   0.04
     11592  1.1  5.5  -0.41   0.21   0.04   0.12   0.01   0.10   0.27   0.11  -0.08 -10.00  -0.06   0.01   0.09
    19373A  1.1  5.7   0.03   0.10   0.06   0.12   0.11   0.02   0.10   0.04  -0.04 -10.00  -0.02   0.06  -0.10
     22484  1.1  6.3  -0.13   0.20   0.00   0.12   0.08   0.06   0.18   0.03   0.00  -0.02   0.00   0.06   0.02
     24421  1.0  7.9  -0.37   0.18  -0.09   0.06  -0.10   0.07   0.14   0.10  -0.05   0.04  -0.05   0.02   0.04
     25173  1.0  7.9  -0.62   0.24  -0.02   0.12   0.04   0.09   0.38   0.09   0.04   0.09   0.01   0.00   0.09
     25457  1.2  3.5  -0.11   0.11 -10.00  -0.06 -10.00   0.04  -0.09  -0.02  -0.08 -10.00 -10.00  -0.02   0.12
     25998  1.2  4.2  -0.11   0.14 -10.00   0.09 -10.00   0.08  -0.10  -0.05 -10.00 -10.00   0.11   0.02   0.05
    33632A  1.1  6.0  -0.23   0.20  -0.14   0.07  -0.02   0.08   0.14   0.05  -0.10  -0.10  -0.03   0.00   0.19
    34411A  1.0  9.4   0.01   0.07  -0.01   0.15   0.12   0.02   0.04   0.04  -0.10  -0.01   0.00   0.04  -0.09
    35296A  1.0  7.5  -0.14   0.17 -10.00  -0.10 -10.00   0.07   0.19   0.15  -0.01  -0.01   0.04  -0.05   0.24
     39587  0.9 10.7  -0.18   0.10 -10.00  -0.09   0.08   0.04   0.05   0.05   0.00   0.00   0.00  -0.04   0.21
     39833  1.0  9.4   0.04   0.03  -0.01   0.04   0.15   0.08  -0.03   0.05  -0.02   0.00   0.03   0.00   0.05
     41640  0.9  7.2  -0.62   0.20  -0.02   0.13  -0.12   0.09   0.13   0.09   0.03   0.16  -0.02  -0.01   0.04
     43947  1.0  9.8  -0.33   0.17  -0.06   0.12  -0.01   0.02   0.22   0.06  -0.01  -0.03   0.09   0.04   0.08
     46317  1.2  3.7  -0.24   0.14  -0.09   0.08  -0.11   0.00   0.22   0.11  -0.01  -0.01  -0.06  -0.05   0.22
     49732  1.0  6.3  -0.70   0.26   0.06   0.10 -10.00   0.14   0.36   0.14   0.09   0.17  -0.02   0.03   0.16
     54717  1.1  4.6  -0.44   0.23  -0.11   0.07  -0.14   0.06   0.25   0.08   0.21   0.16   0.08  -0.03   0.22
     55575  1.0 10.6  -0.36   0.21  -0.02   0.13   0.00   0.05   0.11   0.08   0.01  -0.04  -0.06   0.00   0.00
     58551  1.0  5.9  -0.54   0.24   0.01 -10.00   0.04   0.09   0.27   0.15   0.10   0.04   0.12   0.01   0.09
     58855  1.2  3.6  -0.31   0.14  -0.01   0.03 -10.00   0.04   0.17   0.09   0.09   0.03  -0.12  -0.04   0.17
     59380  1.2  4.2  -0.17   0.16 -10.00   0.02   0.04  -0.01   0.18   0.10   0.03   0.12  -0.01  -0.01   0.16
    59984A  1.0  7.8  -0.71   0.30  -0.13   0.21  -0.06   0.03   0.25   0.15   0.12   0.04  -0.05   0.01   0.01
     60319  0.8 17.0  -0.85   0.33   0.01   0.28   0.11   0.18   0.39   0.16   0.16   0.10   0.03   0.05   0.09
     62301  0.9 12.2  -0.67   0.32  -0.04   0.25   0.08   0.13   0.32   0.14   0.11   0.17  -0.02   0.02   0.07
     63333  1.0  7.5  -0.39   0.17   0.02 -10.00  -0.05   0.08   0.14   0.08   0.05  -0.02  -0.04   0.03   0.08
    68146A  1.1  4.9  -0.09   0.07  -0.01   0.04 -10.00   0.04   0.13   0.05   0.10   0.06  -0.06  -0.01  -0.02
     69897  1.2  3.3  -0.28   0.19  -0.07   0.22  -0.09   0.02   0.24   0.09   0.00   0.07  -0.01   0.00   0.23
    72945A  1.2  2.8   0.00   0.07  -0.06   0.12 -10.00  -0.01   0.01   0.06  -0.04   0.00   0.00   0.01  -0.06
     75332  1.1  3.9   0.00   0.16  -0.12   0.04 -10.00  -0.01   0.05   0.02  -0.05   0.00  -0.11  -0.03   0.08
     76349  1.0  8.1  -0.49   0.22   0.04   0.25   0.04   0.05   0.21   0.11   0.12   0.03  -0.05   0.06   0.01
    78418A  1.2  5.9  -0.26   0.14   0.02 -10.00 -10.00   0.10 -10.00   0.03  -0.03   0.06  -0.02   0.05 -10.00
     79028  0.9  7.4  -0.05   0.09   0.00   0.08   0.11   0.04   0.05   0.01  -0.05  -0.06   0.00   0.02  -0.01
     80218  1.2  4.9  -0.28   0.19   0.02   0.19  -0.05   0.09   0.32   0.10   0.07   0.01  -0.02   0.00   0.00
    89125A  1.1  6.5  -0.36   0.14  -0.04   0.13  -0.03   0.03   0.24   0.11   0.00  -0.05   0.05   0.00   0.14
    90839A  1.0  5.2  -0.18   0.11  -0.13   0.07   0.08   0.05   0.00   0.04   0.00   0.03   0.00  -0.02   0.18
    91889A  1.1  5.8  -0.24   0.09  -0.12   0.13   0.09   0.01   0.25   0.12  -0.03   0.01  -0.04   0.02   0.14
     94280  1.1  4.8   0.06   0.01  -0.01 -10.00   0.07   0.00   0.07  -0.01   0.04   0.00   0.00   0.04  -0.17
     95128  0.9 12.1  -0.12   0.14   0.01   0.09   0.18   0.11   0.03   0.04  -0.01  -0.03  -0.03   0.03  -0.08
     97916  1.0  5.5  -0.94   0.37 -10.00 -10.00 -10.00   0.39   0.28   0.37 -10.00 -10.00 -10.00   0.05  -0.01
   100180A  0.9  9.2  -0.11   0.14  -0.06 -10.00   0.10   0.04   0.09   0.04   0.00  -0.03  -0.03  -0.02   0.06
    100446  1.0  8.8  -0.48   0.22  -0.02   0.11 -10.00   0.05   0.25   0.08   0.04   0.10  -0.07  -0.01   0.10
    100563  1.3  1.6  -0.02   0.09 -10.00  -0.03 -10.00   0.01   0.17   0.03   0.05 -10.00 -10.00  -0.04   0.00
    101676  1.1  6.1  -0.47   0.15   0.08   0.22  -0.06   0.08   0.29   0.14  -0.02   0.07   0.01   0.01   0.10
   106516A  0.9  9.3  -0.71   0.47   0.12   0.30 -10.00   0.21   0.44   0.26   0.29   0.05   0.01   0.02  -0.07
    108510  1.0  5.2  -0.06   0.09  -0.01   0.13   0.05   0.03  -0.03  -0.02  -0.01   0.00  -0.01   0.03  -0.05
    109303  1.0  8.4  -0.61   0.21 -10.00   0.14   0.09   0.10   0.36   0.14   0.10  -0.04 -10.00   0.01   0.16
   114710A  0.9  9.6  -0.05   0.11  -0.11   0.05   0.01   0.07  -0.02   0.06  -0.08  -0.03   0.00  -0.01   0.07
   115383A  1.1  5.7   0.00   0.22   0.00   0.13   0.17   0.06   0.13   0.06  -0.01  -0.03  -0.02   0.01   0.05
    118244  1.1  5.8  -0.55   0.20   0.09   0.26  -0.07   0.08   0.44   0.17   0.21 -10.00   0.04   0.01   0.15
    121560  1.0  7.1  -0.38   0.12  -0.10   0.09  -0.14   0.02   0.13   0.04   0.05   0.01  -0.10  -0.02   0.07
    124244  1.2  5.8   0.05   0.01  -0.04 -10.00   0.22   0.04   0.11   0.01   0.13   0.08   0.00   0.10  -0.05
    128385  1.1  5.5  -0.33   0.16   0.05   0.02   0.04   0.05   0.14   0.08   0.01   0.01  -0.03  -0.01   0.01
