# Object	Reference	Metallicity	[Fe/H]	[O/Fe]
2MASSJ001142580109386	C.L.KieltyMNRAS4714042017	-2.18	-2.18	0.17
2MASSJ021218514923143	C.L.KieltyMNRAS4714042017	-1.82	-1.82	0.63
2MASSJ05352696-0510173	C.L.KieltyMNRAS4714042017	-1.9	-1.9	0.43
2MASSJ115844355518120	C.L.KieltyMNRAS4714042017	-1.8	-1.8	0.42
2MASSJ12473823-0814340	C.L.KieltyMNRAS4714042017	-2.24	-2.24	1.05
2MASSJ145719881751501	C.L.KieltyMNRAS4714042017	-1.9	-1.9	0.46
2MASSJ153125474220551	C.L.KieltyMNRAS4714042017	-2.08	-2.08	0.03
2MASSJ16300629-1252459	C.L.KieltyMNRAS4714042017	-1.95	-1.95	0.5
2MASSJ16334467-1343201	C.L.KieltyMNRAS4714042017	-2.1	-2.1	0.37
2MASSJ163856803635073	C.L.KieltyMNRAS4714042017	-1.84	-1.84	0.41
2MASSJ165621031002085	C.L.KieltyMNRAS4714042017	-1.98	-1.98	0.59
2MASSJ18111704-2352577	C.L.KieltyMNRAS4714042017	-1.82	-1.82	0.46
2MASSJ213306831209406	C.L.KieltyMNRAS4714042017	-2.01	-2.01	0.47
2MJ02134021-0005183	C.M.SakariApJ8681102018	-1.88	-1.88	-0.06
2MJ13072823-0931148	C.M.SakariApJ8681102018	-1.98	-1.98	-0.1
2MJ13402720-0016031	C.M.SakariApJ8681102018	-2.43	-2.43	0.15
2MJ15211026-0607566	C.M.SakariApJ8681102018	-2	-2	-0.06
b6b002	C.R.daSilveiraAAP614A1492018	0.05	0.05	-0.2
b6b003	C.R.daSilveiraAAP614A1492018	-0.73	-0.73	0.32
b6b005	C.R.daSilveiraAAP614A1492018	-0.42	-0.42	0.22
b6b006	C.R.daSilveiraAAP614A1492018	-0.61	-0.61	0.27
b6b007	C.R.daSilveiraAAP614A1492018	-0.04	-0.04	-0.05
b6b009	C.R.daSilveiraAAP614A1492018	-1.03	-1.03	0.42
b6b010	C.R.daSilveiraAAP614A1492018	0	0	0.07
b6b012	C.R.daSilveiraAAP614A1492018	0.05	0.05	-0.16
b6b013	C.R.daSilveiraAAP614A1492018	0.08	0.08	-0.01
b6b015	C.R.daSilveiraAAP614A1492018	-0.38	-0.38	0.32
b6b018	C.R.daSilveiraAAP614A1492018	-0.39	-0.39	0.12
b6b019	C.R.daSilveiraAAP614A1492018	-0.26	-0.26	0.12
b6b020	C.R.daSilveiraAAP614A1492018	0.02	0.02	0.05
b6b021	C.R.daSilveiraAAP614A1492018	-0.76	-0.76	0.37
b6b022	C.R.daSilveiraAAP614A1492018	-0.2	-0.2	0.12
b6b023	C.R.daSilveiraAAP614A1492018	0.09	0.09	-0.08
b6b024	C.R.daSilveiraAAP614A1492018	-1.16	-1.16	0.37
b6b026	C.R.daSilveiraAAP614A1492018	-0.55	-0.55	0.32
b6b028	C.R.daSilveiraAAP614A1492018	-0.55	-0.55	0.32
b6b030	C.R.daSilveiraAAP614A1492018	-0.12	-0.12	-0.08
b6b033	C.R.daSilveiraAAP614A1492018	-0.66	-0.66	0.37
b6b034	C.R.daSilveiraAAP614A1492018	-0.5	-0.5	0.32
b6b037	C.R.daSilveiraAAP614A1492018	-0.56	-0.56	0.35
b6b038	C.R.daSilveiraAAP614A1492018	-0.09	-0.09	0.02
b6b039	C.R.daSilveiraAAP614A1492018	-0.32	-0.32	0.17
b6b041	C.R.daSilveiraAAP614A1492018	-0.47	-0.47	0.22
b6b042	C.R.daSilveiraAAP614A1492018	-0.22	-0.22	0.07
b6b043	C.R.daSilveiraAAP614A1492018	-0.24	-0.24	0.22
b6b044	C.R.daSilveiraAAP614A1492018	-0.37	-0.37	0.07
b6b045	C.R.daSilveiraAAP614A1492018	-0.47	-0.47	0.34
b6b046	C.R.daSilveiraAAP614A1492018	-0.02	-0.02	-0.05
b6b048	C.R.daSilveiraAAP614A1492018	-0.95	-0.95	0.4
b6b049	C.R.daSilveiraAAP614A1492018	-0.32	-0.32	0.27
b6b050	C.R.daSilveiraAAP614A1492018	0.15	0.15	-0.28
b6b051	C.R.daSilveiraAAP614A1492018	-0.32	-0.32	0.02
b6b052	C.R.daSilveiraAAP614A1492018	-0.61	-0.61	0.32
b6b054	C.R.daSilveiraAAP614A1492018	0.07	0.07	-0.18
b6b055	C.R.daSilveiraAAP614A1492018	-0.39	-0.39	0.27
b6b058	C.R.daSilveiraAAP614A1492018	-0.37	-0.37	<-0.23
b6b060	C.R.daSilveiraAAP614A1492018	-0.42	-0.42	0.32
b6b061	C.R.daSilveiraAAP614A1492018	-0.39	-0.39	0.25
b6b062	C.R.daSilveiraAAP614A1492018	-0.6	-0.6	0.4
b6b067	C.R.daSilveiraAAP614A1492018	-0.48	-0.48	0.2
b6b072	C.R.daSilveiraAAP614A1492018	-0.57	-0.57	0.32
b6b073	C.R.daSilveiraAAP614A1492018	-0.88	-0.88	0.72
