# Object	Reference	Metallicity	[Fe/H]	[N/Fe]
2MASSJ00114258+0109386	C.L.Kielty+MNRAS4714042017	-2.18	-2.18	1.08
2MASSJ02121851+4923143	C.L.Kielty+MNRAS4714042017	-1.82	-1.82	0.58
2MASSJ05352696-0510173	C.L.Kielty+MNRAS4714042017	-1.9	-1.9	-0.34
2MASSJ11584435+5518120	C.L.Kielty+MNRAS4714042017	-1.8	-1.8	0.54
2MASSJ12473823-0814340	C.L.Kielty+MNRAS4714042017	-2.24	-2.24	0
2MASSJ14571988+1751501	C.L.Kielty+MNRAS4714042017	-1.9	-1.9	0.81
2MASSJ15312547+4220551	C.L.Kielty+MNRAS4714042017	-2.08	-2.08	1.05
2MASSJ16300629-1252459	C.L.Kielty+MNRAS4714042017	-1.95	-1.95	0.97
2MASSJ16334467-1343201	C.L.Kielty+MNRAS4714042017	-2.1	-2.1	1.16
2MASSJ16385680+3635073	C.L.Kielty+MNRAS4714042017	-1.84	-1.84	0.43
2MASSJ16562103+1002085	C.L.Kielty+MNRAS4714042017	-1.98	-1.98	1.09
2MASSJ18111704-2352577	C.L.Kielty+MNRAS4714042017	-1.82	-1.82	0.72
2MASSJ21330683+1209406	C.L.Kielty+MNRAS4714042017	-2.01	-2.01	1.01
b6b002	C.R.daSilveira+AAP614A1492018	0.05	0.05	0.59
b6b003	C.R.daSilveira+AAP614A1492018	-0.73	-0.73	0.54
b6b004	C.R.daSilveira+AAP614A1492018	-1.25	-1.25	0.14
b6b005	C.R.daSilveira+AAP614A1492018	-0.42	-0.42	0.49
b6b006	C.R.daSilveira+AAP614A1492018	-0.61	-0.61	0.54
b6b007	C.R.daSilveira+AAP614A1492018	-0.04	-0.04	0.44
b6b009	C.R.daSilveira+AAP614A1492018	-1.03	-1.03	0.64
b6b010	C.R.daSilveira+AAP614A1492018	0	0	0.64
b6b011	C.R.daSilveira+AAP614A1492018	-1.13	-1.13	1.14
b6b012	C.R.daSilveira+AAP614A1492018	0.05	0.05	0.29
b6b013	C.R.daSilveira+AAP614A1492018	0.08	0.08	0.39
b6b015	C.R.daSilveira+AAP614A1492018	-0.38	-0.38	0.64
b6b016	C.R.daSilveira+AAP614A1492018	-0.81	-0.81	0.84
b6b017	C.R.daSilveira+AAP614A1492018	-0.03	-0.03	0.64
b6b018	C.R.daSilveira+AAP614A1492018	-0.39	-0.39	0.44
b6b019	C.R.daSilveira+AAP614A1492018	-0.26	-0.26	0.49
b6b020	C.R.daSilveira+AAP614A1492018	0.02	0.02	0.24
b6b021	C.R.daSilveira+AAP614A1492018	-0.76	-0.76	0.84
b6b022	C.R.daSilveira+AAP614A1492018	-0.2	-0.2	0.44
b6b023	C.R.daSilveira+AAP614A1492018	0.09	0.09	0.49
b6b024	C.R.daSilveira+AAP614A1492018	-1.16	-1.16	0.64
b6b026	C.R.daSilveira+AAP614A1492018	-0.55	-0.55	0.29
b6b028	C.R.daSilveira+AAP614A1492018	-0.55	-0.55	0.44
b6b029	C.R.daSilveira+AAP614A1492018	-1.1	-1.1	0.44
b6b030	C.R.daSilveira+AAP614A1492018	-0.12	-0.12	0.44
b6b031	C.R.daSilveira+AAP614A1492018	-1.26	-1.26	0.14
b6b033	C.R.daSilveira+AAP614A1492018	-0.66	-0.66	0.54
b6b034	C.R.daSilveira+AAP614A1492018	-0.5	-0.5	0.84
b6b036	C.R.daSilveira+AAP614A1492018	-0.9	-0.9	0.54
b6b037	C.R.daSilveira+AAP614A1492018	-0.56	-0.56	0.54
b6b038	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.44
b6b039	C.R.daSilveira+AAP614A1492018	-0.32	-0.32	0.54
b6b040	C.R.daSilveira+AAP614A1492018	-0.14	-0.14	0.44
b6b041	C.R.daSilveira+AAP614A1492018	-0.47	-0.47	0.54
b6b042	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.34
b6b043	C.R.daSilveira+AAP614A1492018	-0.24	-0.24	0.54
b6b044	C.R.daSilveira+AAP614A1492018	-0.37	-0.37	0.54
b6b045	C.R.daSilveira+AAP614A1492018	-0.47	-0.47	0.54
b6b046	C.R.daSilveira+AAP614A1492018	-0.02	-0.02	0.39
b6b048	C.R.daSilveira+AAP614A1492018	-0.95	-0.95	0.64
b6b049	C.R.daSilveira+AAP614A1492018	-0.32	-0.32	0.74
b6b050	C.R.daSilveira+AAP614A1492018	0.15	0.15	0.54
b6b051	C.R.daSilveira+AAP614A1492018	-0.32	-0.32	0.54
b6b052	C.R.daSilveira+AAP614A1492018	-0.61	-0.61	0.59
b6b053	C.R.daSilveira+AAP614A1492018	-0.52	-0.52	0.44
b6b054	C.R.daSilveira+AAP614A1492018	0.07	0.07	0.44
b6b055	C.R.daSilveira+AAP614A1492018	-0.39	-0.39	0.34
b6b056	C.R.daSilveira+AAP614A1492018	-0.6	-0.6	0.39
b6b058	C.R.daSilveira+AAP614A1492018	-0.37	-0.37	0.44
b6b060	C.R.daSilveira+AAP614A1492018	-0.42	-0.42	0.69
b6b061	C.R.daSilveira+AAP614A1492018	-0.39	-0.39	0.44
b6b062	C.R.daSilveira+AAP614A1492018	-0.6	-0.6	0.74
b6b064	C.R.daSilveira+AAP614A1492018	-1	-1	0.14
b6b065	C.R.daSilveira+AAP614A1492018	-0.62	-0.62	0.14
b6b066	C.R.daSilveira+AAP614A1492018	-0.32	-0.32	0.64
b6b067	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.14
b6b069	C.R.daSilveira+AAP614A1492018	-0.39	-0.39	0.44
b6b070	C.R.daSilveira+AAP614A1492018	-0.26	-0.26	0.44
b6b072	C.R.daSilveira+AAP614A1492018	-0.57	-0.57	0.74
b6b073	C.R.daSilveira+AAP614A1492018	-0.88	-0.88	0.44
b6b074	C.R.daSilveira+AAP614A1492018	-0.06	-0.06	0.54
b6b075	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.74
b6b077	C.R.daSilveira+AAP614A1492018	-0.84	-0.84	0.64
b6b078	C.R.daSilveira+AAP614A1492018	-0.18	-0.18	0.24
b6b080	C.R.daSilveira+AAP614A1492018	0.19	0.19	0.14
b6b081	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.44
b6b082	C.R.daSilveira+AAP614A1492018	-0.08	-0.08	0.44
b6b083	C.R.daSilveira+AAP614A1492018	-0.5	-0.5	0.64
b6b084	C.R.daSilveira+AAP614A1492018	0.19	0.19	0.44
b6b085	C.R.daSilveira+AAP614A1492018	-0.36	-0.36	0.54
b6b087	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.39
b6b088	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.54
b6b090	C.R.daSilveira+AAP614A1492018	0.21	0.21	0.44
b6b091	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.54
b6b092	C.R.daSilveira+AAP614A1492018	-0.42	-0.42	0.54
b6b093	C.R.daSilveira+AAP614A1492018	-0.11	-0.11	0.54
b6b095	C.R.daSilveira+AAP614A1492018	-0.51	-0.51	0.64
b6b099	C.R.daSilveira+AAP614A1492018	-0.21	-0.21	0.64
b6b100	C.R.daSilveira+AAP614A1492018	-0.4	-0.4	0.64
b6b102	C.R.daSilveira+AAP614A1492018	0.09	0.09	0.69
b6b103	C.R.daSilveira+AAP614A1492018	-0.4	-0.4	0.14
b6b104	C.R.daSilveira+AAP614A1492018	-0.08	-0.08	0.44
b6b105	C.R.daSilveira+AAP614A1492018	-0.05	-0.05	0.54
b6b108	C.R.daSilveira+AAP614A1492018	-0.56	-0.56	0.54
b6b109	C.R.daSilveira+AAP614A1492018	0	0	0.69
b6b111	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.54
b6b112	C.R.daSilveira+AAP614A1492018	-0.14	-0.14	0.49
b6b113	C.R.daSilveira+AAP614A1492018	-0.43	-0.43	0.54
b6b114	C.R.daSilveira+AAP614A1492018	-0.02	-0.02	0.74
b6b116	C.R.daSilveira+AAP614A1492018	-1.15	-1.15	0.14
b6b118	C.R.daSilveira+AAP614A1492018	0.06	0.06	0.44
b6b119	C.R.daSilveira+AAP614A1492018	0	0	0.44
b6b120	C.R.daSilveira+AAP614A1492018	0.39	0.39	0.24
b6b121	C.R.daSilveira+AAP614A1492018	-0.77	-0.77	0.14
b6b122	C.R.daSilveira+AAP614A1492018	-0.01	-0.01	0.49
b6b123	C.R.daSilveira+AAP614A1492018	0.05	0.05	0.79
b6b124	C.R.daSilveira+AAP614A1492018	-0.31	-0.31	0.64
b6b126	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.44
b6b127	C.R.daSilveira+AAP614A1492018	-0.17	-0.17	0.64
b6b128	C.R.daSilveira+AAP614A1492018	0	0	0.34
b6b129	C.R.daSilveira+AAP614A1492018	0.18	0.18	0.14
b6b132	C.R.daSilveira+AAP614A1492018	0.04	0.04	0.49
b6b134	C.R.daSilveira+AAP614A1492018	-0.29	-0.29	0.44
b6f003	C.R.daSilveira+AAP614A1492018	0.11	0.11	0.59
b6f005	C.R.daSilveira+AAP614A1492018	0.21	0.21	0.64
b6f006	C.R.daSilveira+AAP614A1492018	0.2	0.2	0.24
b6f008	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.24
b6f010	C.R.daSilveira+AAP614A1492018	0.07	0.07	0.64
b6f011	C.R.daSilveira+AAP614A1492018	0.01	0.01	0.84
b6f013	C.R.daSilveira+AAP614A1492018	0.03	0.03	0.44
b6f015	C.R.daSilveira+AAP614A1492018	0.08	0.08	1.24
b6f016	C.R.daSilveira+AAP614A1492018	0.1	0.1	0.54
b6f017	C.R.daSilveira+AAP614A1492018	0.32	0.32	0.44
b6f018	C.R.daSilveira+AAP614A1492018	-0.56	-0.56	0.54
b6f020	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.44
b6f021	C.R.daSilveira+AAP614A1492018	-0.04	-0.04	0.54
b6f023	C.R.daSilveira+AAP614A1492018	-0.15	-0.15	0.54
b6f024	C.R.daSilveira+AAP614A1492018	-0.28	-0.28	0.44
b6f025	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.44
b6f027	C.R.daSilveira+AAP614A1492018	-0.38	-0.38	0.54
b6f028	C.R.daSilveira+AAP614A1492018	-0.37	-0.37	0.24
b6f029	C.R.daSilveira+AAP614A1492018	0.4	0.4	0.14
b6f030	C.R.daSilveira+AAP614A1492018	-0.27	-0.27	0.49
b6f031	C.R.daSilveira+AAP614A1492018	0	0	0.54
b6f034	C.R.daSilveira+AAP614A1492018	0.26	0.26	0.34
b6f035	C.R.daSilveira+AAP614A1492018	0.44	0.44	-0.01
b6f036	C.R.daSilveira+AAP614A1492018	-0.45	-0.45	0.49
b6f037	C.R.daSilveira+AAP614A1492018	-0.51	-0.51	0.64
b6f038	C.R.daSilveira+AAP614A1492018	0.29	0.29	0.34
b6f039	C.R.daSilveira+AAP614A1492018	-0.46	-0.46	0.54
b6f042	C.R.daSilveira+AAP614A1492018	-0.96	-0.96	0.54
b6f043	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.64
b6f044	C.R.daSilveira+AAP614A1492018	0.29	0.29	0.24
b6f045	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.34
b6f049	C.R.daSilveira+AAP614A1492018	-0.58	-0.58	0.14
b6f051	C.R.daSilveira+AAP614A1492018	-0.38	-0.38	0.44
b6f052	C.R.daSilveira+AAP614A1492018	-0.19	-0.19	0.34
b6f054	C.R.daSilveira+AAP614A1492018	-0.27	-0.27	0.29
b6f055	C.R.daSilveira+AAP614A1492018	-0.06	-0.06	0.84
b6f056	C.R.daSilveira+AAP614A1492018	0.24	0.24	0.44
b6f057	C.R.daSilveira+AAP614A1492018	0.15	0.15	0.54
b6f058	C.R.daSilveira+AAP614A1492018	-0.28	-0.28	0.59
b6f059	C.R.daSilveira+AAP614A1492018	-0.45	-0.45	0.69
b6f061	C.R.daSilveira+AAP614A1492018	0.25	0.25	0.49
b6f062	C.R.daSilveira+AAP614A1492018	-0.01	-0.01	0.74
b6f064	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.49
b6f065	C.R.daSilveira+AAP614A1492018	-0.19	-0.19	0.34
b6f066	C.R.daSilveira+AAP614A1492018	0.12	0.12	0.49
b6f068	C.R.daSilveira+AAP614A1492018	0.17	0.17	0.44
b6f069	C.R.daSilveira+AAP614A1492018	-0.17	-0.17	0.44
b6f070	C.R.daSilveira+AAP614A1492018	0.04	0.04	0.74
b6f071	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.74
b6f072	C.R.daSilveira+AAP614A1492018	-0.28	-0.28	0.64
b6f073	C.R.daSilveira+AAP614A1492018	0.23	0.23	0.34
b6f074	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.64
b6f075	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.64
b6f078	C.R.daSilveira+AAP614A1492018	0.08	0.08	0.59
b6f079	C.R.daSilveira+AAP614A1492018	0.03	0.03	0.54
b6f080	C.R.daSilveira+AAP614A1492018	0.26	0.26	0.34
b6f081	C.R.daSilveira+AAP614A1492018	-0.3	-0.3	0.54
b6f082	C.R.daSilveira+AAP614A1492018	0.03	0.03	0.34
b6f083	C.R.daSilveira+AAP614A1492018	0.13	0.13	0.64
b6f084	C.R.daSilveira+AAP614A1492018	-0.11	-0.11	0.94
b6f085	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.29
b6f086	C.R.daSilveira+AAP614A1492018	-0.03	-0.03	0.54
b6f087	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.44
b6f088	C.R.daSilveira+AAP614A1492018	0.04	0.04	0.79
b6f089	C.R.daSilveira+AAP614A1492018	0.06	0.06	0.64
b6f090	C.R.daSilveira+AAP614A1492018	0.08	0.08	0.49
b6f091	C.R.daSilveira+AAP614A1492018	-0.08	-0.08	0.69
b6f092	C.R.daSilveira+AAP614A1492018	-0.41	-0.41	0.67
b6f093	C.R.daSilveira+AAP614A1492018	-0.2	-0.2	0.54
b6f095	C.R.daSilveira+AAP614A1492018	0.11	0.11	0.74
b6f096	C.R.daSilveira+AAP614A1492018	0.01	0.01	0.54
b6f097	C.R.daSilveira+AAP614A1492018	-0.81	-0.81	0.14
b6f098	C.R.daSilveira+AAP614A1492018	0.03	0.03	0.54
b6f099	C.R.daSilveira+AAP614A1492018	-0.45	-0.45	0.34
b6f100	C.R.daSilveira+AAP614A1492018	-0.06	-0.06	0.49
b6f101	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.54
b6f102	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.49
b6f103	C.R.daSilveira+AAP614A1492018	0	0	0.44
b6f104	C.R.daSilveira+AAP614A1492018	0.17	0.17	0.54
b6f105	C.R.daSilveira+AAP614A1492018	0.17	0.17	0.49
b6f106	C.R.daSilveira+AAP614A1492018	0.18	0.18	0.44
b6f107	C.R.daSilveira+AAP614A1492018	0.21	0.21	0.44
b6f108	C.R.daSilveira+AAP614A1492018	0.02	0.02	0.59
b6f109	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.34
b6f110	C.R.daSilveira+AAP614A1492018	0.23	0.23	0.39
b6f111	C.R.daSilveira+AAP614A1492018	0.18	0.18	0.59
b6f112	C.R.daSilveira+AAP614A1492018	-0.05	-0.05	0.44
