# Object	Reference	Metallicity	[Fe/H]	[S/Fe]
2MASSJ00114258+0109386	C.L.Kielty+MNRAS4714042017	-2.18	-2.18	0.29
2MASSJ02121851+4923143	C.L.Kielty+MNRAS4714042017	-1.82	-1.82	0.63
2MASSJ15312547+4220551	C.L.Kielty+MNRAS4714042017	-2.08	-2.08	0.69
2MASSJ16300629-1252459	C.L.Kielty+MNRAS4714042017	-1.95	-1.95	0.49
2MASSJ18111704-2352577	C.L.Kielty+MNRAS4714042017	-1.82	-1.82	0.37
2MASSJ21330683+1209406	C.L.Kielty+MNRAS4714042017	-2.01	-2.01	0.36
BD+02_263	E.Caffau+AAP4415332005	-2.17	-2.17	1.12
BD+02_3375	P.E.Nissen+AAP4693192007	-2.19	-2.19	0.53
BD+02_3375	D.K.Lai+ApJ66711852007	-2.25	-2.08	
BD+02_3375	J.A.Rich+ApJ70115192009	-2.39	-2.39	
BD+02_3375	C.J.Akerman+AAP4149312004	-2.28	-2.28	
BD+02_3375	T.V.Mishenina+AAP3709512001	-2.25	-2.26	
BD+02_3375	M.Bergemann+MNRAS40113342010	-2.19	-2.19	
BD+02_3375	A.E.GarciaPerez+AAP5042132009	-2.19	-2.19	
BD+02_3375	A.M.Boesgaard+ApJ6333982005	-2.34	-2.32	
BD+02_3375	J.Melendez+AAP515L32010	-2.24	-2.24	
BD+02_3375	P.E.Nissen+AAP4159932004	-2.28	-2.28	0.51
BD+02_3375	M.Bergemann+AAP4928232008	-2.19	-2.19	
BD+02_3375	J.R.Shi+AAP4655872007	-2.19	-2.18	
BD+02_3375	R.G.Gratton+AAP4041872003	-2.32	-2.38	
BD+02_3375	J.Melendez+ApJ64210822006	-2	-2.24	
BD+02_3375	A.M.Boesgaard+AJ1174921999	-2.3	-2.13	
BD+02_3375	T.V.Mishenina+AAP3961892002		-2.26	
BD+02_3375	K.A.Venn+AJ12811772004		-2.32	
BD+02_3375	A.Stephens+AJ12316472002	-2.34	-2.33	
BD+02_3375	J.P.Fulbright+AJ12018412000	-2.2	-2.3	
BD+02_3375	G.S.Bai+AAP4256712004	-2.25	-2.25	
BD+02_3375	C.Charbonnel+AAP4429612005	-2.32	-2.32	
BD+02_3375	E.Caffau+AAP4415332005	-2.37	-2.37	0.55
BD+02_3375	D.Fabbian+AAP50011432009	-2.19	-2.24	
BD+02_3375	T.Gehren+AAP45110652006	-2.19	-2.18	
BD+02_4651	P.E.Nissen+AAP4693192007	-1.69	-1.69	0.5
BD+02_4651	J.Melendez+ApJ64210822006	-1.6	-1.79	
BD+02_4651	Y.Takeda+PASJ63S5372011	-1.69	-1.69	0.42
BD+02_4651	C.J.Akerman+AAP4149312004	-1.8	-1.8	
BD+02_4651	T.V.Mishenina+AAP3961892002		-1.82	
BD+02_4651	K.A.Venn+AJ12811772004		-1.77	
BD+02_4651	T.V.Mishenina+AAP3709512001	-1.82	-1.82	
BD+02_4651	J.P.Fulbright+AJ12018412000	-1.5	-1.75	
BD+02_4651	C.Charbonnel+AAP4429612005	-1.81	-1.81	
BD+02_4651	D.Fabbian+AAP50011432009	-1.69	-1.74	
BD+02_4651	R.Smiljanic+AAP4991032009	-1.5	-1.5	
BD+02_4651	J.Melendez+AAP515L32010	-1.78	-1.78	
BD+02_4651	P.E.Nissen+AAP4159932004	-1.8	-1.8	0.38
BD+04_4551	C.Charbonnel+AAP4429612005	-1.8	-1.8	
