# Object	Reference	Metallicity	[Fe/H]	[Si/Fe]
2MASSJ00114258+0109386	C.L.Kielty+MNRAS4714042017	-2.18	-2.18	0.05
2MASSJ02121851+4923143	C.L.Kielty+MNRAS4714042017	-1.82	-1.82	0.47
2MASSJ03084611-4747083	H.R.Jacobson+ApJ8071712015	-1.56	-1.56	0.28
2MASSJ09380777-0600392	H.R.Jacobson+ApJ8071712015	-2.68	-2.68	-0.42
2MASSJ10294248-0103238	H.R.Jacobson+ApJ8071712015	-2.39	-2.39	0.49
2MASSJ15312547+4220551	C.L.Kielty+MNRAS4714042017	-2.08	-2.08	-0.39
2MASSJ16300629-1252459	C.L.Kielty+MNRAS4714042017	-1.95	-1.95	0.3
2MASSJ18082002-5104378	J.Melendez+AAP585L52016	-4.07	-4.07	0.13
2MASSJ18111704-2352577	C.L.Kielty+MNRAS4714042017	-1.82	-1.82	0.26
2MASSJ21330683+1209406	C.L.Kielty+MNRAS4714042017	-2.01	-2.01	0.27
2MASSJ23203653-3637223	H.R.Jacobson+ApJ8071712015	-2.63	-2.63	0.34
2MASSJ23261426-3719492	H.R.Jacobson+ApJ8071712015	-2.55	-2.55	1.05
2MJ02134021-0005183	C.M.Sakari+ApJ8681102018	-1.88	-1.88	0.64
2MJ11444480-1128167	C.M.Sakari+ApJ8681102018	-2.42	-2.42	0.38
2MJ12091322-1415313	C.M.Sakari+ApJ8681102018	-2.11	-2.11	0.48
2MJ13072823-0931148	C.M.Sakari+ApJ8681102018	-1.98	-1.98	0.54
2MJ13254554-1747547	C.M.Sakari+ApJ8681102018	-2.32	-2.32	0.47
2MJ13402720-0016031	C.M.Sakari+ApJ8681102018	-2.43	-2.43	0.74
2MJ13431929-2358139	C.M.Sakari+ApJ8681102018	-2.47	-2.47	0.08
2MJ14043762+0011117	C.M.Sakari+ApJ8681102018	-1.87	-1.87	0.43
2MJ15211026-0607566	C.M.Sakari+ApJ8681102018	-2	-2	0.56
2MJ22562536-0719562	C.M.Sakari+ApJ8681102018	-2.26	-2.26	0.29
b6b002	C.R.daSilveira+AAP614A1492018	0.05	0.05	-0.06
b6b003	C.R.daSilveira+AAP614A1492018	-0.73	-0.73	0.31
b6b004	C.R.daSilveira+AAP614A1492018	-1.25	-1.25	0.44
b6b005	C.R.daSilveira+AAP614A1492018	-0.42	-0.42	0.3
b6b006	C.R.daSilveira+AAP614A1492018	-0.61	-0.61	0.26
b6b007	C.R.daSilveira+AAP614A1492018	-0.04	-0.04	0.05
b6b008	C.R.daSilveira+AAP614A1492018	-0.5	-0.5	0.22
b6b009	C.R.daSilveira+AAP614A1492018	-1.03	-1.03	0.48
b6b010	C.R.daSilveira+AAP614A1492018	0	0	0.14
b6b011	C.R.daSilveira+AAP614A1492018	-1.13	-1.13	0.5
b6b012	C.R.daSilveira+AAP614A1492018	0.05	0.05	0.13
b6b013	C.R.daSilveira+AAP614A1492018	0.08	0.08	0.16
b6b015	C.R.daSilveira+AAP614A1492018	-0.38	-0.38	0.14
b6b016	C.R.daSilveira+AAP614A1492018	-0.81	-0.81	0.44
b6b017	C.R.daSilveira+AAP614A1492018	-0.03	-0.03	0.03
b6b018	C.R.daSilveira+AAP614A1492018	-0.39	-0.39	0.41
b6b019	C.R.daSilveira+AAP614A1492018	-0.26	-0.26	0.12
b6b020	C.R.daSilveira+AAP614A1492018	0.02	0.02	0.02
b6b021	C.R.daSilveira+AAP614A1492018	-0.76	-0.76	0.43
b6b022	C.R.daSilveira+AAP614A1492018	-0.2	-0.2	0.15
b6b023	C.R.daSilveira+AAP614A1492018	0.09	0.09	0.1
b6b024	C.R.daSilveira+AAP614A1492018	-1.16	-1.16	0.39
b6b026	C.R.daSilveira+AAP614A1492018	-0.55	-0.55	0.24
b6b028	C.R.daSilveira+AAP614A1492018	-0.55	-0.55	0.26
b6b029	C.R.daSilveira+AAP614A1492018	-1.1	-1.1	0.34
b6b030	C.R.daSilveira+AAP614A1492018	-0.12	-0.12	0.3
b6b031	C.R.daSilveira+AAP614A1492018	-1.26	-1.26	0.34
b6b033	C.R.daSilveira+AAP614A1492018	-0.66	-0.66	0.33
b6b034	C.R.daSilveira+AAP614A1492018	-0.5	-0.5	0.29
b6b036	C.R.daSilveira+AAP614A1492018	-0.9	-0.9	0.42
b6b037	C.R.daSilveira+AAP614A1492018	-0.56	-0.56	0.13
b6b038	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.08
b6b039	C.R.daSilveira+AAP614A1492018	-0.32	-0.32	0.14
b6b040	C.R.daSilveira+AAP614A1492018	-0.14	-0.14	0.34
b6b041	C.R.daSilveira+AAP614A1492018	-0.47	-0.47	0.4
b6b042	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.15
b6b043	C.R.daSilveira+AAP614A1492018	-0.24	-0.24	0.12
b6b044	C.R.daSilveira+AAP614A1492018	-0.37	-0.37	0.13
b6b045	C.R.daSilveira+AAP614A1492018	-0.47	-0.47	0.3
b6b046	C.R.daSilveira+AAP614A1492018	-0.02	-0.02	0.11
b6b048	C.R.daSilveira+AAP614A1492018	-0.95	-0.95	0.34
b6b049	C.R.daSilveira+AAP614A1492018	-0.32	-0.32	0.04
b6b050	C.R.daSilveira+AAP614A1492018	0.15	0.15	0
b6b051	C.R.daSilveira+AAP614A1492018	-0.32	-0.32	0.26
b6b052	C.R.daSilveira+AAP614A1492018	-0.61	-0.61	0.24
b6b053	C.R.daSilveira+AAP614A1492018	-0.52	-0.52	0.28
b6b054	C.R.daSilveira+AAP614A1492018	0.07	0.07	0.01
b6b055	C.R.daSilveira+AAP614A1492018	-0.39	-0.39	0.23
b6b056	C.R.daSilveira+AAP614A1492018	-0.6	-0.6	0.33
b6b058	C.R.daSilveira+AAP614A1492018	-0.37	-0.37	0.2
b6b060	C.R.daSilveira+AAP614A1492018	-0.42	-0.42	0.18
b6b061	C.R.daSilveira+AAP614A1492018	-0.39	-0.39	0.27
b6b062	C.R.daSilveira+AAP614A1492018	-0.6	-0.6	0.28
b6b064	C.R.daSilveira+AAP614A1492018	-1	-1	0.37
b6b065	C.R.daSilveira+AAP614A1492018	-0.62	-0.62	0.34
b6b066	C.R.daSilveira+AAP614A1492018	-0.32	-0.32	0.26
b6b067	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.28
b6b069	C.R.daSilveira+AAP614A1492018	-0.39	-0.39	0.12
b6b070	C.R.daSilveira+AAP614A1492018	-0.26	-0.26	0.12
b6b072	C.R.daSilveira+AAP614A1492018	-0.57	-0.57	0.14
b6b073	C.R.daSilveira+AAP614A1492018	-0.88	-0.88	0.39
b6b074	C.R.daSilveira+AAP614A1492018	-0.06	-0.06	0.04
b6b075	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.15
b6b077	C.R.daSilveira+AAP614A1492018	-0.84	-0.84	0.34
b6b078	C.R.daSilveira+AAP614A1492018	-0.18	-0.18	-0.01
b6b079	C.R.daSilveira+AAP614A1492018	-0.59	-0.59	0.24
b6b081	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.27
b6b082	C.R.daSilveira+AAP614A1492018	-0.08	-0.08	0.07
b6b084	C.R.daSilveira+AAP614A1492018	0.19	0.19	0.08
b6b085	C.R.daSilveira+AAP614A1492018	-0.36	-0.36	0.27
b6b087	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.02
b6b088	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.19
b6b090	C.R.daSilveira+AAP614A1492018	0.21	0.21	-0.02
b6b091	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.17
b6b092	C.R.daSilveira+AAP614A1492018	-0.42	-0.42	0.23
b6b093	C.R.daSilveira+AAP614A1492018	-0.11	-0.11	0.2
b6b095	C.R.daSilveira+AAP614A1492018	-0.51	-0.51	0.11
b6b099	C.R.daSilveira+AAP614A1492018	-0.21	-0.21	0.13
b6b100	C.R.daSilveira+AAP614A1492018	-0.4	-0.4	0.15
b6b102	C.R.daSilveira+AAP614A1492018	0.09	0.09	-0.03
b6b103	C.R.daSilveira+AAP614A1492018	-0.4	-0.4	0.21
b6b104	C.R.daSilveira+AAP614A1492018	-0.08	-0.08	0.03
b6b105	C.R.daSilveira+AAP614A1492018	-0.05	-0.05	0.03
b6b107	C.R.daSilveira+AAP614A1492018	-0.91	-0.91	0.45
b6b108	C.R.daSilveira+AAP614A1492018	-0.56	-0.56	0.18
b6b109	C.R.daSilveira+AAP614A1492018	0	0	0.17
b6b111	C.R.daSilveira+AAP614A1492018	-0.25	-0.25	0.19
b6b112	C.R.daSilveira+AAP614A1492018	-0.14	-0.14	0.03
b6b113	C.R.daSilveira+AAP614A1492018	-0.43	-0.43	0.35
b6b114	C.R.daSilveira+AAP614A1492018	-0.02	-0.02	0.34
b6b116	C.R.daSilveira+AAP614A1492018	-1.15	-1.15	0.48
b6b118	C.R.daSilveira+AAP614A1492018	0.06	0.06	-0.01
b6b119	C.R.daSilveira+AAP614A1492018	0	0	0.06
b6b120	C.R.daSilveira+AAP614A1492018	0.39	0.39	-0.06
b6b121	C.R.daSilveira+AAP614A1492018	-0.77	-0.77	0.34
b6b122	C.R.daSilveira+AAP614A1492018	-0.01	-0.01	0.05
b6b123	C.R.daSilveira+AAP614A1492018	0.05	0.05	0.02
b6b126	C.R.daSilveira+AAP614A1492018	0.31	0.31	0.09
b6b127	C.R.daSilveira+AAP614A1492018	-0.17	-0.17	0.1
b6b128	C.R.daSilveira+AAP614A1492018	0	0	0.08
b6b132	C.R.daSilveira+AAP614A1492018	0.04	0.04	-0.1
b6b134	C.R.daSilveira+AAP614A1492018	-0.29	-0.29	-0.06
b6f005	C.R.daSilveira+AAP614A1492018	0.21	0.21	0.06
b6f008	C.R.daSilveira+AAP614A1492018	-0.48	-0.48	0.34
b6f010	C.R.daSilveira+AAP614A1492018	0.07	0.07	0.04
b6f011	C.R.daSilveira+AAP614A1492018	0.01	0.01	0.15
b6f013	C.R.daSilveira+AAP614A1492018	0.03	0.03	0.17
b6f015	C.R.daSilveira+AAP614A1492018	0.08	0.08	0.06
b6f016	C.R.daSilveira+AAP614A1492018	0.1	0.1	0.24
b6f017	C.R.daSilveira+AAP614A1492018	0.32	0.32	0
b6f018	C.R.daSilveira+AAP614A1492018	-0.56	-0.56	0.32
b6f020	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.1
b6f023	C.R.daSilveira+AAP614A1492018	-0.15	-0.15	0.11
b6f025	C.R.daSilveira+AAP614A1492018	-0.09	-0.09	0.14
b6f027	C.R.daSilveira+AAP614A1492018	-0.38	-0.38	0.28
b6f028	C.R.daSilveira+AAP614A1492018	-0.37	-0.37	0.13
b6f030	C.R.daSilveira+AAP614A1492018	-0.27	-0.27	0.18
b6f034	C.R.daSilveira+AAP614A1492018	0.26	0.26	-0.04
b6f035	C.R.daSilveira+AAP614A1492018	0.44	0.44	-0.04
b6f036	C.R.daSilveira+AAP614A1492018	-0.45	-0.45	0.28
b6f037	C.R.daSilveira+AAP614A1492018	-0.51	-0.51	0.31
b6f038	C.R.daSilveira+AAP614A1492018	0.29	0.29	-0.12
b6f039	C.R.daSilveira+AAP614A1492018	-0.46	-0.46	0.24
b6f043	C.R.daSilveira+AAP614A1492018	-0.22	-0.22	0.1
b6f044	C.R.daSilveira+AAP614A1492018	0.29	0.29	0.09
b6f049	C.R.daSilveira+AAP614A1492018	-0.58	-0.58	0.29
b6f051	C.R.daSilveira+AAP614A1492018	-0.38	-0.38	0.14
b6f052	C.R.daSilveira+AAP614A1492018	-0.19	-0.19	0.06
b6f054	C.R.daSilveira+AAP614A1492018	-0.27	-0.27	0.05
