# Object	Reference	Metallicity	[O/H]	[C/H]
2MASSJ00114258+0109386	C.L.Kielty+MNRAS4714042017	-2.18	-2.01	-1.27
2MASSJ02121851+4923143	C.L.Kielty+MNRAS4714042017	-1.82	-1.19	-0.93
2MASSJ05352696-0510173	C.L.Kielty+MNRAS4714042017	-1.9	-1.47	-1.03
2MASSJ11584435+5518120	C.L.Kielty+MNRAS4714042017	-1.8	-1.38	-0.94
2MASSJ12473823-0814340	C.L.Kielty+MNRAS4714042017	-2.24	-1.19	-1.37
2MASSJ14571988+1751501	C.L.Kielty+MNRAS4714042017	-1.9	-1.44	-1
2MASSJ15312547+4220551	C.L.Kielty+MNRAS4714042017	-2.08	-2.05	-1.25
2MASSJ16300629-1252459	C.L.Kielty+MNRAS4714042017	-1.95	-1.45	-0.91
2MASSJ16334467-1343201	C.L.Kielty+MNRAS4714042017	-2.1	-1.73	-1.09
2MASSJ16385680+3635073	C.L.Kielty+MNRAS4714042017	-1.84	-1.43	-0.84
2MASSJ16562103+1002085	C.L.Kielty+MNRAS4714042017	-1.98	-1.39	-0.98
2MASSJ18111704-2352577	C.L.Kielty+MNRAS4714042017	-1.82	-1.36	-0.99
2MASSJ21330683+1209406	C.L.Kielty+MNRAS4714042017	-2.01	-1.54	-1.03
BD+01_2916	H.N.Li+ApJ765512013	-1.88	-1.58	-2.79
BD+01_2916	W.Aoki+PASJ60L72008	-1.9		-2.47
BD+01_2916	D.L.Burris+ApJ5443022000	-1.8		
BD+02_3375	P.E.Nissen+AAP4693192007	-2.19		
BD+02_3375	D.K.Lai+ApJ66711852007	-2.25		-2.12
BD+02_3375	J.A.Rich+ApJ70115192009	-2.39	-1.67	
BD+02_3375	C.J.Akerman+AAP4149312004	-2.28	-1.16	-1.77
BD+02_3375	T.V.Mishenina+AAP3709512001	-2.25		
BD+02_3375	M.Bergemann+MNRAS40113342010	-2.19		
BD+02_3375	A.E.GarciaPerez+AAP5042132009	-2.19		
BD+02_3375	A.M.Boesgaard+ApJ6333982005	-2.34		
BD+02_3375	J.Melendez+AAP515L32010	-2.24		
BD+02_3375	P.E.Nissen+AAP4159932004	-2.28		
BD+02_3375	M.Bergemann+AAP4928232008	-2.19		
BD+02_3375	J.R.Shi+AAP4655872007	-2.19		
BD+02_3375	R.G.Gratton+AAP4041872003	-2.32	-1.56	
BD+02_3375	J.Melendez+ApJ64210822006	-2	-1.26	
BD+02_3375	A.M.Boesgaard+AJ1174921999	-2.3	-1.12	
BD+02_3375	T.V.Mishenina+AAP3961892002			
BD+02_3375	K.A.Venn+AJ12811772004			
BD+02_3375	A.Stephens+AJ12316472002	-2.34		
BD+02_3375	J.P.Fulbright+AJ12018412000	-2.2		
BD+02_3375	G.S.Bai+AAP4256712004	-2.25	-1.52	
BD+02_3375	C.Charbonnel+AAP4429612005	-2.32		
BD+02_3375	E.Caffau+AAP4415332005	-2.37		
BD+02_3375	D.Fabbian+AAP50011432009	-2.19	-1.39	-1.89
BD+02_3375	T.Gehren+AAP45110652006	-2.19		
BD+02_4651	P.E.Nissen+AAP4693192007	-1.69		
BD+02_4651	J.Melendez+ApJ64210822006	-1.6	-0.95	
BD+02_4651	Y.Takeda+PASJ63S5372011	-1.69		
BD+02_4651	C.J.Akerman+AAP4149312004	-1.8	-0.9	-1.58
BD+02_4651	T.V.Mishenina+AAP3961892002			
BD+02_4651	K.A.Venn+AJ12811772004			
BD+02_4651	T.V.Mishenina+AAP3709512001	-1.82		
BD+02_4651	J.P.Fulbright+AJ12018412000	-1.5		
BD+02_4651	C.Charbonnel+AAP4429612005	-1.81		
BD+02_4651	D.Fabbian+AAP50011432009	-1.69	-0.98	-1.61
BD+02_4651	R.Smiljanic+AAP4991032009	-1.5		
BD+02_4651	J.Melendez+AAP515L32010	-1.78		
BD+02_4651	P.E.Nissen+AAP4159932004	-1.8		
BD+03_740	A.Hosford+AAP4936012009	-2.72		
BD+03_740	J.G.Cohen+ApJ778562013	-2.69		
BD+03_740	J.A.Rich+ApJ70115192009	-2.95	-1.98	
BD+03_740	G.Bihain+AAP4237772004	-2.82		
BD+03_740	L.Mashonkina+ApJ67915492008	-2.65		
BD+03_740	G.Israelian+ApJ5518332001	-2.93	-1.65	
BD+03_740	E.Arnone+AAP4305072005			
BD+03_740	J.Melendez+AAP515L32010	-2.71		
