# Object	Reference	Metallicity	[O/H]	[N/H]
2MASSJ00114258+0109386	C.L.Kielty+MNRAS4714042017	-2.18	-2.01	-1.1
2MASSJ02121851+4923143	C.L.Kielty+MNRAS4714042017	-1.82	-1.19	-1.24
2MASSJ05352696-0510173	C.L.Kielty+MNRAS4714042017	-1.9	-1.47	-2.24
2MASSJ11584435+5518120	C.L.Kielty+MNRAS4714042017	-1.8	-1.38	-1.26
2MASSJ12473823-0814340	C.L.Kielty+MNRAS4714042017	-2.24	-1.19	-2.24
2MASSJ14571988+1751501	C.L.Kielty+MNRAS4714042017	-1.9	-1.44	-1.09
2MASSJ15312547+4220551	C.L.Kielty+MNRAS4714042017	-2.08	-2.05	-1.03
2MASSJ16300629-1252459	C.L.Kielty+MNRAS4714042017	-1.95	-1.45	-0.98
2MASSJ16334467-1343201	C.L.Kielty+MNRAS4714042017	-2.1	-1.73	-0.94
2MASSJ16385680+3635073	C.L.Kielty+MNRAS4714042017	-1.84	-1.43	-1.41
2MASSJ16562103+1002085	C.L.Kielty+MNRAS4714042017	-1.98	-1.39	-0.89
2MASSJ18111704-2352577	C.L.Kielty+MNRAS4714042017	-1.82	-1.36	-1.1
2MASSJ21330683+1209406	C.L.Kielty+MNRAS4714042017	-2.01	-1.54	-1
b6b002	C.R.daSilveira+AAP614A1492018	0.05	-0.15	0.64
b6b003	C.R.daSilveira+AAP614A1492018	-0.73	-0.41	-0.19
b6b005	C.R.daSilveira+AAP614A1492018	-0.42	-0.2	0.07
b6b006	C.R.daSilveira+AAP614A1492018	-0.61	-0.34	-0.07
b6b007	C.R.daSilveira+AAP614A1492018	-0.04	-0.09	0.4
b6b009	C.R.daSilveira+AAP614A1492018	-1.03	-0.61	-0.39
b6b010	C.R.daSilveira+AAP614A1492018	0	0.07	0.64
b6b012	C.R.daSilveira+AAP614A1492018	0.05	-0.11	0.34
b6b013	C.R.daSilveira+AAP614A1492018	0.08	0.07	0.47
