#--------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
# time      C total   N total   O total  F  total  Ne total  Mg total  Si total   S total  Fe total
#--------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
 1.000e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 2.512e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.162e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.981e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 5.012e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 6.310e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 7.943e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.000e+07 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+07 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+07 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+07 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 2.512e+07 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.162e+07 5.546e-09 1.333e-13 1.642e-08 6.510e-17 5.188e-10 9.842e-10 1.752e-08 9.925e-09 8.536e-08
 3.981e+07 2.285e-06 5.495e-11 6.766e-06 2.683e-14 2.138e-07 4.056e-07 7.221e-06 4.091e-06 3.518e-05
 5.012e+07 1.754e-05 4.217e-10 5.192e-05 2.059e-13 1.641e-06 3.112e-06 5.541e-05 3.139e-05 2.699e-04
 6.310e+07 4.206e-05 1.011e-09 1.245e-04 4.938e-13 3.935e-06 7.465e-06 1.329e-04 7.528e-05 6.474e-04
 7.943e+07 7.514e-05 1.807e-09 2.224e-04 8.820e-13 7.029e-06 1.333e-05 2.374e-04 1.345e-04 1.157e-03
 1.000e+08 1.161e-04 2.791e-09 3.437e-04 1.363e-12 1.086e-05 2.060e-05 3.668e-04 2.078e-04 1.787e-03
 1.259e+08 1.645e-04 3.954e-09 4.869e-04 1.930e-12 1.538e-05 2.919e-05 5.196e-04 2.943e-04 2.531e-03
 1.585e+08 2.204e-04 5.298e-09 6.524e-04 2.587e-12 2.061e-05 3.911e-05 6.962e-04 3.944e-04 3.392e-03
 1.995e+08 2.832e-04 6.808e-09 8.383e-04 3.324e-12 2.649e-05 5.026e-05 8.946e-04 5.068e-04 4.359e-03
 2.512e+08 3.539e-04 8.508e-09 1.048e-03 4.154e-12 3.310e-05 6.280e-05 1.118e-03 6.334e-04 5.447e-03
 3.162e+08 4.327e-04 1.040e-08 1.281e-03 5.079e-12 4.047e-05 7.679e-05 1.367e-03 7.744e-04 6.659e-03
 3.981e+08 5.186e-04 1.247e-08 1.535e-03 6.088e-12 4.851e-05 9.204e-05 1.638e-03 9.282e-04 7.982e-03
 5.012e+08 6.131e-04 1.474e-08 1.815e-03 7.197e-12 5.735e-05 1.088e-04 1.937e-03 1.097e-03 9.437e-03
 6.310e+08 7.166e-04 1.723e-08 2.122e-03 8.412e-12 6.704e-05 1.272e-04 2.264e-03 1.283e-03 1.103e-02
 7.943e+08 8.275e-04 1.989e-08 2.450e-03 9.713e-12 7.741e-05 1.469e-04 2.614e-03 1.481e-03 1.274e-02
 1.000e+09 9.480e-04 2.279e-08 2.807e-03 1.113e-11 8.869e-05 1.683e-04 2.995e-03 1.697e-03 1.459e-02
 1.259e+09 1.078e-03 2.593e-08 3.193e-03 1.266e-11 1.009e-04 1.914e-04 3.407e-03 1.930e-03 1.660e-02
 1.585e+09 1.216e-03 2.924e-08 3.601e-03 1.428e-11 1.138e-04 2.158e-04 3.842e-03 2.177e-03 1.872e-02
 1.995e+09 1.361e-03 3.273e-08 4.031e-03 1.598e-11 1.274e-04 2.416e-04 4.301e-03 2.437e-03 2.096e-02
 2.512e+09 1.499e-03 3.603e-08 4.437e-03 1.759e-11 1.402e-04 2.660e-04 4.734e-03 2.682e-03 2.307e-02
 3.162e+09 1.604e-03 3.856e-08 4.748e-03 1.882e-11 1.500e-04 2.846e-04 5.066e-03 2.870e-03 2.468e-02
 3.981e+09 1.688e-03 4.059e-08 4.998e-03 1.982e-11 1.579e-04 2.996e-04 5.334e-03 3.022e-03 2.599e-02
 5.012e+09 1.757e-03 4.223e-08 5.200e-03 2.062e-11 1.643e-04 3.117e-04 5.550e-03 3.144e-03 2.704e-02
 6.310e+09 1.809e-03 4.349e-08 5.355e-03 2.123e-11 1.692e-04 3.210e-04 5.715e-03 3.237e-03 2.784e-02
