#--------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
# time      C total   N total   O total  F  total  Ne total  Mg total  Si total   S total  Fe total
#--------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
 1.000e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 2.512e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.162e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.981e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 5.012e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 6.310e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 7.943e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.000e+07 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+07 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+07 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+07 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 2.512e+07 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.162e+07 2.773e-10 6.667e-15 8.209e-10 3.255e-18 2.594e-11 4.921e-11 8.760e-10 4.963e-10 4.268e-09
 3.981e+07 1.143e-07 2.747e-12 3.383e-07 1.341e-15 1.069e-08 2.028e-08 3.610e-07 2.045e-07 1.759e-06
 5.012e+07 8.769e-07 2.108e-11 2.596e-06 1.029e-14 8.203e-08 1.556e-07 2.770e-06 1.569e-06 1.350e-05
 6.310e+07 2.103e-06 5.057e-11 6.227e-06 2.469e-14 1.967e-07 3.733e-07 6.645e-06 3.764e-06 3.237e-05
 7.943e+07 3.757e-06 9.033e-11 1.112e-05 4.410e-14 3.514e-07 6.667e-07 1.187e-05 6.724e-06 5.783e-05
 1.000e+08 5.804e-06 1.396e-10 1.718e-05 6.814e-14 5.430e-07 1.030e-06 1.834e-05 1.039e-05 8.934e-05
 1.259e+08 8.223e-06 1.977e-10 2.434e-05 9.652e-14 7.692e-07 1.459e-06 2.598e-05 1.472e-05 1.266e-04
 1.585e+08 1.102e-05 2.649e-10 3.262e-05 1.293e-13 1.031e-06 1.955e-06 3.481e-05 1.972e-05 1.696e-04
 1.995e+08 1.416e-05 3.404e-10 4.192e-05 1.662e-13 1.324e-06 2.513e-06 4.473e-05 2.534e-05 2.179e-04
 2.512e+08 1.769e-05 4.254e-10 5.238e-05 2.077e-13 1.655e-06 3.140e-06 5.590e-05 3.167e-05 2.723e-04
 3.162e+08 2.163e-05 5.201e-10 6.405e-05 2.539e-13 2.024e-06 3.839e-06 6.835e-05 3.872e-05 3.330e-04
 3.981e+08 2.593e-05 6.234e-10 7.677e-05 3.044e-13 2.426e-06 4.602e-06 8.192e-05 4.641e-05 3.991e-04
 5.012e+08 3.066e-05 7.370e-10 9.076e-05 3.599e-13 2.868e-06 5.441e-06 9.685e-05 5.487e-05 4.718e-04
 6.310e+08 3.583e-05 8.615e-10 1.061e-04 4.206e-13 3.352e-06 6.359e-06 1.132e-04 6.413e-05 5.515e-04
 7.943e+08 4.137e-05 9.947e-10 1.225e-04 4.857e-13 3.870e-06 7.343e-06 1.307e-04 7.405e-05 6.368e-04
 1.000e+09 4.740e-05 1.140e-09 1.403e-04 5.564e-13 4.434e-06 8.413e-06 1.498e-04 8.484e-05 7.296e-04
 1.259e+09 5.392e-05 1.297e-09 1.596e-04 6.330e-13 5.044e-06 9.570e-06 1.704e-04 9.651e-05 8.300e-04
 1.585e+09 6.081e-05 1.462e-09 1.800e-04 7.138e-13 5.689e-06 1.079e-05 1.921e-04 1.088e-04 9.360e-04
 1.995e+09 6.807e-05 1.637e-09 2.015e-04 7.991e-13 6.368e-06 1.208e-05 2.151e-04 1.218e-04 1.048e-03
 2.512e+09 7.493e-05 1.801e-09 2.218e-04 8.795e-13 7.009e-06 1.330e-05 2.367e-04 1.341e-04 1.153e-03
 3.162e+09 8.018e-05 1.928e-09 2.374e-04 9.412e-13 7.501e-06 1.423e-05 2.533e-04 1.435e-04 1.234e-03
 3.981e+09 8.442e-05 2.030e-09 2.499e-04 9.910e-13 7.897e-06 1.498e-05 2.667e-04 1.511e-04 1.299e-03
 5.012e+09 8.783e-05 2.112e-09 2.600e-04 1.031e-12 8.216e-06 1.559e-05 2.775e-04 1.572e-04 1.352e-03
 6.310e+09 9.044e-05 2.175e-09 2.678e-04 1.062e-12 8.461e-06 1.605e-05 2.857e-04 1.619e-04 1.392e-03
