#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-08-29T12:56:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5d67c90162fd 
#INFO -out.max=unlimited 
#INFO queryParameters=20 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-nav=cat:J/MNRAS/403/1413&tab:{J/MNRAS/403/1413/yields}&key:source=J/MNRAS/403/1413/yields&HTTPPRM:&&-ref=VIZ5d67c90162fd&-out.max=unlimited&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/MNRAS/403/1413/yields&-out=M0&M0=2&-out=Mix&-out=Z0&Z0=0.02&-out=M1&-out=El&-out=A&-out=Yield&-out=M(i)lost&-out=M(i)0&-out=<X(i)>&-out=X0(i)&-out=f&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/MNRAS/403/1413/yields
#-source=J/MNRAS/403/1413/yields
#-out=M0
#M0=2
#-out=Mix
#-out=Z0
#Z0=0.02
#-out=M1
#-out=El
#-out=A
#-out=Yield
#-out=M(i)lost
#-out=M(i)0
#-out=<X(i)>
#-out=X0(i)
#-out=f
#

#RESOURCE=yCat_74031413
#Name: J/MNRAS/403/1413
#Title: Updated stellar yields from AGB models (Karakas, 2010)
#Table J_MNRAS_403_1413_yields:
#Name: J/MNRAS/403/1413/yields
#Title: Stellar yields
#---Details of Columns:
#    M0 (solMass)       (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Mix                (A1)    Simbad column added by the CDS [ucd=stat.param]
#    Z0                 (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)       (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                 (a4)    Species i (2) [ucd=phys.atmol.element]
#    A                  (I2)    Atomic mass of the species i [ucd=phys.mass]
#    Yield (solMass)    (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass) (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)    (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    <X(i)>             (E9.2)  Average abundance of species i in the wind (mass fraction) [ucd=phys.abund]
#    X0(i)              (E9.2)  initial mass fraction of species i (mass fraction) [ucd=phys.mass]
#    f                  (E9.2)  Production factor, f=log10(<X(i)>/X0(i)) [ucd=arith.factor]
#----- - ------- ------ ---- -- --------- --------- --------- --------- --------- ---------
#M0    M                                                                                   
#(sol  i         M1 (so         Yield     M(i)lost  M(i)0                                  
#Mass) x Z0      lMass) El   A  (solMass) (solMass) (solMass) <X(i)>    X0(i)     f        
#----- - ------- ------ ---- -- --------- --------- --------- --------- --------- ---------
 2.00 n  0.0200  0.640 g     1  5.83e-08  1.35e-07  7.72e-08  9.96e-08  5.67e-08  2.44e-01
 2.00 n  0.0200  0.640 n     1  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 p     1 -1.02e-02  9.25e-01  9.35e-01  6.80e-01  6.88e-01 -4.79e-03
 2.00 n  0.0200  0.640 D     2  8.41e-18  8.41e-18  0.00e+00  6.18e-18  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 He    3  3.15e-04  3.15e-04  0.00e+00  2.32e-04  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 He    4  9.65e-03  4.08e-01  3.99e-01  3.00e-01  2.93e-01  1.04e-02
 2.00 n  0.0200  0.640 Li    7 -1.82e-09  7.16e-10  2.54e-09  5.27e-10  1.87e-09 -5.49e-01
 2.00 n  0.0200  0.640 Be    7  2.87e-13  2.87e-13  0.00e+00  2.11e-13  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 B     8  2.90e-25  2.90e-25  0.00e+00  2.13e-25  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 C    12 -1.36e-03  2.77e-03  4.13e-03  2.03e-03  3.04e-03 -1.74e-01
 2.00 n  0.0200  0.640 C    13  7.40e-05  1.24e-04  4.97e-05  9.09e-05  3.65e-05  3.96e-01
 2.00 n  0.0200  0.640 C    14  7.41e-27  7.41e-27  0.00e+00  5.45e-27  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 N    13  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 N    14  1.52e-03  3.02e-03  1.50e-03  2.22e-03  1.11e-03  3.03e-01
 2.00 n  0.0200  0.640 N    15 -2.86e-06  3.08e-06  5.94e-06  2.26e-06  4.37e-06 -2.86e-01
 2.00 n  0.0200  0.640 O    14  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 O    15  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 O    16 -2.06e-05  1.30e-02  1.31e-02  9.59e-03  9.61e-03 -7.19e-04
 2.00 n  0.0200  0.640 O    17  1.91e-05  2.44e-05  5.29e-06  1.79e-05  3.89e-06  6.63e-01
 2.00 n  0.0200  0.640 O    18 -6.76e-06  2.27e-05  2.95e-05  1.67e-05  2.17e-05 -1.13e-01
 2.00 n  0.0200  0.640 O    19  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 F    17  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 F    18  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 F    19  7.94e-10  5.52e-07  5.52e-07  4.06e-07  4.06e-07  5.92e-04
 2.00 n  0.0200  0.640 F    20  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Ne   19  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Ne   20 -5.59e-09  2.20e-03  2.20e-03  1.62e-03  1.62e-03 -3.33e-05
 2.00 n  0.0200  0.640 Ne   21  8.49e-10  5.62e-06  5.62e-06  4.13e-06  4.13e-06  3.34e-05
 2.00 n  0.0200  0.640 Ne   22 -7.71e-06  1.70e-04  1.77e-04  1.25e-04  1.30e-04 -1.93e-02
 2.00 n  0.0200  0.640 Ne   23  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Na   21  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Na   22  1.07e-29  1.07e-29  0.00e+00  7.84e-30  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Na   23  8.06e-06  5.35e-05  4.55e-05  3.94e-05  3.34e-05  7.09e-02
 2.00 n  0.0200  0.640 Na   24  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Mg   23  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Mg   24  1.75e-10  7.01e-04  7.01e-04  5.16e-04  5.16e-04 -3.21e-05
 2.00 n  0.0200  0.640 Mg   25 -6.93e-09  9.22e-05  9.22e-05  6.78e-05  6.78e-05 -6.48e-05
 2.00 n  0.0200  0.640 Mg   26  1.67e-09  1.06e-04  1.06e-04  7.77e-05  7.77e-05 -2.54e-05
 2.00 n  0.0200  0.640 Mg   27  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Al   25  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Al   26  4.82e-09  4.82e-09  0.00e+00  3.54e-09  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Al   26  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Al   27  8.00e-10  7.91e-05  7.91e-05  5.81e-05  5.82e-05 -2.78e-05
 2.00 n  0.0200  0.640 Al   28  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Si   27  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Si   28  1.16e-10  8.90e-04  8.90e-04  6.54e-04  6.54e-04 -3.21e-05
 2.00 n  0.0200  0.640 Si   29 -2.18e-11  4.67e-05  4.67e-05  3.43e-05  3.43e-05 -3.24e-05
 2.00 n  0.0200  0.640 Si   30  7.28e-12  3.20e-05  3.20e-05  2.36e-05  2.36e-05 -3.21e-05
 2.00 n  0.0200  0.640 Si   31  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Si   32  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Si   33  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 P    29  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 P    30  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 P    31 -3.64e-12  1.11e-05  1.11e-05  8.17e-06  8.17e-06 -3.23e-05
 2.00 n  0.0200  0.640 P    32  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 P    33  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 P    34  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 S    32  0.00e+00  5.39e-04  5.39e-04  3.97e-04  3.97e-04 -3.22e-05
 2.00 n  0.0200  0.640 S    33  1.82e-12  4.39e-06  4.39e-06  3.23e-06  3.23e-06 -3.20e-05
 2.00 n  0.0200  0.640 S    34  8.73e-11  2.55e-04  2.55e-04  1.87e-04  1.87e-04 -3.21e-05
 2.00 n  0.0200  0.640 S    35  5.40e-20  5.40e-20  0.00e+00  3.97e-20  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Fe   54  2.18e-11  9.72e-05  9.72e-05  7.14e-05  7.15e-05 -3.21e-05
 2.00 n  0.0200  0.640 Fe   55  2.69e-18  2.69e-18  0.00e+00  1.98e-18  0.00e+00  0.00e+00
 2.00 n  0.0200  0.640 Fe   56  3.49e-10  1.59e-03  1.59e-03  1.17e-03  1.17e-03 -3.21e-05
 2.00 n  0.0200  0.640 Fe   57 -1.09e-11  3.89e-05  3.89e-05  2.86e-05  2.86e-05 -3.23e-05
 2.00 n  0.0200  0.640 Fe   58 -4.55e-13  5.04e-06  5.04e-06  3.70e-06  3.71e-06 -3.22e-05
 2.00 n  0.0200  0.640 Fe   59  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
