#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-08-29T13:08:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5d67c90162fd 
#INFO -out.max=unlimited 
#INFO queryParameters=19 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/MNRAS/403/1413&tab:{J/MNRAS/403/1413/yields}&key:source=J/MNRAS/403/1413/yields&HTTPPRM:&&-ref=VIZ5d67c90162fd&-file=.&-oc.form=sexa&-order=I&-out.form=verb&-out=M0&-out=Mix&-out=Z0&-out=M1&-out=El&-out=A&-out=Yield&-out=M(i)lost&-out=M(i)0&-out=<X(i)>&-out=X0(i)&-out=f&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&
#-source=J/MNRAS/403/1413/yields
#-order=I
#-out=M0
#-out=Mix
#Mix=n
#-out=Z0
#Z0=0.004
#-out=M1
#-out=El
#-out=A
#-out=Yield
#-out=M(i)lost
#-out=M(i)0
#-out=<X(i)>
#-out=X0(i)
#-out=f
#

#RESOURCE=yCat_74031413
#Name: J/MNRAS/403/1413
#Title: Updated stellar yields from AGB models (Karakas, 2010)
#Table J_MNRAS_403_1413_yields:
#Name: J/MNRAS/403/1413/yields
#Title: Stellar yields
#---Details of Columns:
#    M0 (solMass)       (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Mix                (A1)    Simbad column added by the CDS [ucd=stat.param]
#    Z0                 (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)       (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                 (a4)    Species i (2) [ucd=phys.atmol.element]
#    A                  (I2)    Atomic mass of the species i [ucd=phys.mass]
#    Yield (solMass)    (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass) (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)    (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    <X(i)>             (E9.2)  Average abundance of species i in the wind (mass fraction) [ucd=phys.abund]
#    X0(i)              (E9.2)  initial mass fraction of species i (mass fraction) [ucd=phys.mass]
#    f                  (E9.2)  Production factor, f=log10(<X(i)>/X0(i)) [ucd=arith.factor]
#----- - ------- ------ ---- -- --------- --------- --------- --------- --------- ---------
#M0    M                                                                                   
#(sol  i         M1 (so         Yield     M(i)lost  M(i)0                                  
#Mass) x Z0      lMass) El   A  (solMass) (solMass) (solMass) <X(i)>    X0(i)     f        
#----- - ------- ------ ---- -- --------- --------- --------- --------- --------- ---------
 1.00 n  0.0040  0.610 g     1  1.68e-09  6.11e-09  4.42e-09  1.57e-08  1.13e-08  1.40e-01
 1.00 n  0.0040  0.610 n     1  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0040  0.610 p     1 -8.13e-03  2.84e-01  2.92e-01  7.28e-01  7.49e-01 -1.23e-02
 1.00 n  0.0040  0.610 D     2  1.33e-18  1.33e-18  0.00e+00  3.41e-18  0.00e+00  0.00e+00
 1.00 n  0.0040  0.610 He    3  1.22e-04  1.22e-04  0.00e+00  3.14e-04  0.00e+00  0.00e+00
 1.00 n  0.0040  0.610 He    4  8.00e-03  1.05e-01  9.66e-02  2.68e-01  2.48e-01  3.45e-02
 1.00 n  0.0040  0.610 Li    7 -2.34e-10  4.93e-10  7.27e-10  1.27e-09  1.87e-09 -1.69e-01
 1.00 n  0.0040  0.610 Be    7  2.05e-11  2.05e-11  0.00e+00  5.26e-11  0.00e+00  0.00e+00
 1.00 n  0.0040  0.610 B     8  7.17e-27  7.17e-27  0.00e+00  1.84e-26  0.00e+00  0.00e+00
 1.00 n  0.0040  0.610 C    12 -4.30e-05  1.93e-04  2.37e-04  4.96e-04  6.07e-04 -8.72e-02
 1.00 n  0.0040  0.610 C    13  4.39e-06  7.24e-06  2.85e-06  1.86e-05  7.30e-06  4.05e-01
 1.00 n  0.0040  0.610 C    14  7.40e-26  7.40e-26  0.00e+00  1.90e-25  0.00e+00  0.00e+00
 1.00 n  0.0040  0.610 N    13  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0040  0.610 N    14  4.97e-05  1.36e-04  8.62e-05  3.48e-04  2.21e-04  1.98e-01
 1.00 n  0.0040  0.610 N    15 -1.09e-07  2.31e-07  3.40e-07  5.92e-07  8.73e-07 -1.68e-01
 1.00 n  0.0040  0.610 O    14  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0040  0.610 O    15  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0040  0.610 O    16 -4.89e-06  7.44e-04  7.48e-04  1.91e-03  1.92e-03 -2.90e-03
 1.00 n  0.0040  0.610 O    17  3.42e-07  6.45e-07  3.03e-07  1.65e-06  7.78e-07  3.28e-01
 1.00 n  0.0040  0.610 O    18 -1.50e-07  1.54e-06  1.69e-06  3.95e-06  4.33e-06 -4.04e-02
 1.00 n  0.0040  0.610 O    19  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0040  0.610 F    17  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
