#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ----- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol        M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0    lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- ----- ----- ---- --------- --------- --------- -----------
 1.00 0.0040 0.610    p -8.13e-03  2.84e-01  2.92e-01  3.91e-01
 1.00 0.0040 0.610   He  8.12e-03  1.05e-01  9.66e-02  3.91e-01
 1.00 0.0040 0.610    C -3.86e-05  2.00e-04  2.40e-04  3.91e-01
 1.00 0.0040 0.610    N  4.96e-05  1.36e-04  8.65e-05  3.91e-01
 1.00 0.0040 0.610    O -4.70e-06  7.46e-04  7.50e-04  3.91e-01
 1.00 0.0040 0.610    F -2.87e-10  3.13e-08  3.16e-08  3.91e-01
 1.00 0.0040 0.610   Ne -1.70e-07  1.36e-04  1.37e-04  3.91e-01
 1.00 0.0040 0.610   Mg -1.93e-09  5.15e-05  5.15e-05  3.91e-01
 1.00 0.0040 0.610   Si  1.63e-09  5.55e-05  5.55e-05  3.91e-01
 1.00 0.0040 0.610    S  1.33e-09  4.58e-05  4.58e-05  3.91e-01
 1.00 0.0040 0.610   Fe  3.40e-09  9.94e-05  9.94e-05  3.91e-01
 1.25 0.0040 0.642    p -1.49e-02  4.40e-01  4.55e-01  6.08e-01
 1.25 0.0040 0.642   He  1.47e-02  1.65e-01  1.51e-01  6.08e-01
 1.25 0.0040 0.642    C  7.33e-05  4.46e-04  3.73e-04  6.08e-01
 1.25 0.0040 0.642    N  1.20e-04  2.54e-04  1.35e-04  6.08e-01
 1.25 0.0040 0.642    O -9.83e-07  1.17e-03  1.17e-03  6.08e-01
 1.25 0.0040 0.642    F  2.69e-09  5.20e-08  4.93e-08  6.08e-01
 1.25 0.0040 0.642   Ne  2.10e-06  2.16e-04  2.13e-04  6.08e-01
 1.25 0.0040 0.642   Mg -2.09e-08  8.03e-05  8.03e-05  6.08e-01
 1.25 0.0040 0.642   Si  1.62e-09  8.65e-05  8.65e-05  6.08e-01
 1.25 0.0040 0.642    S -3.94e-10  7.13e-05  7.13e-05  6.08e-01
 1.25 0.0040 0.642   Fe  5.40e-10  1.55e-04  1.55e-04  6.08e-01
 1.50 0.0040 0.628    p -2.16e-02  6.31e-01  6.53e-01  8.72e-01
 1.50 0.0040 0.628   He  1.97e-02  2.35e-01  2.16e-01  8.72e-01
 1.50 0.0040 0.628    C  1.67e-03  2.21e-03  5.35e-04  8.72e-01
 1.50 0.0040 0.628    N  2.04e-04  3.97e-04  1.94e-04  8.72e-01
