#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (D10.3)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- --------- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol            M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0        lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- --------- ----- ---- --------- --------- --------- -----------
 1.00  1.345e-02 0.571    p -8.44e-03  2.98e-01  3.07e-01  4.29e-01
 1.00  1.345e-02 0.571   He  8.42e-03  1.26e-01  1.17e-01  4.29e-01
 1.00  1.345e-02 0.571    C -1.06e-04  7.86e-04  8.92e-04  4.29e-01
 1.00  1.345e-02 0.571    N  1.28e-04  4.50e-04  3.22e-04  4.29e-01
 1.00  1.345e-02 0.571    O -2.73e-06  2.79e-03  2.79e-03  4.29e-01
 1.00  1.345e-02 0.571    F  1.63e-11  1.18e-07  1.18e-07  4.29e-01
 1.00  1.345e-02 0.571   Ne -1.43e-07  5.10e-04  5.10e-04  4.29e-01
 1.00  1.345e-02 0.571   Mg  1.27e-10  1.92e-04  1.92e-04  4.29e-01
 1.00  1.345e-02 0.571   Si -6.46e-10  2.07e-04  2.07e-04  4.29e-01
 1.00  1.345e-02 0.571    S  1.63e-09  1.70e-04  1.70e-04  4.29e-01
 1.00  1.345e-02 0.571   Fe  7.36e-10  3.70e-04  3.70e-04  4.29e-01
 1.25  1.345e-02 0.588    p -1.34e-02  4.60e-01  4.73e-01  6.62e-01
 1.25  1.345e-02 0.588   He  1.34e-02  1.94e-01  1.81e-01  6.62e-01
 1.25  1.345e-02 0.588    C -2.95e-04  1.08e-03  1.38e-03  6.62e-01
 1.25  1.345e-02 0.588    N  3.53e-04  8.49e-04  4.98e-04  6.62e-01
