#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ----- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol        M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0    lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- ----- ----- ---- --------- --------- --------- -----------
 1.00 0.0080 0.564    p -8.73e-03  2.99e-01  0.00e+00  4.36e-01
 1.00 0.0080 0.564   He  8.72e-03  1.28e-01  0.00e+00  4.36e-01
 1.00 0.0080 0.564    C -6.95e-05  1.27e-03  0.00e+00  4.36e-01
 1.00 0.0080 0.564    N  8.51e-05  5.69e-04  0.00e+00  4.36e-01
 1.00 0.0080 0.564    O -3.44e-06  4.19e-03  0.00e+00  4.36e-01
 1.00 0.0080 0.564    F -1.26e-10  2.12e-07  0.00e+00  4.36e-01
 1.00 0.0080 0.564   Ne -1.64e-07  7.65e-04  0.00e+00  4.36e-01
 1.00 0.0080 0.564   Mg  4.43e-10  2.85e-04  0.00e+00  4.36e-01
 1.00 0.0080 0.564   Si -3.58e-10  3.07e-04  0.00e+00  4.36e-01
 1.00 0.0080 0.564    S -1.31e-10  1.60e-04  0.00e+00  4.36e-01
 1.00 0.0080 0.564   Fe  4.41e-10  8.05e-04  0.00e+00  4.36e-01
 1.20 0.0080 0.574    p -1.44e-02  4.28e-01  0.00e+00  6.26e-01
 1.20 0.0080 0.574   He  1.44e-02  1.86e-01  0.00e+00  6.26e-01
 1.20 0.0080 0.574    C -1.89e-04  1.74e-03  0.00e+00  6.26e-01
 1.20 0.0080 0.574    N  2.29e-04  9.24e-04  0.00e+00  6.26e-01
 1.20 0.0080 0.574    O -7.85e-06  6.02e-03  0.00e+00  6.26e-01
 1.20 0.0080 0.574    F  3.93e-11  3.05e-07  0.00e+00  6.26e-01
 1.20 0.0080 0.574   Ne -4.23e-07  1.10e-03  0.00e+00  6.26e-01
 1.20 0.0080 0.574   Mg  1.07e-09  4.10e-04  0.00e+00  6.26e-01
 1.20 0.0080 0.574   Si -9.23e-11  4.41e-04  0.00e+00  6.26e-01
 1.20 0.0080 0.574    S  1.82e-11  2.30e-04  0.00e+00  6.26e-01
 1.20 0.0080 0.574   Fe -3.00e-10  1.16e-03  0.00e+00  6.26e-01
 1.50 0.0080 0.600    p -1.76e-02  6.19e-01  0.00e+00  9.00e-01
 1.50 0.0080 0.600   He  1.72e-02  2.64e-01  0.00e+00  9.00e-01
 1.50 0.0080 0.600    C -6.65e-05  2.71e-03  0.00e+00  9.00e-01
 1.50 0.0080 0.600    N  3.94e-04  1.39e-03  0.00e+00  9.00e-01
 1.50 0.0080 0.600    O -7.93e-06  8.65e-03  0.00e+00  9.00e-01
 1.50 0.0080 0.600    F  9.64e-09  4.48e-07  0.00e+00  9.00e-01
 1.50 0.0080 0.600   Ne  6.18e-06  1.59e-03  0.00e+00  9.00e-01
 1.50 0.0080 0.600   Mg -2.56e-08  5.89e-04  0.00e+00  9.00e-01
 1.50 0.0080 0.600   Si  4.56e-09  6.34e-04  0.00e+00  9.00e-01
 1.50 0.0080 0.600    S  1.76e-11  3.31e-04  0.00e+00  9.00e-01
 1.50 0.0080 0.600   Fe -6.01e-10  1.66e-03  0.00e+00  9.00e-01
 1.80 0.0080 0.615    p -2.59e-02  8.12e-01  0.00e+00  1.19e+00
 1.80 0.0080 0.615   He  2.27e-02  3.48e-01  0.00e+00  1.19e+00
 1.80 0.0080 0.615    C  2.49e-03  6.15e-03  0.00e+00  1.19e+00
 1.80 0.0080 0.615    N  5.71e-04  1.89e-03  0.00e+00  1.19e+00
 1.80 0.0080 0.615    O  3.05e-05  1.14e-02  0.00e+00  1.19e+00
 1.80 0.0080 0.615    F  1.52e-07  7.29e-07  0.00e+00  1.19e+00
 1.80 0.0080 0.615   Ne  9.86e-05  2.18e-03  0.00e+00  1.19e+00
 1.80 0.0080 0.615   Mg -3.06e-08  7.76e-04  0.00e+00  1.19e+00
 1.80 0.0080 0.615   Si  3.52e-08  8.35e-04  0.00e+00  1.19e+00
 1.80 0.0080 0.615    S -1.79e-08  4.36e-04  0.00e+00  1.19e+00
 1.80 0.0080 0.615   Fe -4.48e-08  2.19e-03  0.00e+00  1.19e+00
 1.90 0.0080 0.630    p -3.11e-02  8.67e-01  0.00e+00  1.27e+00
 1.90 0.0080 0.630   He  2.55e-02  3.74e-01  0.00e+00  1.27e+00
 1.90 0.0080 0.630    C  4.64e-03  8.55e-03  0.00e+00  1.27e+00
 1.90 0.0080 0.630    N  6.34e-04  2.04e-03  0.00e+00  1.27e+00
 1.90 0.0080 0.630    O  5.83e-05  1.23e-02  0.00e+00  1.27e+00
 1.90 0.0080 0.630    F  3.16e-07  9.35e-07  0.00e+00  1.27e+00
 1.90 0.0080 0.630   Ne  1.92e-04  2.42e-03  0.00e+00  1.27e+00
 1.90 0.0080 0.630   Mg  1.55e-07  8.32e-04  0.00e+00  1.27e+00
 1.90 0.0080 0.630   Si  7.03e-08  8.95e-04  0.00e+00  1.27e+00
 1.90 0.0080 0.630    S -3.62e-08  4.67e-04  0.00e+00  1.27e+00
 1.90 0.0080 0.630   Fe -8.42e-08  2.34e-03  0.00e+00  1.27e+00
 2.00 0.0080 0.640    p -3.97e-02  9.22e-01  0.00e+00  1.36e+00
