# Temp      kappa_abs_P kappa_ext_P kappa_abs_R kappa_ext_R
# [K]       [cm^2/g]    [cm^2/g]    [cm^2/g]    [cm^2/g]
5.00000e+00 1.08272e+00 1.08272e+00 7.10548e-01 7.10548e-01
5.10022e+00 1.11973e+00 1.11973e+00 7.33065e-01 7.33065e-01
5.20246e+00 1.15810e+00 1.15810e+00 7.56333e-01 7.56333e-01
5.30674e+00 1.19787e+00 1.19787e+00 7.80378e-01 7.80379e-01
5.41311e+00 1.23911e+00 1.23911e+00 8.05229e-01 8.05229e-01
5.52162e+00 1.28187e+00 1.28187e+00 8.30914e-01 8.30914e-01
5.63230e+00 1.32621e+00 1.32622e+00 8.57462e-01 8.57463e-01
5.74520e+00 1.37220e+00 1.37220e+00 8.84905e-01 8.84905e-01
5.86036e+00 1.41989e+00 1.41989e+00 9.13274e-01 9.13275e-01
5.97783e+00 1.46936e+00 1.46936e+00 9.42603e-01 9.42603e-01
6.09766e+00 1.52067e+00 1.52068e+00 9.72925e-01 9.72926e-01
6.21988e+00 1.57390e+00 1.57391e+00 1.00428e+00 1.00428e+00
6.34456e+00 1.62913e+00 1.62913e+00 1.03670e+00 1.03670e+00
6.47174e+00 1.68643e+00 1.68643e+00 1.07022e+00 1.07022e+00
6.60146e+00 1.74588e+00 1.74588e+00 1.10489e+00 1.10489e+00
6.73379e+00 1.80757e+00 1.80758e+00 1.14074e+00 1.14074e+00
6.86877e+00 1.87159e+00 1.87160e+00 1.17783e+00 1.17783e+00
7.00645e+00 1.93804e+00 1.93805e+00 1.21618e+00 1.21618e+00
7.14689e+00 2.00701e+00 2.00701e+00 1.25586e+00 1.25586e+00
7.29015e+00 2.07860e+00 2.07860e+00 1.29691e+00 1.29691e+00
7.43628e+00 2.15291e+00 2.15292e+00 1.33937e+00 1.33937e+00
7.58534e+00 2.23006e+00 2.23007e+00 1.38330e+00 1.38331e+00
7.73739e+00 2.31016e+00 2.31017e+00 1.42876e+00 1.42876e+00
7.89249e+00 2.39333e+00 2.39334e+00 1.47580e+00 1.47580e+00
8.05069e+00 2.47969e+00 2.47970e+00 1.52447e+00 1.52447e+00
8.21207e+00 2.56937e+00 2.56938e+00 1.57484e+00 1.57485e+00
8.37668e+00 2.66251e+00 2.66253e+00 1.62698e+00 1.62698e+00
8.54459e+00 2.75925e+00 2.75927e+00 1.68093e+00 1.68093e+00
8.71586e+00 2.85974e+00 2.85975e+00 1.73678e+00 1.73678e+00
8.89057e+00 2.96412e+00 2.96413e+00 1.79459e+00 1.79460e+00
9.06878e+00 3.07256e+00 3.07257e+00 1.85444e+00 1.85444e+00
9.25057e+00 3.18522e+00 3.18523e+00 1.91640e+00 1.91640e+00
9.43599e+00 3.30227e+00 3.30229e+00 1.98055e+00 1.98055e+00
9.62514e+00 3.42390e+00 3.42392e+00 2.04696e+00 2.04697e+00
9.81807e+00 3.55030e+00 3.55032e+00 2.11574e+00 2.11574e+00
1.00149e+01 3.68166e+00 3.68168e+00 2.18696e+00 2.18696e+00
1.02156e+01 3.81818e+00 3.81821e+00 2.26071e+00 2.26071e+00
1.04204e+01 3.96008e+00 3.96011e+00 2.33709e+00 2.33709e+00
1.06293e+01 4.10759e+00 4.10762e+00 2.41620e+00 2.41621e+00
1.08423e+01 4.26093e+00 4.26096e+00 2.49815e+00 2.49815e+00
1.10597e+01 4.42035e+00 4.42038e+00 2.58303e+00 2.58303e+00
1.12814e+01 4.58610e+00 4.58613e+00 2.67096e+00 2.67097e+00
1.15075e+01 4.75844e+00 4.75848e+00 2.76206e+00 2.76206e+00
1.17382e+01 4.93766e+00 4.93770e+00 2.85644e+00 2.85644e+00
1.19734e+01 5.12403e+00 5.12408e+00 2.95423e+00 2.95423e+00
1.22135e+01 5.31787e+00 5.31792e+00 3.05555e+00 3.05556e+00
1.24583e+01 5.51948e+00 5.51954e+00 3.16056e+00 3.16056e+00
1.27080e+01 5.72919e+00 5.72925e+00 3.26937e+00 3.26938e+00
1.29627e+01 5.94734e+00 5.94741e+00 3.38214e+00 3.38215e+00
1.32226e+01 6.17430e+00 6.17437e+00 3.49903e+00 3.49904e+00
1.34876e+01 6.41042e+00 6.41050e+00 3.62018e+00 3.62019e+00
1.37580e+01 6.65611e+00 6.65620e+00 3.74576e+00 3.74577e+00
1.40337e+01 6.91177e+00 6.91186e+00 3.87594e+00 3.87595e+00
1.43150e+01 7.17782e+00 7.17792e+00 4.01090e+00 4.01092e+00
1.46020e+01 7.45470e+00 7.45481e+00 4.15083e+00 4.15084e+00
1.48947e+01 7.74289e+00 7.74300e+00 4.29591e+00 4.29592e+00
1.51933e+01 8.04285e+00 8.04298e+00 4.44634e+00 4.44635e+00
1.54978e+01 8.35511e+00 8.35525e+00 4.60233e+00 4.60235e+00
1.58085e+01 8.68018e+00 8.68033e+00 4.76410e+00 4.76412e+00
1.61253e+01 9.01862e+00 9.01878e+00 4.93186e+00 4.93189e+00
1.64486e+01 9.37101e+00 9.37118e+00 5.10587e+00 5.10589e+00
1.67783e+01 9.73794e+00 9.73813e+00 5.28635e+00 5.28637e+00
1.71146e+01 1.01201e+01 1.01203e+01 5.47355e+00 5.47358e+00
1.74577e+01 1.05180e+01 1.05182e+01 5.66776e+00 5.66778e+00
1.78076e+01 1.09325e+01 1.09327e+01 5.86922e+00 5.86925e+00
1.81645e+01 1.13642e+01 1.13644e+01 6.07824e+00 6.07827e+00
1.85286e+01 1.18139e+01 1.18142e+01 6.29511e+00 6.29514e+00
1.89001e+01 1.22824e+01 1.22827e+01 6.52013e+00 6.52017e+00
