energy[ev]	n     k
      1500.00      0.99970271   5.2475636e-05
      1500.10      0.99970275   5.2463169e-05
      1500.20      0.99970278   5.2450705e-05
      1500.30      0.99970282   5.2438229e-05
      1500.40      0.99970286   5.2425771e-05
      1500.50      0.99970290   5.2413316e-05
      1500.60      0.99970293   5.2400863e-05
      1500.70      0.99970297   5.2388414e-05
      1500.80      0.99970301   5.2375952e-05
      1500.90      0.99970305   5.2363508e-05
      1501.00      0.99970308   5.2351067e-05
      1501.10      0.99970312   5.2338629e-05
      1501.20      0.99970316   5.2326194e-05
      1501.30      0.99970320   5.2313746e-05
      1501.40      0.99970323   5.2301316e-05
      1501.50      0.99970327   5.2288889e-05
      1501.60      0.99970331   5.2276466e-05
      1501.70      0.99970335   5.2264044e-05
      1501.80      0.99970338   5.2251611e-05
      1501.90      0.99970342   5.2239196e-05
      1502.00      0.99970346   5.2226783e-05
      1502.10      0.99970350   5.2214373e-05
      1502.20      0.99970353   5.2201967e-05
      1502.30      0.99970357   5.2189547e-05
      1502.40      0.99970361   5.2177146e-05
      1502.50      0.99970365   5.2164748e-05
      1502.60      0.99970368   5.2152352e-05
      1502.70      0.99970372   5.2139960e-05
      1502.80      0.99970376   5.2127555e-05
      1502.90      0.99970379   5.2115168e-05
      1503.00      0.99970383   5.2102784e-05
      1503.10      0.99970387   5.2090402e-05
      1503.20      0.99970391   5.2078024e-05
      1503.30      0.99970394   5.2065633e-05
      1503.40      0.99970398   5.2053260e-05
      1503.50      0.99970402   5.2040890e-05
      1503.60      0.99970406   5.2028523e-05
      1503.70      0.99970409   5.2016159e-05
      1503.80      0.99970413   5.2003782e-05
      1503.90      0.99970417   5.1991423e-05
      1504.00      0.99970420   5.1979068e-05
      1504.10      0.99970424   5.1966715e-05
      1504.20      0.99970428   5.1954364e-05
      1504.30      0.99970432   5.1942002e-05
      1504.40      0.99970435   5.1929657e-05
      1504.50      0.99970439   5.1917316e-05
      1504.60      0.99970443   5.1904977e-05
      1504.70      0.99970447   5.1892641e-05
      1504.80      0.99970450   5.1880292e-05
