# ====================================================================
# CALIMA Dust Chemistry Solver  —  Evolution Output
# Generated  : 2026-05-27 12:14:45
# Config     : solvers/configs/example_ic.json
# ====================================================================
#
# INITIAL CONDITIONS
#   T_gas    = 1.000000e+02 K
#   n_H      = 1.000000e+02 cm^-3
#   n_e      = 1.000000e-03 cm^-3
#   G0       = 1.000000e+00  (Habing units)
#   mu       = 1.4000  (mean molecular weight)
#   rho      = 2.341671e-22 g/cm^3
#
# INITIAL DENSITIES
#   Gas phase:
#     H     = 1.653219e-22 g/cm^3
#     He    = 6.439594e-23 g/cm^3
#     C     = 5.547418e-25 g/cm^3
#     N     = 1.948270e-25 g/cm^3
#     O     = 1.342948e-24 g/cm^3
#     Mg    = 1.508036e-25 g/cm^3
#     Si    = 1.571261e-25 g/cm^3
#     S     = 7.985097e-26 g/cm^3
#     Fe    = 2.945822e-25 g/cm^3
#   Dust / PAH:
#     DustBin_01    = 8.000000e-28 g/cm^3
#     DustBin_02    = 8.000000e-27 g/cm^3
#     DustBin_03    = 6.000000e-28 g/cm^3
#     DustBin_04    = 6.000000e-27 g/cm^3
#     PAHbin_01     = 1.000000e-29 g/cm^3
#     PAHbin_02     = 5.000000e-30 g/cm^3
#
# DUST BINS  (ndust = 4)
#    Idx  ID              Comp.             a [µm]           m [g]     sigma [cm2]  Elements
#   ----------------------------------------------------------------------------------------
#      0  DustBin_01      graphite      1.0000e-02      9.3829e-18      2.2400e+00  C
#      1  DustBin_02      graphite      1.0000e-01      9.3829e-15      2.2400e+00  C
#      2  DustBin_03      silicate      5.0000e-03      1.7279e-18      3.3000e+00  Mg, Si, O, Fe
#      3  DustBin_04      silicate      1.0000e-01      1.3823e-14      3.3000e+00  Mg, Si, O, Fe
#
# PAH BINS  (npah = 2)
#    Idx  ID                  Nc           m [g]     sigma [cm2]
#   ------------------------------------------------------------
#      0  PAHbin_01           54      1.0770e-21      2.2400e+00
#      1  PAHbin_02           96      1.9147e-21      2.2400e+00
#
# ACTIVE PROCESSES  :  accretion, sputtering, coagulation
#
# SOLVER SETTINGS
#   Type     = RK4 (adaptive Runge-Kutta 4th order)
#   errmax   = 1.00e-01  (max accepted relative error per step)
#   countmax = 10000  (max ODE iterations)
#   t_end    = 100 Myr  (3.153600e+15 s)
#
# SOLVER DIAGNOSTICS
#   Substeps   : 367 accepted, 0 rejected, 367 total
#   h changes  : 231 increases, 136 reductions
#   h_step [s] : min = 1.000000e+10  max = 1.473303e+13  mean = 8.592916e+12
#   rel. error : min = 1.093733e-04  max = 9.543553e-02  mean = 8.763137e-02
#   Wall time  : 0.9180 s
#
# MASS CONSERVATION  (gas + dust + PAH per element)
#    Element    M_init [g/cm3]   M_final [g/cm3]       |dM|/M0
#   ------------------------------------------------------------
#          H      1.653219e-22      1.653219e-22    0.0000e+00
#         He      6.439594e-23      6.439594e-23    0.0000e+00
#          C      5.635568e-25      5.635568e-25    1.6296e-16
#          N      1.948270e-25      1.948270e-25    0.0000e+00
#          O      1.346737e-24      1.346737e-24    4.0915e-16
#         Mg      1.517408e-25      1.517408e-25    1.5130e-16
#         Si      1.582019e-25      1.582019e-25    4.3537e-16
#          S      7.985097e-26      7.985097e-26    0.0000e+00
#         Fe      2.953808e-25      2.953808e-25    7.7726e-16
#   ------------------------------------------------------------
#      TOTAL      2.325082e-22      2.325082e-22    0.0000e+00  OK
#
# COLUMN DESCRIPTIONS  (ncols = 19,  nrows = 368)
#   Row 1 is the initial state (t = 0); h_s and error are NaN there.
#   Col 001:  time_s                Time  [s]
#   Col 002:  time_Myr              Time  [Myr]
#   Col 003:  h_s                   Accepted timestep  [s]  (NaN at t = 0)
#   Col 004:  error                 Max relative step error  (NaN at t = 0)
#   Col 005:  DustBin_01            DustBin_01 mass density  [g/cm^3]
#   Col 006:  DustBin_02            DustBin_02 mass density  [g/cm^3]
#   Col 007:  DustBin_03            DustBin_03 mass density  [g/cm^3]
#   Col 008:  DustBin_04            DustBin_04 mass density  [g/cm^3]
#   Col 009:  PAHbin_01             PAHbin_01 mass density  [g/cm^3]
#   Col 010:  PAHbin_02             PAHbin_02 mass density  [g/cm^3]
#   Col 011:  H_gas                 H gas-phase mass density  [g/cm^3]
#   Col 012:  He_gas                He gas-phase mass density  [g/cm^3]
#   Col 013:  C_gas                 C gas-phase mass density  [g/cm^3]
#   Col 014:  N_gas                 N gas-phase mass density  [g/cm^3]
#   Col 015:  O_gas                 O gas-phase mass density  [g/cm^3]
#   Col 016:  Mg_gas                Mg gas-phase mass density  [g/cm^3]
#   Col 017:  Si_gas                Si gas-phase mass density  [g/cm^3]
#   Col 018:  S_gas                 S gas-phase mass density  [g/cm^3]
#   Col 019:  Fe_gas                Fe gas-phase mass density  [g/cm^3]
#
# --------------------------------------------------------------------
# DATA  (column names below, then rows)
#                   time_s                  time_Myr                       h_s                     error                DustBin_01                DustBin_02                DustBin_03                DustBin_04                 PAHbin_01                 PAHbin_02                     H_gas                    He_gas                     C_gas                     N_gas                     O_gas                    Mg_gas                    Si_gas                     S_gas                    Fe_gas
# --------------------------------------------------------------------
   0.000000000000000e+00     0.000000000000000e+00                       nan                       nan     8.000000000000000e-28     8.000000000000000e-27     6.000000000000000e-28     6.000000000000000e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.547417793540000e-25     1.948269989120000e-25     1.342948123510000e-24     1.508035905040000e-25     1.571261012860000e-25     7.985096950600000e-26     2.945821690280000e-25
   1.000000000000000e+10     3.170979198376458e-04     1.000000000000000e+10     1.093732867672980e-04     8.000567171378152e-28     8.000056715328586e-27     6.000656239720604e-28     6.000032810281584e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.547416659215336e-25     1.948269989120000e-25     1.342948067008738e-24     1.508035765263360e-25     1.571260852412167e-25     7.985096950600000e-26     2.945821571174553e-25
   3.000000000000000e+10     9.512937595129375e-04     2.000000000000000e+10     2.187585025372079e-04     8.001701634420577e-28     8.000170147157203e-27     6.001968934293846e-28     6.000098431372957e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.547414390434007e-25     1.948269989120000e-25     1.342947953993563e-24     1.508035485678781e-25     1.571260531480572e-25     7.985096950600000e-26     2.945821332936989e-25
   7.000000000000000e+10     2.219685438863521e-03     4.000000000000000e+10     4.375647262511444e-04     8.003971041728918e-28     8.000397015500279e-27     6.004595184187548e-28     6.000229675668547e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.547409852343268e-25     1.948269989120000e-25     1.342947727912594e-24     1.508034926384396e-25     1.571259889473638e-25     7.985096950600000e-26     2.945820856355154e-25
   1.500000000000000e+11     4.756468797564688e-03     8.000000000000000e+10     8.753203785473457e-04     8.008511781871830e-28     8.000850770930288e-27     6.009851128717194e-28     6.000492172711257e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.547400774048825e-25     1.948269989120000e-25     1.342947275548075e-24     1.508033807294472e-25     1.571258604884500e-25     7.985096950600000e-26     2.945819902764444e-25
   3.100000000000000e+11     9.830035514967021e-03     1.600000000000000e+11     1.751404792102938e-03     8.017600969323305e-28     8.001758356769584e-27     6.020376810783855e-28     6.001017200604005e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.547382609002980e-25     1.948269989120000e-25     1.342946370007914e-24     1.508031567108011e-25     1.571256033402858e-25     7.985096950600000e-26     2.945817993873164e-25
   6.300000000000000e+11     1.997716894977169e-02     3.200000000000000e+11     3.505868372825870e-03     8.035810213417166e-28     8.003573828396168e-27     6.041483459437276e-28     6.002067391628491e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.547346245042620e-25     1.948269989120000e-25     1.342944555676633e-24     1.508027078692648e-25     1.571250881207757e-25     7.985096950600000e-26     2.945814169237537e-25
   1.270000000000000e+12     4.027143581938102e-02     6.400000000000000e+11     7.023993120191016e-03     8.072352503275053e-28     8.007205971688170e-27     6.083918797692112e-28     6.004168314710784e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.547273381319842e-25     1.948269989120000e-25     1.342940913958368e-24     1.508018069563839e-25     1.571240539742998e-25     7.985096950600000e-26     2.945806492444679e-25
   2.550000000000000e+12     8.085996955859970e-02     1.280000000000000e+12     1.409718200063779e-02     8.145934899840895e-28     8.014475060401080e-27     6.169684908260279e-28     6.008372325625995e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.547127108036147e-25     1.948269989120000e-25     1.342933577881356e-24     1.507999921080638e-25     1.571219707329183e-25     7.985096950600000e-26     2.945791027892093e-25
   5.110000000000000e+12     1.620370370370370e-01     2.560000000000000e+12     2.839251715885188e-02     8.295112017560222e-28     8.029032462108471e-27     6.344857792882768e-28     6.016789011372912e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.546832356901354e-25     1.948269989120000e-25     1.342918691780160e-24     1.507963094837261e-25     1.571177434951223e-25     7.985096950600000e-26     2.945759647783300e-25
   1.023000000000000e+13     3.243911719939117e-01     5.120000000000000e+12     5.758873599283942e-02     8.601686859557005e-28     8.058224288406378e-27     6.710250133229204e-28     6.033657077438885e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.546233863796377e-25     1.948269989120000e-25     1.342888035989902e-24     1.507887256471118e-25     1.571090381052059e-25     7.985096950600000e-26     2.945695024950178e-25
   1.823156475143500e+13     5.781191258065386e-01     8.001564751435002e+12     9.143950853832195e-02     9.103578361605569e-28     8.104051682628787e-27     7.323832107580891e-28     6.060111402479413e-27     9.999999999999999e-30     5.000000000000000e-30     1.653219485960000e-22     6.439594315000001e-23     5.545273698352105e-25     1.948269989120000e-25     1.342837631602001e-24     1.507762562689203e-25     1.570947246640423e-25     7.985096950600000e-26     2.945588771797982e-25
