C32,,C40,,C50,,C80,,C100,,C120,,C150,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
4.0147502755748645,3.2622220097116865e-17,0.025260330263315263,3.303078680929329e-17,0.010284782740939052,3.835162619922956e-17,0.010141391788575694,2.3898925662310526e-17,0.01000000000000001,1.8632463119315598e-17,0.010141391788575694,1.584893192461111e-17,0.010141391788575694,1.2511151909536202e-17
6.380842850117603,3.027478593754406e-17,0.03849159021949683,4.236693310314825e-17,0.03298319200430064,3.835162619922956e-17,0.022576599902750873,2.3603313404002115e-17,0.020463297103686006,1.886581953018354e-17,0.030747150813218382,1.5459277364194785e-17,0.030318472507743117,1.2356398096654555e-17
10.430201123624423,2.419824022316293e-17,0.0893757115105425,4.508728185104225e-17,0.06844880234698679,3.78772445893301e-17,0.16346118167496002,2.331135765345882e-17,0.05467702520850774,1.8632463119315598e-17,0.32983192004300604,1.5459277364194785e-17,0.07446483293967072,1.2356398096654555e-17
18.81006273058677,1.75082703173572e-17,0.19076021571856636,4.622371692340372e-17,0.14405773606943362,3.7408730733529044e-17,0.9322066466219916,2.217920351250635e-17,0.2388079499862219,1.8632463119315598e-17,1.057767560283177,1.507920267182102e-17,0.7876648466548981,1.2052609368708414e-17
31.622776601683793,1.2052609368708414e-17,0.4955893342695471,4.5651963299822e-17,0.32983192004300604,3.69460120519931e-17,2.456087882417329,2.0583229363525116e-17,0.7766831841978573,1.7949570205666538e-17,3.392249638669098,1.3650078065460194e-17,2.561749059090953,1.1467254718459678e-17
58.65333121860826,7.417717172873146e-18,1.1507357611050615,4.132531914625695e-17,0.7039810610162373,3.559191465454546e-17,6.844880234698676,1.7077820025399913e-17,1.4006881788178709,1.75082703173572e-17,10.727235250077547,1.0775375972737013e-17,6.117660411806426,1.012524184772223e-17
152.37960002208231,3.221870705681492e-18,2.421844983036866,3.78772445893301e-17,1.5453412244103943,3.386333521444643e-17,10,1.4892683946322948e-17,3.392249638669098,1.6047426876477325e-17,23.880794998622168,7.894003185229209e-18,14.204927595018585,8.296958520834916e-18
294.78962532731964,1.7077820025399913e-18,4.367610510548835,3.221870705681492e-17,3.5381845992860934,2.880444153396298e-17,17.290393534132747,1.2052609368708414e-17,10.577675602831759,1.2667843887764585e-17,50.25965605066875,5.2350269155683184e-18,24.21844983036861,6.631650371466467e-18
578.3558355834498,8.829699955494119e-19,8.215502768619368,2.5751990935588887e-17,6.655347426496749,2.419824022316293e-17,35.88211624166493,8.296958520834916e-18,23.547847767329106,9.052254527335536e-18,81.00961820520676,3.835162619922956e-18,51.69096431154499,4.45295850994266e-18
958.754283016653,5.366976945540476e-19,20.177996797972007,1.6047426876477325e-17,12.34421322005103,1.886581953018354e-17,59.48264115930036,5.8555482989790024e-18,38.49159021949677,6.88395206964551e-18,156.71910803783084,2.3023013182349744e-18,104.30201123624423,2.8448151626563676e-18
1545.3412244103927,3.3030786809293286e-19,36.90397698306444,1.0380450844128557e-17,23.219542502889837,1.3314483516026376e-17,98.60579502771047,4.030931383166575e-18,62.918808218272765,5.043159487171348e-18,298.9577085651794,1.3149793077803464e-18,201.77996797972006,1.6657952586602167e-18
3298.319200430064,1.5652892210349007e-19,71.3934775150288,6.154449170261333e-18,47.5148396848299,8.194331202766673e-18,142.04927595018572,2.9165193681995027e-18,121.72109585547032,3.0653952950565362e-18,546.7702520850777,7.510618033334302e-19,475.148396848299,7.894003185229209e-19
6117.66041180642,8.400871162397323e-20,113.46921459058198,4.081415512613506e-18,97.23102813046852,4.5651963299822005e-18,210.4605648746976,2.0841017531282952e-18,232.19542502889837,1.7727547129853953e-18,821.5502768619351,5.106320948424472e-19,844.9466108283331,4.508728185104225e-19
8100.961820520677,6.231528628840942e-20,235.47847767329108,2.0583229363525116e-18,188.10062730586768,2.5118864315095718e-18,325.2333870135688,1.3994131350936804e-18,353.81845992860934,1.2203558475429546e-18,1502.5511606181956,2.8804441533962977e-19,1854.7811900706147,2.1102034285685879e-19
10000,5.170273455488856e-20,395.8776427607788,1.2356398096654453e-18,320.6989669602793,1.5268057392300704e-18,455.55056054680205,1.012524184772223e-18,787.6648466548974,5.711586478126447e-19,2709.7350522923557,1.6047426876477322e-19,3440.2132630397587,1.1610872735383812e-19
,,674.9448574119237,7.510618033334302e-19,647.1062728437446,7.699924848865794e-19,798.8017808015701,5.928884267818092e-19,1440.5773606943346,3.221870705681492e-19,4818.66605015224,8.940284749220017e-20,6291.880821827276,6.468607661546321e-20
,,1150.7357611050604,4.397878664937169e-19,1183.506729519469,4.236693310314825e-19,1167.006219849125,4.132531914625695e-19,2561.74905909095,1.7949570205666537e-19,8690.09232006217,5.043159487171349e-20,10000,4.0814155126135057e-20
,,1907.6021571856616,2.7066520700332356e-19,2226.1835824332798,2.2456979955397715e-19,1881.0062730586767,2.5433457613046377e-19,4685.23854273686,1e-19,10000,4.289754440156449e-20,,
,,2866.269835277095,1.7727547129853808e-19,4685.23854273686,1.0910328772409745e-19,2826.308158714421,1.6866579862723704e-19,8215.502768619352,5.571164036475414e-20,,,,
,,4306.717067640514,1.1756289450888528e-19,9723.102813046851,5.235026915568319e-20,4818.66605015224,1.0125241847722231e-19,10000,4.622371692340372e-20,,,,
,,6380.842850117597,7.992869139713603e-20,,,6941.661220595723,6.714706386063549e-20,,,,,,
,,9860.579502771046,5.170273455488856e-20,,,9587.542830166529,5.043159487171349e-20,,,,,,
