name,formula,Nc,Nh,url_gen,symmetry_neutral,symmetry_ions,IP1_adiab_eV,IP1_vert_eV,IP1_exp_eV,IP2_singlet_adiab_eV,IP2_singlet_vert_eV,IP2_triplet_adiab_eV,IP2_triplet_vert_eV,IP2_exp_eV,EA_adiab_eV,EA_vert_eV,EA_exp_eV,ZPE_anion_kcalmol,ZPE_neutral_kcalmol,ZPE_cation_kcalmol,ZPE_dication_T_kcalmol,pol_anion_axx_Ang3,pol_anion_ayy_Ang3,pol_anion_azz_Ang3,pol_anion_amean_Ang3,pol_neutral_axx_Ang3,pol_neutral_ayy_Ang3,pol_neutral_azz_Ang3,pol_neutral_amean_Ang3,pol_cation_axx_Ang3,pol_cation_ayy_Ang3,pol_cation_azz_Ang3,pol_cation_amean_Ang3,pol_dication_S_axx_Ang3,pol_dication_S_ayy_Ang3,pol_dication_S_azz_Ang3,pol_dication_S_amean_Ang3,rot_anion_A_cm-1,rot_anion_B_cm-1,rot_anion_C_cm-1,rot_neutral_A_cm-1,rot_neutral_B_cm-1,rot_neutral_C_cm-1,rot_cation_A_cm-1,rot_cation_B_cm-1,rot_cation_C_cm-1,rot_dication_S_A_cm-1,rot_dication_S_B_cm-1,rot_dication_S_C_cm-1,rot_dication_T_A_cm-1,rot_dication_T_B_cm-1,rot_dication_T_C_cm-1,vdW_alpha0_au,vdW_omega1,vdW_C6_x1e-3_au,vdW_KAA_x1e-6_au
Azulene,C10H8,10,8,https://www.dsf.unica.it/~gmalloci/pahs/azulene/azulene_gen.html,,,7.15,7.27,7.42,19.92,20.34,20.54,20.63,,0.63,0.49,0.79,90.0,93.0,93.0,,24.0,14.0,34.0,24.0,20.0,10.0,29.0,19.666666666666668,18.0,8.0,26.0,17.333333333333332,,,,,0.09453,0.04091,0.02855,0.0948,0.04162,0.02892,0.096,0.04114,0.0288,0.09633,0.04045,0.02849,0.0926,0.04144,0.02863,133.0,0.39,5.15,0.703
Naphthalene,C10H8,10,8,https://www.dsf.unica.it/~gmalloci/pahs/naphthalene/naphthalene_gen.html,,,7.8,7.89,8.144,20.99,21.35,21.45,21.57,21.5,,,,90.0,94.0,94.0,,41.0,23.0,17.0,27.0,26.0,19.0,10.0,18.333333333333332,26.0,18.0,8.0,17.333333333333332,,,,,0.1041,0.03989,0.02884,0.1038,0.04093,0.02936,0.1045,0.0406,0.02924,0.1045,0.03999,0.02892,0.1002,0.04087,0.02903,123.0,0.422,4.79,0.605
Acenaphthylene,C12H8,12,8,https://www.dsf.unica.it/~gmalloci/pahs/acenaphthylene/acenaphthylene_gen.html,,,7.66,7.86,8.12,20.48,21.32,20.45,20.66,21.4,0.71,0.57,,99.0,101.0,101.0,,33.0,14.0,32.0,26.333333333333332,28.0,11.0,25.0,21.333333333333332,28.0,9.0,23.0,20.0,25.0,8.0,24.0,19.0,0.05051,0.03983,0.02227,0.05028,0.04058,0.02245,0.05136,0.03975,0.02241,0.05236,0.03838,0.02215,0.05098,0.03931,0.0222,145.0,0.417,6.57,0.838
Biphenylene,C12H8,12,8,https://www.dsf.unica.it/~gmalloci/pahs/biphenylene/biphenylene_gen.html,,,7.22,7.37,7.58,19.31,19.94,20.45,20.61,19.7,0.15,0.0,,98.0,101.0,101.0,,50.0,25.0,14.0,29.666666666666668,31.0,21.0,11.0,21.0,36.0,19.0,10.0,21.666666666666668,,,,,0.09203,0.02231,0.01796,0.09366,0.02234,0.01804,0.09081,0.02289,0.01828,0.08737,0.02336,0.01843,0.09101,0.0225,0.01804,152.0,0.4,6.91,0.92
Acenaphthene,C12H10,12,10,https://www.dsf.unica.it/~gmalloci/pahs/acenaphthene/acenaphthene_gen.html,,,7.37,7.46,7.75,19.78,20.17,20.59,20.72,21.7,,,,112.0,116.0,116.0,,60.0,35.0,26.0,40.333333333333336,28.0,12.0,24.0,21.333333333333332,28.0,11.0,25.0,21.333333333333332,27.0,9.0,24.0,20.0,0.04689,0.03876,0.02139,0.04682,0.03967,0.02165,0.04721,0.03938,0.02164,0.04746,0.03892,0.02155,0.04591,0.03971,0.02146,143.0,0.439,6.76,0.82
Fluorene,C13H10,13,10,https://www.dsf.unica.it/~gmalloci/pahs/fluorene/fluorene_gen.html,,,7.56,7.69,7.91,19.96,20.47,20.43,20.59,21.0,,,,116.0,120.0,120.0,,62.0,54.0,25.0,47.0,34.0,24.0,12.0,23.333333333333332,41.0,21.0,11.0,24.333333333333332,,,,,0.07172,0.01925,0.01522,0.07248,0.01945,0.01538,0.07023,0.01985,0.01552,0.06789,0.02009,0.01555,0.07106,0.01948,0.01533,159.0,0.422,7.97,1.0
Anthracene,C14H10,14,10,https://www.dsf.unica.it/~gmalloci/pahs/anthracene/anthracene_gen.html,,,7.02,7.09,7.439,18.7,18.95,19.7,19.8,,0.53,0.43,0.53,120.0,124.0,124.0,,62.0,29.0,17.0,36.0,46.0,26.0,13.0,28.333333333333332,49.0,24.0,11.0,28.0,,,,,0.07196,0.01474,0.01223,0.07142,0.01501,0.01241,0.07166,0.01501,0.01241,0.07163,0.01495,0.01237,0.06949,0.01509,0.0124,189.0,0.372,9.92,1.42
Phenanthrene,C14H10,14,10,https://www.dsf.unica.it/~gmalloci/pahs/phenanthrene/phenanthrene_gen.html,,,7.53,7.63,7.891,19.63,20.08,19.72,19.86,,,,,120.0,124.0,124.0,,59.0,18.0,36.0,37.666666666666664,39.0,13.0,28.0,26.666666666666668,44.0,11.0,25.0,26.666666666666668,43.0,10.0,26.0,26.333333333333332,0.05342,0.01803,0.01348,0.05376,0.01831,0.01366,0.05465,0.01807,0.01358,0.05534,0.01773,0.01343,0.05307,0.01826,0.01358,182.0,0.379,9.36,1.32
Pyrene,C16H10,16,10,https://www.dsf.unica.it/~gmalloci/pahs/pyrene/pyrene_gen.html,,,7.07,7.14,7.426,18.63,18.92,19.35,19.44,19.8,0.41,0.31,0.406,129.0,132.0,132.0,,53.0,39.0,17.0,36.333333333333336,45.0,32.0,14.0,30.333333333333332,43.0,33.0,12.0,29.333333333333332,41.0,33.0,11.0,28.333333333333332,0.03373,0.01815,0.0118,0.03364,0.01847,0.01192,0.03393,0.01837,0.01192,0.03408,0.01821,0.01187,0.03303,0.01858,0.01189,205.0,0.38,12.0,1.68
Tetracene,C18H12,18,12,https://www.dsf.unica.it/~gmalloci/pahs/tetracene/tetracene_gen.html,,,6.49,6.55,6.97,17.15,17.34,17.96,18.11,18.6,1.08,1.0,1.067,150.0,153.0,154.0,,95.0,36.0,19.0,50.0,70.0,32.0,16.0,39.333333333333336,82.0,30.0,14.0,42.0,85.0,29.0,13.0,42.333333333333336,0.05486,0.007001,0.006209,0.05442,0.007102,0.006283,0.05453,0.007116,0.006294,0.0545,0.007114,0.006293,0.05469,0.007055,0.006249,264.0,0.336,17.5,2.78
