galaxy,gas_fraction,zini_zsun,run,output,time_myr,m_gas,m_metals,m_H,m_O,m_dust_smallC,m_dust_largeC,m_dust_smallSil_Si,m_dust_largeSil_Si,m_dust,OH_over_solar,OHgas_over_solar,Z_over_solar,DTG,DTM_metals,DTM
G8,HG,0.003,1d10_FixSilTaccBug/CorrectSN_0.003Zsun_DTMini1d-3_MR,21,100.1,93190000.0,25020.0,70780000.0,13860.0,1.022,286.3,15.58,51.25,697.322,0.024989630438649796,0.024714636323606327,0.019961616571811756,7.482798583539006e-06,0.02787058353317346,0.02226291034946248
G8,HG,0.003,1d10_FixSilTaccBug/CorrectSN_0.003Zsun_DTMini1d-3_MR,41,200.0,77670000.0,36120.0,58960000.0,20480.0,2.031,614.2,63.65,117.5,1727.5806932515338,0.04432815329752209,0.043433317477214725,0.03457579321148525,2.224257362239647e-05,0.047828922847495396,0.03730638032231145
G8,HG,0.003,1d10_FixSilTaccBug/CorrectSN_0.003Zsun_DTMini1d-3_MR,61,300.2,74510000.0,46880.0,56530000.0,26290.0,5.61,1002.0,140.7,205.5,3131.536380368098,0.05934973200702326,0.05756607815880609,0.046778980790981875,4.2028403977561375e-05,0.06679898422286898,0.05265042139447086
G8,HG,0.003,1d10_FixSilTaccBug/CorrectSN_0.003Zsun_DTMini1d-3_MR,81,400.0,69830000.0,58300.0,52950000.0,32210.0,15.09,1630.0,259.0,314.2,5161.654417177914,0.07763041752645614,0.07447757184515574,0.062073213385454955,7.39174340137178e-05,0.08853609634953541,0.07079338455376712
G8,HG,0.01,1d10_FixSilTaccBug/CorrectSN_0.01Zsun_DTMini1d-3_MR,21,100.1,88080000.0,46550.0,66880000.0,23100.0,2.78,329.3,143.6,108.3,1877.4787730061346,0.04407810113755067,0.04298113202282513,0.03929344394585524,2.1315608231223144e-05,0.04033251929121664,0.03595444325105994
G8,HG,0.01,1d10_FixSilTaccBug/CorrectSN_0.01Zsun_DTMini1d-3_MR,41,200.1,76630000.0,58460.0,58140000.0,30240.0,4.285,724.9,390.9,310.8,5034.092975460122,0.06637643465419399,0.06286132444360312,0.05672019315525237,6.569350091948483e-05,0.08611175120527065,0.07358447597774634
G8,HG,0.01,1d10_FixSilTaccBug/CorrectSN_0.01Zsun_DTMini1d-3_MR,61,300.0,68570000.0,69440.0,51990000.0,36250.0,10.21,1172.0,529.5,547.1,7787.117975460122,0.08898060515956531,0.08294949785945929,0.07529277058203891,0.00011356450306927405,0.11214167591388424,0.09489098733514047
G8,HG,0.01,1d10_FixSilTaccBug/CorrectSN_0.01Zsun_DTMini1d-3_MR,81,400.2,79660000.0,89070.0,60380000.0,46460.0,24.17,1937.0,699.4,746.0,10828.654662576688,0.09819587816378549,0.09122387719523257,0.08313212192711215,0.00013593591090354867,0.1215746565911832,0.10292447467222092
G8,HG,0.03,1d10_FixSilTaccBug/CorrectSN_0.03Zsun_DTMini1d-3_MR,21,100.0,87780000.0,117100.0,66580000.0,54070.0,17.58,480.0,913.4,998.9,12229.481840490796,0.10363817108902135,0.09527300185925044,0.09918340969015985,0.00013931968376043285,0.10443622408617247,0.09994715934474327
G8,HG,0.03,1d10_FixSilTaccBug/CorrectSN_0.03Zsun_DTMini1d-3_MR,41,200.0,87390000.0,132300.0,66230000.0,62290.0,27.33,971.5,1346.0,1604.0,19096.989509202456,0.12002472992915632,0.10705204835718417,0.11255785818475568,0.0002185260271106815,0.1443461036220896,0.13536617220973587
