name,sample,OH_over_solar,DTG,DTG_err_low,DTG_err_high,DTM,DTM_err_low,DTM_err_high,OH_err_low,OH_err_high
IZw18,DGS,0.02879287981447528,6.982324040771711e-06,1.928802868357608e-07,1.277234925127757e-07,0.017710551702069116,0.002005471058146225,0.0018372221245090434,0.0024506715604667795,0.0024506715604667795
HS0822+3542,DGS,0.05113450101544604,4.441292156543566e-05,1.862837660852835e-07,1.2794181197311658e-07,0.06065914017234073,0.00543378638455232,0.005348957322580224,0.00435225195272802,0.00435225195272802
UGC4483,DGS,0.07479336041524703,5.356117999612973e-06,1.7549146336321906e-07,1.0997820095799883e-07,0.0052961297150183875,0.0006252236281980627,0.0005600992040349226,0.006365947500299669,0.006365947500299669
SBS1415+437,DGS,0.0930800096628921,1.080235630878664e-05,2.6334681619022505e-07,1.4968063309526238e-07,0.008554773592425924,0.0009384826508100012,0.0008476896076948623,0.007922393800086082,0.007922393800086082
SBS0335-052,DGS,0.09310809901228709,5.263106269891332e-06,9.780609458056191e-08,7.175672043926918e-08,0.00418514966671182,0.0004343149373060923,0.00041351377755439106,0.007924784591495551,0.007924784591495551
UM133,DGS,0.10439831870355586,4.4868324909365706e-05,0.0,0.0,0.030964478100102204,0.0026355045536802196,0.0026355045536802196,0.008885738149704909,0.008885738149704909
UM456A,HIGH,0.10781870781651048,9.028769950250808e-05,4.411911640636444e-05,0.00020624436639692572,0.05861127552312215,0.035774726026132554,0.1481051842992617,0.009843720758547003,0.010823104444521444
HS1442+4250,DGS,0.10926797877309385,2.469666332806951e-05,4.812802114782452e-07,3.67415327178338e-07,0.01652668194723271,0.0017341273003385774,0.0016566499757891017,0.009300213447710972,0.009300213447710972
VIIZw403,DGS,0.11280807884656804,8.225285791053807e-05,2.4509374523593703e-06,1.5961958985636905e-06,0.05142341441769165,0.00599220401988203,0.005428861761483505,0.009601524835358553,0.009601524835358553
UM461,DGS,0.11325445373629903,6.410547241081863e-05,2.8986284109030515e-06,1.8839885031221527e-06,0.040384506684770276,0.005340174668707281,0.004674082441245535,0.009639517500719532,0.009639517500719532
Mrk209,DGS,0.1288570662042358,3.4258490053699805e-05,1.656803944584223e-06,1.128101870056451e-06,0.019383705349303313,0.0026057828467337075,0.0023007262007632553,0.010967515217187402,0.010967515217187402
UM456,HIGH,0.132992762777483,0.00011904131253329609,5.729398699534684e-05,0.00022700598719211366,0.06239736275890286,0.03733228234370868,0.1327561467266104,0.011300916476539778,0.0124658820501901
UGC06578,HIGH,0.15147928282606826,0.0007954746430247193,0.00027111467054134503,0.0005670767585320252,0.2808015768657314,0.16215894140142328,0.31238298547099885,0.015692559924135884,0.01836780932903744
UGC07053,HIGH,0.1541617055357357,3.556140741291877e-05,1.7725080648589034e-05,6.151025245763818e-05,0.016861448341428217,0.010722233135494422,0.03197823368942458,0.019874205239393285,0.021146823661513207
SBS1211+540,DGS,0.16264145120587842,2.990970196583566e-05,2.5452013418843578e-06,1.8429135606372888e-06,0.01348840981238578,0.0023115558602697654,0.0019905140561153186,0.01384303277725314,0.01384303277725314
SBS1249+493,DGS,0.17457763658890665,0.0001393157414796575,1.0414752238025084e-05,4.69873952057046e-06,0.05600891863480966,0.009202585868259077,0.006768239943552762,0.014858966933444793,0.014858966933444793
NGC6822,DGS,0.17498961270485244,0.002998440392361828,0.00043794788971566936,0.00033346640513051175,0.5602414046171688,0.2337592160397027,0.1893672090069323,0.014894031788278533,0.014894031788278533
UGC07394,HIGH,0.17711649020234563,0.004306231497190937,0.0013242620341820848,0.0017541222931526275,0.6438311713291822,0.6465837972869027,0.8363094248942785,0.024948324509732563,0.027501271277487888
