# Numerical radiation field:  mathis1983
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
   91.2000 4.923167e+05
   91.2100 4.924293e+05
   91.2200 4.925424e+05
   91.2300 4.926561e+05
   91.2400 4.927702e+05
   91.2500 4.928849e+05
   91.2600 4.930000e+05
   91.2700 4.931157e+05
   91.2800 4.932319e+05
   91.2900 4.933486e+05
   91.3000 4.934658e+05
   91.3100 4.935835e+05
   91.3200 4.937017e+05
   91.3300 4.938204e+05
   91.3400 4.939397e+05
   91.3500 4.940594e+05
   91.3600 4.941796e+05
   91.3700 4.943003e+05
   91.3800 4.944216e+05
   91.3900 4.945433e+05
   91.4000 4.946656e+05
   91.4100 4.947883e+05
   91.4200 4.949115e+05
   91.4300 4.950353e+05
   91.4400 4.951595e+05
   91.4500 4.952843e+05
   91.4600 4.954095e+05
   91.4700 4.955353e+05
   91.4800 4.956615e+05
   91.4900 4.957883e+05
   91.5000 4.959155e+05
   91.5100 4.960432e+05
   91.5200 4.961715e+05
   91.5300 4.963002e+05
   91.5400 4.964294e+05
   91.5500 4.965591e+05
   91.5600 4.966894e+05
   91.5700 4.968201e+05
   91.5800 4.969513e+05
   91.5900 4.970830e+05
   91.6000 4.972152e+05
   91.6100 4.973479e+05
   91.6200 4.974810e+05
   91.6300 4.976147e+05
   91.6400 4.977489e+05
   91.6500 4.978835e+05
   91.6600 4.980187e+05
   91.6700 4.981543e+05
   91.6800 4.982904e+05
   91.6900 4.984271e+05
   91.7000 4.985642e+05
   91.7100 4.987018e+05
   91.7200 4.988398e+05
   91.7300 4.989784e+05
   91.7400 4.991175e+05
   91.7500 4.992570e+05
   91.7600 4.993971e+05
   91.7700 4.995376e+05
   91.7800 4.996786e+05
   91.7900 4.998201e+05
   91.8000 4.999621e+05
   91.8100 5.001045e+05
   91.8200 5.002475e+05
   91.8300 5.003909e+05
   91.8400 5.005348e+05
   91.8500 5.006792e+05
   91.8600 5.008241e+05
   91.8700 5.009694e+05
   91.8800 5.011153e+05
   91.8900 5.012616e+05
   91.9000 5.014084e+05
   91.9100 5.015557e+05
   91.9200 5.017034e+05
   91.9300 5.018517e+05
   91.9400 5.020004e+05
   91.9500 5.021496e+05
   91.9600 5.022993e+05
   91.9700 5.024494e+05
   91.9800 5.026001e+05
   91.9900 5.027512e+05
   92.0000 5.029028e+05
   92.0100 5.030548e+05
   92.0200 5.032074e+05
   92.0300 5.033604e+05
   92.0400 5.035139e+05
   92.0500 5.036678e+05
   92.0600 5.038223e+05
   92.0700 5.039772e+05
   92.0800 5.041326e+05
   92.0900 5.042884e+05
   92.1000 5.044448e+05
   92.1100 5.046015e+05
   92.1200 5.047588e+05
   92.1300 5.049166e+05
   92.1400 5.050748e+05
   92.1500 5.052335e+05
   92.1600 5.053926e+05
   92.1700 5.055522e+05
   92.1800 5.057123e+05
   92.1900 5.058729e+05
   92.2000 5.060339e+05
   92.2100 5.061954e+05
   92.2200 5.063573e+05
   92.2300 5.065198e+05
   92.2400 5.066827e+05
   92.2500 5.068460e+05
   92.2600 5.070098e+05
   92.2700 5.071741e+05
   92.2800 5.073389e+05
   92.2900 5.075041e+05
   92.3000 5.076698e+05
   92.3100 5.078359e+05
   92.3200 5.080025e+05
   92.3300 5.081696e+05
   92.3400 5.083371e+05
   92.3500 5.085051e+05
   92.3600 5.086736e+05
   92.3700 5.088425e+05
   92.3800 5.090119e+05
   92.3900 5.091817e+05
   92.4000 5.093520e+05
   92.4100 5.095227e+05
   92.4200 5.096939e+05
   92.4300 5.098656e+05
   92.4400 5.100377e+05
