# wavelength (nm)
# intensity (erg s-1 cm-2 nm-1 sr-1)
col1 col2
91.2 1.706658364133265e-06
91.21 1.7068615458877685e-06
91.22 1.707066416007801e-06
91.23 1.7072733204828045e-06
91.24 1.7074815656305556e-06
91.25 1.7076918439476587e-06
91.26 1.7079034619043042e-06
91.27 1.7081171118456903e-06
91.28 1.70833244674917e-06
91.29 1.7085494660610238e-06
91.3 1.7087681692277798e-06
91.31 1.7089885556962036e-06
91.32 1.709210624913306e-06
91.33 1.7094343763263384e-06
91.34 1.7096601555100971e-06
91.35 1.7098872696198255e-06
91.36 1.7101160642687004e-06
91.37 1.710346538904942e-06
91.38 1.7105790389528028e-06
91.39 1.7108128718715454e-06
91.4 1.7110487290238555e-06
91.41 1.7112859180209081e-06
91.42 1.7115247842500625e-06
91.43 1.7117656729475726e-06
91.44 1.7120078919523558e-06
91.45 1.7122521322499362e-06
91.46 1.7124977018309736e-06
91.47 1.7127452915302443e-06
91.48 1.7129942094900848e-06
91.49 1.7132451463945882e-06
91.5 1.7134974105377026e-06
91.51 1.713751346968608e-06
91.52 1.7140073005856786e-06
91.53 1.7142645799101515e-06
91.54 1.7145235298786298e-06
91.55 1.7147841499436596e-06
91.56 1.7150467848536552e-06
91.57 1.7153107434326776e-06
91.58 1.715576370467335e-06
91.59 1.7158436654111312e-06
91.6 1.7161126277178072e-06
91.61 1.716383256841343e-06
91.62 1.7166552071664556e-06
91.63 1.7169291683242643e-06
91.64 1.7172047946622945e-06
91.65 1.7174817406789298e-06
91.66 1.717760695780074e-06
91.67 1.7180409695456552e-06
91.68 1.7183229063878433e-06
91.69 1.7186068505685594e-06
91.7 1.7188921118941748e-06
91.71 1.719179034664695e-06
91.72 1.7194672736434083e-06
91.73 1.7197575177112624e-06
91.74 1.7200494215944345e-06
91.75 1.7203426401696314e-06
91.76 1.7206378620930728e-06
91.77 1.7209343976988997e-06
91.78 1.7212325910256516e-06
91.79 1.7215324415315316e-06
91.8 1.7218339486749776e-06
91.81 1.7221367675592805e-06
91.82 1.72244158639162e-06
91.83 1.7227477159578621e-06
91.84 1.7230555000727468e-06
91.85 1.7233649381958672e-06
91.86 1.7236760297870491e-06
91.87 1.7239884301758708e-06
91.88 1.7243028271210558e-06
91.89 1.724618531859602e-06
91.9 1.7249358879827395e-06
91.91 1.7252548949514457e-06
91.92 1.725575208283637e-06
91.93 1.7258975153647653e-06
91.94 1.7262211278073177e-06
91.95 1.7265463890164798e-06
91.96 1.7268732984543778e-06
91.97 1.7272015118270608e-06
91.98 1.7275317161471119e-06
91.99 1.727863223402097e-06
92.0 1.7281963768113602e-06
92.01 1.7285308322313036e-06
92.02 1.7288672763765034e-06
92.03 1.7292050215342857e-06
92.04 1.7295444107754617e-06
92.05 1.7298851001066553e-06
92.06 1.7302277759446893e-06
92.07 1.7305717508763943e-06
92.08 1.7309173678241718e-06
92.09 1.731264282944737e-06
92.1 1.7316131823574191e-06
92.11 1.731963035714461e-06
92.12 1.7323148722948988e-06
92.13 1.7326683482936273e-06
92.14 1.7330231200547928e-06
92.15 1.7333795302413886e-06
92.16 1.7337372352724641e-06
92.17 1.7340965777369572e-06
92.18 1.7344575571019632e-06
92.19 1.7348201728348126e-06
92.2 1.7351840815042803e-06
92.21 1.7355496255513135e-06
92.22 1.7359164616194918e-06
92.23 1.7362852748630471e-06
92.24 1.736655379138759e-06
92.25 1.7370267740267783e-06
92.26 1.7373998017832237e-06
92.27 1.7377744618771948e-06
92.28 1.738150753778023e-06
92.29 1.738528334390878e-06
92.3 1.7389075458241708e-06
92.31 1.739288045057727e-06
92.32 1.7396701741261398e-06
92.33 1.7400539324998414e-06
92.34 1.7404389772705914e-06
92.35 1.7408256503623296e-06
92.36 1.7412139512461518e-06
92.37 1.7416035371256787e-06
92.38 1.741994749814267e-06
92.39 1.7423872465900632e-06
92.4 1.7427813691927338e-06
92.41 1.7431767749749183e-06
92.42 1.7435738056026232e-06
92.43 1.7439724605484733e-06
92.44 1.7443723972767986e-06
92.45 1.744773957343189e-06
92.46 1.7451767982863866e-06
92.47 1.7455812615884013e-06
92.48 1.745987346722949e-06
92.49 1.7463947113403405e-06
92.5 1.746803355025609e-06
92.51 1.7472139608634307e-06
92.52 1.7476255030791858e-06
92.53 1.7480390063968772e-06
92.54 1.748453445263918e-06
92.55 1.7488698441831376e-06
92.56 1.7492871778238862e-06
92.57 1.749706470467915e-06
92.58 1.7501270384977513e-06
92.59 1.7505488815001581e-06
92.6 1.7509723404796564e-06
92.61 1.7513970735320559e-06
92.62 1.7518234215885319e-06
92.63 1.7522510428190317e-06
92.64 1.752680278081419e-06
92.65 1.7531107856197448e-06
92.66 1.7535429062185917e-06
92.67 1.7539766393557654e-06
92.68 1.7544113022635522e-06
92.69 1.7548479178992311e-06
92.7 1.7552854624830264e-06
92.71 1.7557246177393173e-06
92.72 1.7561653831469622e-06
92.73 1.7566074172461069e-06
92.74 1.757050719626349e-06
92.75 1.7574956307428826e-06
92.76 1.7579421500754185e-06
92.77 1.7583899363119566e-06
92.78 1.7588389890428485e-06
92.79 1.7592896485771045e-06
92.8 1.759741573713518e-06
92.81 1.760194764042995e-06
92.82 1.7606495597649745e-06
92.83 1.7611056197889734e-06
92.84 1.7615632842414323e-06
92.85 1.7620222121056512e-06
92.86 1.7624827434351012e-06
92.87 1.7629445372868333e-06
92.88 1.763407593253056e-06
92.89 1.7638722512778365e-06
92.9 1.764338170528778e-06
92.91 1.764805350598641e-06
92.92 1.7652741313221547e-06
92.93 1.7657441719774071e-06
92.94 1.7662158123262855e-06
92.95 1.7666883715885172e-06
92.96 1.7671628697537309e-06
92.97 1.7676382860198358e-06
92.98 1.7681153001350843e-06
92.99 1.7685935715983127e-06
93.0 1.76907343995304e-06
93.01 1.7695545647716293e-06
93.02 1.7700369456488578e-06
93.03 1.7705209220191655e-06
93.04 1.7710061535651337e-06
93.05 1.7714926398820863e-06
93.06 1.771980380565518e-06
93.07 1.7724697149045315e-06
93.08 1.7729603027285491e-06
93.09 1.7734524832540622e-06
93.1 1.7739455767999053e-06
93.11 1.7744402621669026e-06
93.12 1.7749365388422266e-06
93.13 1.775433727364106e-06
93.14 1.7759325063151053e-06
93.15 1.7764325357813157e-06
93.16 1.7769338153600382e-06
93.17 1.7774366839775835e-06
93.18 1.7779408018299274e-06
93.19 1.7784461685149134e-06
93.2 1.7789527836305567e-06
93.21 1.7794609859582625e-06
93.22 1.779970435840403e-06
93.23 1.7804811328755334e-06
93.24 1.7809930766623832e-06
93.25 1.7815066058375747e-06
93.26 1.78202138088975e-06
93.27 1.7825374014181752e-06
93.28 1.7830546670222908e-06
93.29 1.7835731773017078e-06
93.3 1.78409327071224e-06
93.31 1.7846146079251808e-06
93.32 1.7851371885406796e-06
93.33 1.7856610121590564e-06
93.34 1.7861860783808032e-06
93.35 1.7867127254811175e-06
93.36 1.7872406143137469e-06
93.37 1.7877697444797192e-06
93.38 1.7883001155802351e-06
93.39 1.788831727216664e-06
93.4 1.7893649174837768e-06
93.41 1.7898990089605885e-06
93.42 1.7904346781992188e-06
93.43 1.7909715863085133e-06
93.44 1.7915097328907183e-06
93.45 1.7920491175482503e-06
93.46 1.7925897398836956e-06
93.47 1.7931319377395427e-06
93.48 1.7936753724066206e-06
93.49 1.794219705320675e-06
93.5 1.7947656124559097e-06
93.51 1.7953127552122366e-06
93.52 1.795861133193283e-06
93.53 1.7964107460028472e-06
93.54 1.7969619312315106e-06
93.55 1.7975140124740563e-06
93.56 1.798067327357538e-06
