table,species,Z,NH,H_loss_p0,H_loss_p1,H_loss_p2,H_loss_p3,H_loss_p4,H2_loss_p0,H2_loss_p1,H2_loss_p2,H2_loss_p3,H2_loss_p4
Table B.2,circumcoronene (C54),-1,18,-13.972,0.541,0.498,-0.087,0.007,-14.226,1.179,-0.231,0.079,-0.005
Table B.2,circumcoronene (C54),-1,19,-2.676,0.973,0.04,-0.017,0.003,,,,,
Table B.2,circumcoronene (C54),-1,20,-2.866,1.275,-0.13,0.019,0.0,,,,,
Table B.2,circumcoronene (C54),0,17,-10.438,0.597,0.375,-0.058,0.005,,,,,
Table B.2,circumcoronene (C54),0,18,-14.148,1.962,-0.031,-0.009,0.003,-13.527,1.051,-0.121,0.06,-0.004
Table B.2,circumcoronene (C54),0,19,-0.624,0.979,0.031,-0.014,0.002,,,,,
Table B.2,circumcoronene (C54),0,20,-0.982,1.228,-0.115,0.021,-0.001,,,,,
Table B.2,circumcoronene (C54),1,1,-10.821,0.825,0.101,0.015,-0.001,,,,,
Table B.2,circumcoronene (C54),1,18,-13.752,0.537,0.503,-0.089,0.007,-14.036,1.179,-0.23,0.078,-0.005
Table B.2,circumcoronene (C54),1,19,-2.904,0.961,0.058,-0.026,0.004,,,,,
