table,species,Z,NH,H_loss_p0,H_loss_p1,H_loss_p2,H_loss_p3,H_loss_p4,H2_loss_p0,H2_loss_p1,H2_loss_p2,H2_loss_p3,H2_loss_p4
Table B.3,circumcircumcoronene (C96),-1,22,-20.455,1.746,0.265,-0.098,0.012,-19.627,0.667,0.429,-0.068,0.005
Table B.3,circumcircumcoronene (C96),-1,24,-20.666,1.769,0.254,-0.096,0.012,-19.841,0.812,0.33,-0.043,0.003
Table B.3,circumcircumcoronene (C96),-1,25,-5.927,0.859,0.161,-0.066,0.01,,,,,
Table B.3,circumcircumcoronene (C96),-1,26,-6.042,0.99,0.045,-0.033,0.007,,,,,
Table B.3,circumcircumcoronene (C96),0,22,-19.161,1.96,0.05,-0.029,0.007,-18.846,0.693,0.679,-0.167,0.016
Table B.3,circumcircumcoronene (C96),0,24,-19.318,2.106,-0.074,0.005,0.004,-19.04,1.019,0.428,-0.1,0.01
Table B.3,circumcircumcoronene (C96),0,25,-2.764,0.82,0.223,-0.088,0.012,,,,,
Table B.3,circumcircumcoronene (C96),0,26,-2.819,0.858,0.186,-0.076,0.011,,,,,
Table B.3,circumcircumcoronene (C96),1,22,-20.559,1.741,0.236,-0.085,0.011,-19.491,0.42,0.498,-0.075,0.005
Table B.3,circumcircumcoronene (C96),1,24,-20.7,1.802,0.181,-0.066,0.009,-19.818,0.795,0.269,-0.016,0.0
Table B.3,circumcircumcoronene (C96),1,25,-6.489,0.91,0.136,-0.059,0.009,,,,,
