#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-06-30T16:01:50 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5efb61cc1f63 
#INFO -out.max=unlimited 
#INFO queryParameters=14 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/A+AS/141/491&tab:{J/A+AS/141/491/table3}&key:source=J/A+AS/141/491/table3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+AS/141/491/table3
#-order=I
#-out=HD
#-out=[Fe/H]
#-out=Mass
#-out=Age
#Simbad=Simbad
#
#RESOURCE=yCat_41410491
#Name: J/A+AS/141/491
#Title: Chemical composition of halo and disk stars (Nissen+, 2000)
#Table J_A_AS_141_491_table3:
#Name: J/A+AS/141/491/table3
#Title: Stellar atmospheric parameters, space velocities, distances, masses and ages
#---Details of Columns:
#    HD             (a7)    HD <Cat. <III/135>) number of the star [ucd=meta.id;meta.main]
#    [Fe/H] ([Sun]) (F5.2)  Iron-to-hydrogen ratio [ucd=phys.abund.Fe]
#    Mass (solMass) (F5.2)  Stellar mass [ucd=phys.mass]
#    Age (Gyr)      (F4.1)  Stellar age [ucd=time.age]
#------- ----- ----- ----
#        [Fe/  Mass  A   
#        H] ([ (sol  ge (
#HD      Sun]) Mass) Gyr)
#------- ----- ----- ----
   400  -0.23  1.20  4.2
  3454  -0.59  0.95  9.1
  5750  -0.44  1.05  6.0
  6834  -0.73  1.04  6.3
  6840  -0.45  1.07  6.8
 10307  -0.05  0.99  9.1
 11007  -0.16  1.18  4.9
 11592  -0.41  1.10  5.5
 19373A  0.03  1.09  5.7
 22484  -0.13  1.08  6.3
 24421  -0.37  1.03  7.9
 25173  -0.62  0.99  7.9
 25457  -0.11  1.16  3.5
 25998  -0.11  1.16  4.2
 33632A -0.23  1.06  6.0
 34411A  0.01  1.01  9.4
 35296A -0.14  1.00  7.5
 39587  -0.18  0.90 10.7
 39833   0.04  1.00  9.4
 41640  -0.62  0.95  7.2
 43947  -0.33  0.98  9.8
 46317  -0.24  1.19  3.7
 49732  -0.70  1.04  6.3
 54717  -0.44  1.10  4.6
 55575  -0.36  0.96 10.6
 58551  -0.54  1.04  5.9
 58855  -0.31  1.16  3.6
 59380  -0.17  1.20  4.2
 59984A -0.71  0.99  7.8
 60319  -0.85  0.80 17.0
 62301  -0.67  0.90 12.2
 63333  -0.39  1.03  7.5
 68146A -0.09  1.10  4.9
 69897  -0.28  1.19  3.3
 72945A  0.00  1.20  2.8
 75332   0.00  1.15  3.9
 76349  -0.49  1.02  8.1
 78418A -0.26  1.19  5.9
 79028  -0.05  0.95  7.4
 80218  -0.28  1.18  4.9
 89125A -0.36  1.07  6.5
 90839A -0.18  1.03  5.2
 91889A -0.24  1.15  5.8
 94280   0.06  1.13  4.8
 95128  -0.12  0.92 12.1
 97916  -0.94  1.04  5.5
100180A -0.11  0.95  9.2
100446  -0.48  0.98  8.8
100563  -0.02  1.27  1.6
101676  -0.47  1.09  6.1
106516A -0.71  0.90  9.3
108510  -0.06  1.05  5.2
109303  -0.61  1.00  8.4
114710A -0.05  0.94  9.6
115383A  0.00  1.09  5.7
118244  -0.55  1.07  5.8
121560  -0.38  1.00  7.1
124244   0.05  1.19  5.8
128385  -0.33  1.06  5.5
130948  -0.20  0.97 10.0
132254   0.07  1.23  3.2
139457  -0.52  0.98  8.7
142373  -0.39  0.96  9.7
142860A -0.22  1.20  4.2
146099A -0.61  1.00  8.1
149750   0.08  1.11  7.5
154417  -0.04  1.05  5.0
157347  -0.02  1.06  7.7
157466  -0.44  0.95  8.4
162004B -0.08  1.10  5.6
167588  -0.33  1.18  4.9
168009  -0.07  0.89 12.8
170153A -0.65  0.95  9.4
184601  -0.81  0.80 17.1
189340  -0.19  0.96  9.4
191862A -0.27  1.15  5.9
198390  -0.31  1.20  3.8
200580  -0.58  0.87 13.2
201891  -1.04  0.70 21.7
204306  -0.65  0.98  8.9
204363  -0.49  1.06  6.3
206301  -0.04  1.09  6.7
206860  -0.20  0.97  9.9
208906A -0.73  0.83 13.6
209942A -0.29  1.10  6.2
210027A -0.17  1.23  2.7
210752  -0.68  0.85 14.0
212029A -1.01  0.76 18.8
215257  -0.65  0.90 11.2
219623A  0.02  1.10  5.5
