# Object	Reference	Metallicity	[Fe/H]	[C/Fe]
2MASSJ00114258+0109386	C.L.Kielty+MNRAS4714042017	-2.18	-2.18	0.91
2MASSJ02031860-7930291	H.R.Jacobson+ApJ8071712015	-3.03	-3.03	-0.52
2MASSJ02121851+4923143	C.L.Kielty+MNRAS4714042017	-1.82	-1.82	0.89
2MASSJ03084611-4747083	H.R.Jacobson+ApJ8071712015	-1.56	-1.56	0.2
2MASSJ05352696-0510173	C.L.Kielty+MNRAS4714042017	-1.9	-1.9	0.87
2MASSJ09544277+5246414	E.M.Holmbeck+ApJ859L242018	-2.99	-2.99	-0.5
2MASSJ10242264-2904203	H.R.Jacobson+ApJ8071712015	-3.13	-3.13	-0.05
2MASSJ10294248-0103238	H.R.Jacobson+ApJ8071712015	-2.39	-2.39	-0.34
2MASSJ11584435+5518120	C.L.Kielty+MNRAS4714042017	-1.8	-1.8	0.86
2MASSJ12473823-0814340	C.L.Kielty+MNRAS4714042017	-2.24	-2.24	0.87
2MASSJ14571988+1751501	C.L.Kielty+MNRAS4714042017	-1.9	-1.9	0.9
2MASSJ15312547+4220551	C.L.Kielty+MNRAS4714042017	-2.08	-2.08	0.83
2MASSJ16300629-1252459	C.L.Kielty+MNRAS4714042017	-1.95	-1.95	1.04
2MASSJ16334467-1343201	C.L.Kielty+MNRAS4714042017	-2.1	-2.1	1.01
2MASSJ16385680+3635073	C.L.Kielty+MNRAS4714042017	-1.84	-1.84	1
2MASSJ16562103+1002085	C.L.Kielty+MNRAS4714042017	-1.98	-1.98	1
2MASSJ18111704-2352577	C.L.Kielty+MNRAS4714042017	-1.82	-1.82	0.83
2MASSJ21330683+1209406	C.L.Kielty+MNRAS4714042017	-2.01	-2.01	0.98
2MASSJ23203653-3637223	H.R.Jacobson+ApJ8071712015	-2.63	-2.63	-0.08
2MASSJ23261426-3719492	H.R.Jacobson+ApJ8071712015	-2.55	-2.55	0.24
BD+01_2916	H.N.Li+ApJ765512013	-1.88	-1.71	-1.08
BD+01_2916	W.Aoki+PASJ60L72008	-1.9	-1.93	-0.54
BD+01_2916	D.L.Burris+ApJ5443022000	-1.8	-1.82	
BD+02_3375	P.E.Nissen+AAP4693192007	-2.19	-2.19	
BD+02_3375	D.K.Lai+ApJ66711852007	-2.25	-2.08	-0.04
BD+02_3375	J.A.Rich+ApJ70115192009	-2.39	-2.39	
BD+02_3375	C.J.Akerman+AAP4149312004	-2.28	-2.28	0.51
BD+02_3375	T.V.Mishenina+AAP3709512001	-2.25	-2.26	
BD+02_3375	M.Bergemann+MNRAS40113342010	-2.19	-2.19	
BD+02_3375	A.E.GarciaPerez+AAP5042132009	-2.19	-2.19	
BD+02_3375	A.M.Boesgaard+ApJ6333982005	-2.34	-2.32	
BD+02_3375	J.Melendez+AAP515L32010	-2.24	-2.24	
BD+02_3375	P.E.Nissen+AAP4159932004	-2.28	-2.28	
BD+02_3375	M.Bergemann+AAP4928232008	-2.19	-2.19	
BD+02_3375	J.R.Shi+AAP4655872007	-2.19	-2.18	
BD+02_3375	R.G.Gratton+AAP4041872003	-2.32	-2.38	
BD+02_3375	J.Melendez+ApJ64210822006	-2	-2.24	
BD+02_3375	A.M.Boesgaard+AJ1174921999	-2.3	-2.13	
BD+02_3375	T.V.Mishenina+AAP3961892002		-2.26	
BD+02_3375	K.A.Venn+AJ12811772004		-2.32	
BD+02_3375	A.Stephens+AJ12316472002	-2.34	-2.33	
BD+02_3375	J.P.Fulbright+AJ12018412000	-2.2	-2.3	
BD+02_3375	G.S.Bai+AAP4256712004	-2.25	-2.25	
BD+02_3375	C.Charbonnel+AAP4429612005	-2.32	-2.32	
BD+02_3375	E.Caffau+AAP4415332005	-2.37	-2.37	
BD+02_3375	D.Fabbian+AAP50011432009	-2.19	-2.24	0.35
BD+02_3375	T.Gehren+AAP45110652006	-2.19	-2.18	
BD+02_4651	P.E.Nissen+AAP4693192007	-1.69	-1.69	
BD+02_4651	J.Melendez+ApJ64210822006	-1.6	-1.79	
BD+02_4651	Y.Takeda+PASJ63S5372011	-1.69	-1.69	
BD+02_4651	C.J.Akerman+AAP4149312004	-1.8	-1.8	0.22
BD+02_4651	T.V.Mishenina+AAP3961892002		-1.82	
BD+02_4651	K.A.Venn+AJ12811772004		-1.77	
BD+02_4651	T.V.Mishenina+AAP3709512001	-1.82	-1.82	
BD+02_4651	J.P.Fulbright+AJ12018412000	-1.5	-1.75	
BD+02_4651	C.Charbonnel+AAP4429612005	-1.81	-1.81	
BD+02_4651	D.Fabbian+AAP50011432009	-1.69	-1.74	0.13
BD+02_4651	R.Smiljanic+AAP4991032009	-1.5	-1.5	
