#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (D10.3)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- --------- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol            M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0        lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- --------- ----- ---- --------- --------- --------- -----------
 1.00  1.345e-05 0.722    p -5.58e-03  2.08e-01  2.14e-01  2.78e-01
 1.00  1.345e-05 0.722   He  5.31e-03  6.90e-02  6.37e-02  2.78e-01
 1.00  1.345e-05 0.722    C  2.56e-04  2.56e-04 -9.41e-07  2.78e-01
 1.00  1.345e-05 0.722    N  3.01e-06  2.69e-06 -3.25e-07  2.78e-01
 1.00  1.345e-05 0.722    O  1.19e-05  8.90e-06 -2.95e-06  2.78e-01
 1.00  1.345e-05 0.722    F  5.41e-09  5.30e-09 -1.22e-10  2.78e-01
 1.00  1.345e-05 0.722   Ne  1.35e-06  8.36e-07 -5.26e-07  2.78e-01
 1.00  1.345e-05 0.722   Mg  2.15e-08 -1.76e-07 -1.97e-07  2.78e-01
 1.00  1.345e-05 0.722   Si  8.09e-09 -2.09e-07 -2.14e-07  2.78e-01
 1.00  1.345e-05 0.722    S -2.29e-10 -1.77e-07 -1.76e-07  2.78e-01
 1.00  1.345e-05 0.722   Fe -5.39e-09 -3.86e-07 -3.76e-07  2.78e-01
 1.25  1.345e-05 0.669    p -3.02e-02  4.18e-01  4.48e-01  5.81e-01
 1.25  1.345e-05 0.669   He  2.61e-02  1.60e-01  1.34e-01  5.81e-01
 1.25  1.345e-05 0.669    C  3.80e-03  3.80e-03  8.50e-07  5.81e-01
 1.25  1.345e-05 0.669    N  1.76e-05  1.79e-05  2.95e-07  5.81e-01
 1.25  1.345e-05 0.669    O  9.76e-05  9.98e-05  2.66e-06  5.81e-01
 1.25  1.345e-05 0.669    F  1.62e-07  1.62e-07  1.12e-10  5.81e-01
 1.25  1.345e-05 0.669   Ne  6.72e-05  6.76e-05  4.86e-07  5.81e-01
 1.25  1.345e-05 0.669   Mg  3.18e-07  4.97e-07  1.81e-07  5.81e-01
 1.25  1.345e-05 0.669   Si  2.12e-08  2.27e-07  1.96e-07  5.81e-01
 1.25  1.345e-05 0.669    S -3.64e-09  1.55e-07  1.55e-07  5.81e-01
 1.25  1.345e-05 0.669   Fe -1.78e-08  3.32e-07  3.53e-07  5.81e-01
 1.50  1.345e-05 0.662    p -5.96e-02  5.86e-01  6.46e-01  8.38e-01
 1.50  1.345e-05 0.662   He  4.69e-02  2.39e-01  1.92e-01  8.38e-01
 1.50  1.345e-05 0.662    C  1.18e-02  1.18e-02  1.31e-06  8.38e-01
 1.50  1.345e-05 0.662    N  3.63e-05  3.67e-05  4.48e-07  8.38e-01
 1.50  1.345e-05 0.662    O  2.80e-04  2.85e-04  4.13e-06  8.38e-01
 1.50  1.345e-05 0.662    F  1.28e-06  1.28e-06  1.69e-10  8.38e-01
 1.50  1.345e-05 0.662   Ne  5.54e-04  5.55e-04  7.44e-07  8.38e-01
 1.50  1.345e-05 0.662   Mg  4.16e-06  4.43e-06  2.79e-07  8.38e-01
 1.50  1.345e-05 0.662   Si  4.43e-08  3.35e-07  2.94e-07  8.38e-01
 1.50  1.345e-05 0.662    S -7.61e-09  2.41e-07  2.51e-07  8.38e-01
 1.50  1.345e-05 0.662   Fe -4.23e-08  4.91e-07  5.32e-07  8.38e-01
 1.75  1.345e-05 0.661    p -1.15e-01  7.21e-01  8.36e-01  1.09e+00
 1.75  1.345e-05 0.661   He  8.84e-02  3.38e-01  2.49e-01  1.09e+00
 1.75  1.345e-05 0.661    C  2.35e-02  2.35e-02  1.82e-06  1.09e+00
 1.75  1.345e-05 0.661    N  4.79e-05  4.85e-05  6.50e-07  1.09e+00
 1.75  1.345e-05 0.661    O  4.34e-04  4.39e-04  5.42e-06  1.09e+00
 1.75  1.345e-05 0.661    F  4.90e-06  4.90e-06  2.34e-10  1.09e+00
 1.75  1.345e-05 0.661   Ne  2.13e-03  2.14e-03  1.01e-06  1.09e+00
 1.75  1.345e-05 0.661   Mg  3.02e-05  3.07e-05  3.85e-07  1.09e+00
 1.75  1.345e-05 0.661   Si  1.19e-07  5.40e-07  4.17e-07  1.09e+00
 1.75  1.345e-05 0.661    S -1.83e-08  3.23e-07  3.54e-07  1.09e+00
 1.75  1.345e-05 0.661   Fe -9.30e-08  6.24e-07  7.39e-07  1.09e+00
 1.90  1.345e-05 0.681    p -1.43e-01  7.96e-01  9.38e-01  1.22e+00
 1.90  1.345e-05 0.681   He  1.08e-01  3.88e-01  2.79e-01  1.22e+00
 1.90  1.345e-05 0.681    C  3.02e-02  3.02e-02  1.96e-06  1.22e+00
 1.90  1.345e-05 0.681    N  5.78e-05  5.84e-05  7.18e-07  1.22e+00
 1.90  1.345e-05 0.681    O  4.87e-04  4.93e-04  6.08e-06  1.22e+00
 1.90  1.345e-05 0.681    F  7.98e-06  7.98e-06  2.61e-10  1.22e+00
 1.90  1.345e-05 0.681   Ne  3.43e-03  3.43e-03  1.13e-06  1.22e+00
 1.90  1.345e-05 0.681   Mg  6.48e-05  6.52e-05  4.13e-07  1.22e+00
 1.90  1.345e-05 0.681   Si  2.06e-07  6.46e-07  4.31e-07  1.22e+00
 1.90  1.345e-05 0.681    S -3.27e-08  3.34e-07  3.65e-07  1.22e+00
 1.90  1.345e-05 0.681   Fe -1.03e-07  7.06e-07  8.08e-07  1.22e+00
 2.10  1.345e-05 0.693    p -1.92e-01  8.89e-01  1.08e+00  1.41e+00
 2.10  1.345e-05 0.693   He  1.43e-01  4.65e-01  3.22e-01  1.41e+00
 2.10  1.345e-05 0.693    C  4.14e-02  4.14e-02  2.23e-06  1.41e+00
 2.10  1.345e-05 0.693    N  6.52e-05  6.60e-05  8.31e-07  1.41e+00
 2.10  1.345e-05 0.693    O  5.71e-04  5.78e-04  7.12e-06  1.41e+00
