#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-08-29T13:09:25 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5d67c90162fd 
#INFO -out.max=unlimited 
#INFO queryParameters=19 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/MNRAS/403/1413&tab:{J/MNRAS/403/1413/yields}&key:source=J/MNRAS/403/1413/yields&HTTPPRM:&&-ref=VIZ5d67c90162fd&-file=.&-oc.form=sexa&-order=I&-out.form=verb&-out=M0&-out=Mix&-out=Z0&-out=M1&-out=El&-out=A&-out=Yield&-out=M(i)lost&-out=M(i)0&-out=<X(i)>&-out=X0(i)&-out=f&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&
#-source=J/MNRAS/403/1413/yields
#-order=I
#-out=M0
#-out=Mix
#Mix=n
#-out=Z0
#Z0=0.0001
#-out=M1
#-out=El
#-out=A
#-out=Yield
#-out=M(i)lost
#-out=M(i)0
#-out=<X(i)>
#-out=X0(i)
#-out=f
#

#RESOURCE=yCat_74031413
#Name: J/MNRAS/403/1413
#Title: Updated stellar yields from AGB models (Karakas, 2010)
#Table J_MNRAS_403_1413_yields:
#Name: J/MNRAS/403/1413/yields
#Title: Stellar yields
#---Details of Columns:
#    M0 (solMass)       (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Mix                (A1)    Simbad column added by the CDS [ucd=stat.param]
#    Z0                 (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)       (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                 (a4)    Species i (2) [ucd=phys.atmol.element]
#    A                  (I2)    Atomic mass of the species i [ucd=phys.mass]
#    Yield (solMass)    (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass) (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)    (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    <X(i)>             (E9.2)  Average abundance of species i in the wind (mass fraction) [ucd=phys.abund]
#    X0(i)              (E9.2)  initial mass fraction of species i (mass fraction) [ucd=phys.mass]
#    f                  (E9.2)  Production factor, f=log10(<X(i)>/X0(i)) [ucd=arith.factor]
#----- - ------- ------ ---- -- --------- --------- --------- --------- --------- ---------
#M0    M                                                                                   
#(sol  i         M1 (so         Yield     M(i)lost  M(i)0                                  
#Mass) x Z0      lMass) El   A  (solMass) (solMass) (solMass) <X(i)>    X0(i)     f        
#----- - ------- ------ ---- -- --------- --------- --------- --------- --------- ---------
 1.00 n  0.0001  0.720 g     1  5.82e-09  5.90e-09  7.93e-11  2.11e-08  2.83e-10  1.87e+00
 1.00 n  0.0001  0.720 n     1 -3.25e-42 -3.25e-42  0.00e+00 -1.16e-41  0.00e+00  0.00e+00
 1.00 n  0.0001  0.720 p     1 -5.64e-03  2.10e-01  2.16e-01  7.50e-01  7.70e-01 -1.16e-02
 1.00 n  0.0001  0.720 D     2  1.20e-18  1.20e-18  0.00e+00  4.30e-18  0.00e+00  0.00e+00
 1.00 n  0.0001  0.720 He    3  7.34e-05  7.34e-05  0.00e+00  2.62e-04  0.00e+00  0.00e+00
 1.00 n  0.0001  0.720 He    4  5.30e-03  6.97e-02  6.44e-02  2.49e-01  2.30e-01  3.43e-02
 1.00 n  0.0001  0.720 Li    7 -4.01e-10  1.21e-10  5.22e-10  4.32e-10  1.87e-09 -6.35e-01
 1.00 n  0.0001  0.720 Be    7  4.88e-12  4.88e-12  0.00e+00  1.74e-11  0.00e+00  0.00e+00
 1.00 n  0.0001  0.720 B     8  3.38e-27  3.38e-27  0.00e+00  1.21e-26  0.00e+00  0.00e+00
 1.00 n  0.0001  0.720 C    12  2.50e-04  2.55e-04  4.24e-06  9.09e-04  1.52e-05  1.78e+00
 1.00 n  0.0001  0.720 C    13  1.97e-07  2.48e-07  5.11e-08  8.86e-07  1.82e-07  6.86e-01
 1.00 n  0.0001  0.720 C    14 -1.69e-11 -1.69e-11  0.00e+00 -6.03e-11  0.00e+00  0.00e+00
 1.00 n  0.0001  0.720 N    13  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0001  0.720 N    14  4.02e-06  5.57e-06  1.55e-06  1.99e-05  5.52e-06  5.56e-01
 1.00 n  0.0001  0.720 N    15  2.73e-10  6.38e-09  6.11e-09  2.28e-08  2.18e-08  1.89e-02
 1.00 n  0.0001  0.720 O    14  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0001  0.720 O    15  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0001  0.720 O    16  1.14e-05  2.48e-05  1.34e-05  8.86e-05  4.80e-05  2.66e-01
 1.00 n  0.0001  0.720 O    17  7.25e-08  7.80e-08  5.44e-09  2.78e-07  1.94e-08  1.16e+00
 1.00 n  0.0001  0.720 O    18 -4.26e-09  2.61e-08  3.03e-08  9.31e-08  1.08e-07 -6.58e-02
 1.00 n  0.0001  0.720 O    19  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0001  0.720 F    17  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
