#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ----- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol        M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0    lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- ----- ----- ---- --------- --------- --------- -----------
 1.00 0.0200 0.564    p -8.10e-03  2.92e-01  3.00e-01  4.36e-01
 1.00 0.0200 0.564   He  8.07e-03  1.36e-01  1.28e-01  4.36e-01
 1.00 0.0200 0.564    C -1.50e-04  1.19e-03  1.34e-03  4.36e-01
 1.00 0.0200 0.564    N  1.79e-04  6.63e-04  4.84e-04  4.36e-01
 1.00 0.0200 0.564    O -1.89e-06  4.20e-03  4.20e-03  4.36e-01
 1.00 0.0200 0.564    F  1.85e-10  1.77e-07  1.77e-07  4.36e-01
 1.00 0.0200 0.564   Ne -1.20e-07  7.66e-04  7.66e-04  4.36e-01
 1.00 0.0200 0.564   Mg  6.56e-10  2.88e-04  2.88e-04  4.36e-01
 1.00 0.0200 0.564   Si -9.92e-10  3.10e-04  3.10e-04  4.36e-01
 1.00 0.0200 0.564    S  3.75e-09  2.56e-04  2.56e-04  4.36e-01
 1.00 0.0200 0.564   Fe  1.09e-09  5.56e-04  5.56e-04  4.36e-01
 1.25 0.0200 0.574    p -1.23e-02  4.53e-01  4.65e-01  6.76e-01
 1.25 0.0200 0.574   He  1.22e-02  2.10e-01  1.98e-01  6.76e-01
 1.25 0.0200 0.574    C -4.24e-04  1.65e-03  2.07e-03  6.76e-01
 1.25 0.0200 0.574    N  5.03e-04  1.25e-03  7.51e-04  6.76e-01
 1.25 0.0200 0.574    O -4.31e-06  6.51e-03  6.51e-03  6.76e-01
 1.25 0.0200 0.574    F  1.27e-09  2.75e-07  2.74e-07  6.76e-01
 1.25 0.0200 0.574   Ne -2.36e-07  1.19e-03  1.19e-03  6.76e-01
 1.25 0.0200 0.574   Mg  4.44e-08  4.47e-04  4.47e-04  6.76e-01
 1.25 0.0200 0.574   Si  4.75e-08  4.81e-04  4.81e-04  6.76e-01
 1.25 0.0200 0.574    S  3.90e-08  3.97e-04  3.97e-04  6.76e-01
 1.25 0.0200 0.574   Fe  8.54e-08  8.62e-04  8.62e-04  6.76e-01
 1.50 0.0200 0.600    p -1.28e-02  6.06e-01  6.19e-01  9.00e-01
 1.50 0.0200 0.600   He  1.27e-02  2.76e-01  2.64e-01  9.00e-01
 1.50 0.0200 0.600    C -7.46e-04  2.02e-03  2.76e-03  9.00e-01
 1.50 0.0200 0.600    N  8.81e-04  1.88e-03  9.99e-04  9.00e-01
 1.50 0.0200 0.600    O -7.25e-06  8.66e-03  8.66e-03  9.00e-01
 1.50 0.0200 0.600    F  2.17e-09  3.67e-07  3.65e-07  9.00e-01
 1.50 0.0200 0.600   Ne -1.51e-06  1.58e-03  1.58e-03  9.00e-01
 1.50 0.0200 0.600   Mg  1.65e-10  5.95e-04  5.95e-04  9.00e-01
 1.50 0.0200 0.600   Si  9.98e-10  6.41e-04  6.41e-04  9.00e-01
 1.50 0.0200 0.600    S -7.01e-11  5.28e-04  5.28e-04  9.00e-01
 1.50 0.0200 0.600   Fe  4.04e-09  1.14e-03  1.14e-03  9.00e-01
 1.75 0.0200 0.615    p -1.18e-02  7.69e-01  7.81e-01  1.14e+00
 1.75 0.0200 0.615   He  1.16e-02  3.44e-01  3.33e-01  1.14e+00
 1.75 0.0200 0.615    C -1.06e-03  2.42e-03  3.48e-03  1.14e+00
 1.75 0.0200 0.615    N  1.25e-03  2.51e-03  1.26e-03  1.14e+00
 1.75 0.0200 0.615    O -4.89e-06  1.09e-02  1.09e-02  1.14e+00
 1.75 0.0200 0.615    F  2.58e-09  4.63e-07  4.60e-07  1.14e+00
 1.75 0.0200 0.615   Ne -4.05e-06  1.99e-03  1.99e-03  1.14e+00
 1.75 0.0200 0.615   Mg  2.64e-09  7.50e-04  7.50e-04  1.14e+00
 1.75 0.0200 0.615   Si  1.00e-09  8.08e-04  8.08e-04  1.14e+00
 1.75 0.0200 0.615    S  4.56e-10  6.66e-04  6.66e-04  1.14e+00
 1.75 0.0200 0.615   Fe  6.55e-10  1.45e-03  1.45e-03  1.14e+00
 1.90 0.0200 0.630    p -1.09e-02  8.63e-01  8.74e-01  1.27e+00
 1.90 0.0200 0.630   He  1.06e-02  3.83e-01  3.72e-01  1.27e+00
 1.90 0.0200 0.630    C -1.19e-03  2.71e-03  3.90e-03  1.27e+00
 1.90 0.0200 0.630    N  1.41e-03  2.81e-03  1.41e-03  1.27e+00
 1.90 0.0200 0.630    O -5.74e-06  1.22e-02  1.22e-02  1.27e+00
 1.90 0.0200 0.630    F  1.63e-09  5.17e-07  5.15e-07  1.27e+00
 1.90 0.0200 0.630   Ne -6.30e-06  2.22e-03  2.23e-03  1.27e+00
 1.90 0.0200 0.630   Mg  3.33e-10  8.40e-04  8.40e-04  1.27e+00
 1.90 0.0200 0.630   Si  6.80e-10  9.04e-04  9.04e-04  1.27e+00
 1.90 0.0200 0.630    S  6.55e-10  7.46e-04  7.46e-04  1.27e+00
 1.90 0.0200 0.630   Fe  3.15e-09  1.62e-03  1.62e-03  1.27e+00
 2.00 0.0200 0.640    p -1.02e-02  9.25e-01  9.35e-01  1.36e+00
 2.00 0.0200 0.640   He  9.97e-03  4.08e-01  3.99e-01  1.36e+00
 2.00 0.0200 0.640    C -1.29e-03  2.89e-03  4.18e-03  1.36e+00
 2.00 0.0200 0.640    N  1.52e-03  3.02e-03  1.51e-03  1.36e+00
 2.00 0.0200 0.640    O -8.26e-06  1.30e-02  1.31e-02  1.36e+00
 2.00 0.0200 0.640    F  7.94e-10  5.52e-07  5.52e-07  1.36e+00
 2.00 0.0200 0.640   Ne -7.71e-06  2.38e-03  2.38e-03  1.36e+00
 2.00 0.0200 0.640   Mg -5.08e-09  8.99e-04  8.99e-04  1.36e+00
 2.00 0.0200 0.640   Si  1.01e-10  9.69e-04  9.69e-04  1.36e+00
 2.00 0.0200 0.640    S  8.91e-11  7.98e-04  7.98e-04  1.36e+00
 2.00 0.0200 0.640   Fe  3.59e-10  1.73e-03  1.73e-03  1.36e+00
 2.25 0.0200 0.660    p -1.51e-02  1.08e+00  1.09e+00  1.59e+00
 2.25 0.0200 0.660   He  1.38e-02  4.80e-01  4.66e-01  1.59e+00
 2.25 0.0200 0.660    C -5.68e-04  4.32e-03  4.89e-03  1.59e+00
 2.25 0.0200 0.660    N  1.93e-03  3.69e-03  1.77e-03  1.59e+00
 2.25 0.0200 0.660    O -1.66e-04  1.52e-02  1.53e-02  1.59e+00
 2.25 0.0200 0.660    F  9.11e-08  7.36e-07  6.45e-07  1.59e+00
 2.25 0.0200 0.660   Ne  5.92e-05  2.85e-03  2.79e-03  1.59e+00
 2.25 0.0200 0.660   Mg  1.39e-07  1.05e-03  1.05e-03  1.59e+00
