#---Details of Columns:
#    M0 (solMass)          (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z0                    (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)          (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    Yield (solMass)       (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)       (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ----- ----- ---- --------- --------- --------- -----------
#M0                                                                 
#(sol        M1 (so     Yield     M(i)lost  M(i)0     M(i)lostall
#Mass) Z0    lMass) El  (solMass) (solMass) (solMass) (solMass)  
#----- ----- ----- ---- --------- --------- --------- -----------
 1.00 0.0040 0.564    p -8.14e-03  3.00e-01  0.00e+00  4.36e-01
 1.00 0.0040 0.564   He  8.14e-03  1.28e-01  0.00e+00  4.36e-01
 1.00 0.0040 0.564    C -3.86e-05  1.31e-03  0.00e+00  4.36e-01
 1.00 0.0040 0.564    N  4.98e-05  5.34e-04  0.00e+00  4.36e-01
 1.00 0.0040 0.564    O -4.76e-06  4.19e-03  0.00e+00  4.36e-01
 1.00 0.0040 0.564    F -2.90e-10  2.12e-07  0.00e+00  4.36e-01
 1.00 0.0040 0.564   Ne -1.75e-07  7.65e-04  0.00e+00  4.36e-01
 1.00 0.0040 0.564   Mg -4.22e-10  2.85e-04  0.00e+00  4.36e-01
 1.00 0.0040 0.564   Si -2.25e-11  3.07e-04  0.00e+00  4.36e-01
 1.00 0.0040 0.564    S -7.55e-11  1.60e-04  0.00e+00  4.36e-01
 1.00 0.0040 0.564   Fe  3.90e-10  8.05e-04  0.00e+00  4.36e-01
 1.20 0.0040 0.574    p -1.48e-02  4.28e-01  0.00e+00  6.26e-01
 1.20 0.0040 0.574   He  1.46e-02  1.86e-01  0.00e+00  6.26e-01
 1.20 0.0040 0.574    C  2.46e-05  1.95e-03  0.00e+00  6.26e-01
 1.20 0.0040 0.574    N  1.20e-04  8.15e-04  0.00e+00  6.26e-01
 1.20 0.0040 0.574    O -4.16e-06  6.02e-03  0.00e+00  6.26e-01
 1.20 0.0040 0.574    F  1.96e-09  3.07e-07  0.00e+00  6.26e-01
 1.20 0.0040 0.574   Ne  1.45e-06  1.10e-03  0.00e+00  6.26e-01
 1.20 0.0040 0.574   Mg -9.18e-09  4.10e-04  0.00e+00  6.26e-01
 1.20 0.0040 0.574   Si  1.09e-09  4.41e-04  0.00e+00  6.26e-01
 1.20 0.0040 0.574    S -4.57e-10  2.30e-04  0.00e+00  6.26e-01
 1.20 0.0040 0.574   Fe -6.49e-10  1.16e-03  0.00e+00  6.26e-01
 1.50 0.0040 0.600    p -2.17e-02  6.14e-01  0.00e+00  9.00e-01
 1.50 0.0040 0.600   He  1.98e-02  2.67e-01  0.00e+00  9.00e-01
 1.50 0.0040 0.600    C  1.71e-03  4.49e-03  0.00e+00  9.00e-01
 1.50 0.0040 0.600    N  2.04e-04  1.20e-03  0.00e+00  9.00e-01
 1.50 0.0040 0.600    O  2.88e-05  8.69e-03  0.00e+00  9.00e-01
 1.50 0.0040 0.600    F  4.84e-08  4.87e-07  0.00e+00  9.00e-01
 1.50 0.0040 0.600   Ne  3.49e-05  1.61e-03  0.00e+00  9.00e-01
 1.50 0.0040 0.600   Mg -3.80e-08  5.89e-04  0.00e+00  9.00e-01
 1.50 0.0040 0.600   Si  1.30e-08  6.34e-04  0.00e+00  9.00e-01
 1.50 0.0040 0.600    S -4.95e-09  3.31e-04  0.00e+00  9.00e-01
 1.50 0.0040 0.600   Fe -1.39e-08  1.66e-03  0.00e+00  9.00e-01
 1.80 0.0040 0.615    p -3.78e-02  8.00e-01  0.00e+00  1.19e+00
 1.80 0.0040 0.615   He  3.20e-02  3.57e-01  0.00e+00  1.19e+00
 1.80 0.0040 0.615    C  5.29e-03  8.94e-03  0.00e+00  1.19e+00
 1.80 0.0040 0.615    N  3.07e-04  1.62e-03  0.00e+00  1.19e+00
 1.80 0.0040 0.615    O  1.07e-04  1.15e-02  0.00e+00  1.19e+00
 1.80 0.0040 0.615    F  2.37e-07  8.15e-07  0.00e+00  1.19e+00
 1.80 0.0040 0.615   Ne  1.40e-04  2.22e-03  0.00e+00  1.19e+00
