#---Details of Columns:
#    M0 (solMass)          (F6.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Z/Zsun                (F7.2)  Initial metallicity [ucd=phys.abund.Z]
#    vel (km/s)            (F7.2)  Initial rotation [ucd=phys.mass]
#    M1 (solMass)          (F7.2)  Final mass (1) [ucd=phys.mass]
#    El                    (a4)    Species i (2) [ucd=phys.atmol.element]
#    M(i)lost (solMass)    (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)lostall (solMass) (D9.2)  Total mass lost in the wind [ucd=phys.mass]
#----- ------ ------ ------ ---- --------- -----------
#M0                                                                 
#(sol         vel    M1 (so      M(i)lost  M(i)lostall
#Mass) Z0     (km/s) lMass) El   (solMass) (solMass)  
#----- ------ ------ ------ ---- --------- -----------
 20.00 -10.00   0.00   1.88    p  8.77e+00  1.81e+01
 20.00 -10.00   0.00   1.88   He  5.96e+00  1.81e+01
 20.00 -10.00   0.00   1.88    C  1.90e-01  1.81e+01
 20.00 -10.00   0.00   1.88    N  5.43e-05  1.81e+01
 20.00 -10.00   0.00   1.88    O  2.03e+00  1.81e+01
 20.00 -10.00   0.00   1.88    F  2.12e-09  1.81e+01
 20.00 -10.00   0.00   1.88   Ne  7.50e-01  1.81e+01
 20.00 -10.00   0.00   1.88   Mg  1.66e-01  1.81e+01
 20.00 -10.00   0.00   1.88   Si  1.03e-01  1.81e+01
 20.00 -10.00   0.00   1.88    S  4.30e-02  1.81e+01
 20.00 -10.00   0.00   1.88   Fe  8.49e-02  1.81e+01
 25.00 -10.00   0.00   2.80    p  1.06e+01  2.22e+01
 25.00 -10.00   0.00   2.80   He  8.03e+00  2.22e+01
 25.00 -10.00   0.00   2.80    C  2.67e-01  2.22e+01
 25.00 -10.00   0.00   2.80    N  5.96e-04  2.22e+01
 25.00 -10.00   0.00   2.80    O  2.38e+00  2.22e+01
 25.00 -10.00   0.00   2.80    F  1.67e-09  2.22e+01
 25.00 -10.00   0.00   2.80   Ne  2.85e-01  2.22e+01
 25.00 -10.00   0.00   2.80   Mg  1.53e-01  2.22e+01
 25.00 -10.00   0.00   2.80   Si  2.31e-01  2.22e+01
 25.00 -10.00   0.00   2.80    S  9.20e-02  2.22e+01
 25.00 -10.00   0.00   2.80   Fe  9.94e-02  2.22e+01
 30.00 -10.00   0.00   3.27    p  1.17e+01  2.67e+01
 30.00 -10.00   0.00   3.27   He  9.54e+00  2.67e+01
 30.00 -10.00   0.00   3.27    C  3.16e-01  2.67e+01
 30.00 -10.00   0.00   3.27    N  4.20e-05  2.67e+01
 30.00 -10.00   0.00   3.27    O  3.92e+00  2.67e+01
 30.00 -10.00   0.00   3.27    F  7.88e-09  2.67e+01
 30.00 -10.00   0.00   3.27   Ne  5.20e-01  2.67e+01
 30.00 -10.00   0.00   3.27   Mg  2.17e-01  2.67e+01
 30.00 -10.00   0.00   3.27   Si  2.48e-01  2.67e+01
