#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-05-25T09:00:13 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5ecb88c81493 
#INFO -out.max=unlimited 
#INFO queryParameters=10 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-out.src=J/ApJS/237/13/table7
#-nav=cat:J/ApJS/237/13&tab:{J/ApJS/237/13/table7}&key:source=J/ApJS/237/13/table7&HTTPPRM:&&-ref=VIZ5ecb88c81493&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Vel&-out=[Fe/H]&-out=Mass&-out=Ebind&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/237/13/table7
#-source=J/ApJS/237/13/table7
#-out=Vel
#-out=[Fe/H]
#-out=Mass
#-out=Ebind
#

#RESOURCE=yCat_22370013
#Name: J/ApJS/237/13
#Title: Models and yields of 13-120M_{sun}_ massive stars (Limongi+, 2018)
#Table J_ApJS_237_13_table7:
#Name: J/ApJS/237/13/table7
#Title: Properties of the presupernova models
#---Details of Columns:
    Vel (km/s)     (I3)    [0/300] Velocity [ucd=phys.veloc;meta.modelled]
    [Fe/H] ([Sun]) (I2)    [-3/0] Metallicity [ucd=phys.abund.Z]
    Mass (Msun)    (I3)    [13/120] Initial mass [ucd=phys.mass]
    Ebind (10+44J) (F5.2)  [0.6/47.6] Binding energy; 1e+51erg (2) [ucd=phys.energy]
--- -- --- -----
    [F          
    e/          
    H]          
V   (  Ma       
el  [S ss  Ebin 
(km un (Ms d (10
/s) ]) un) +44J)
--- -- --- -----
  0  0  13  0.65
  0  0  15  0.95
  0  0  20  2.00
  0  0  25  2.24
  0  0  30  4.75
  0  0  40  6.17
  0  0  60  9.28
  0  0  80 15.80
  0  0 120 22.61
150  0  13  1.70
150  0  15  1.26
150  0  20  3.30
150  0  25  3.46
150  0  30  3.98
150  0  40  5.81
150  0  60 11.73
150  0  80 18.94
150  0 120 21.52
300  0  13  1.89
300  0  15  1.36
300  0  20  3.65
300  0  25  3.57
300  0  30  4.05
300  0  40  5.95
300  0  60  9.08
300  0  80  9.74
300  0 120 11.44
  0 -1  13  1.08
  0 -1  15  1.33
  0 -1  20  1.79
  0 -1  25  4.02
  0 -1  30  4.45
  0 -1  40  6.59
  0 -1  60 17.97
  0 -1  80 37.91
150 -1  13  1.71
150 -1  15  2.22
150 -1  20  3.40
150 -1  25  3.87
150 -1  30  6.58
150 -1  40 14.42
150 -1  60 19.52
150 -1  80 39.73
300 -1  13  1.67
300 -1  15  1.84
300 -1  20  3.33
300 -1  25  5.17
300 -1  30  8.58
300 -1  40 13.78
300 -1  60 21.07
300 -1  80 27.42
300 -1 120 47.54
  0 -2  13  0.85
  0 -2  15  1.70
  0 -2  20  1.83
  0 -2  25  2.54
  0 -2  30  3.96
  0 -2  40  7.39
  0 -2  60 19.15
  0 -2  80 34.51
150 -2  13  1.67
150 -2  15  1.84
150 -2  20  3.30
150 -2  25  4.72
150 -2  30  8.52
150 -2  40 14.62
150 -2  60 36.65
300 -2  13  1.46
300 -2  15  2.02
300 -2  20  5.27
300 -2  25  6.21
300 -2  30  7.75
300 -2  40 15.68
300 -2  60 41.22
  0 -3  13  1.30
  0 -3  15  1.45
  0 -3  20  1.86
  0 -3  25  2.89
  0 -3  30  4.16
  0 -3  40  8.61
  0 -3  60 21.97
  0 -3  80 36.37
150 -3  13  1.89
150 -3  15  2.55
150 -3  20  3.12
150 -3  25  4.59
150 -3  30  8.22
150 -3  40 18.08
150 -3  60 45.98
300 -3  13  2.37
300 -3  15  1.88
300 -3  20  3.26
300 -3  25  6.45
300 -3  30  9.63
300 -3  40 17.79
300 -3  60 34.61

#END#  -ref=VIZ5ecb88c81493 ===========================================================================================================================================================================================================================================================================================
