Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains:
f(x) = 5.738665e-02x^5 + -1.972187e+00x^4 + 2.687958e+01x^3 + -1.822488e+02x^2 + 6.173319e+02x^1 + -8.459550e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.123324e+04, 0.000000e+00
1.261857e+04, 0.000000e+00
1.417474e+04, 0.000000e+00
1.592283e+04, 0.000000e+00
1.788650e+04, 0.000000e+00
2.009233e+04, 8.056235e-15
2.257020e+04, 3.586247e-14
2.535364e+04, 1.388838e-13
2.848036e+04, 4.744841e-13
3.199267e+04, 1.449115e-12
3.593814e+04, 4.001886e-12
4.037017e+04, 1.009738e-11
4.534879e+04, 2.346140e-11
5.094138e+04, 5.058534e-11
5.722368e+04, 1.018012e-10
6.428073e+04, 1.921103e-10
7.220809e+04, 3.411504e-10
8.111308e+04, 6.166595e-10
9.111628e+04, 1.019710e-09
1.023531e+05, 1.621290e-09
1.149757e+05, 2.487911e-09
1.291550e+05, 3.696818e-09
1.450829e+05, 5.334971e-09
1.629751e+05, 7.497251e-09
1.830738e+05, 1.028438e-08
2.056512e+05, 1.379981e-08
2.310130e+05, 1.814572e-08
2.595024e+05, 2.341552e-08
2.915053e+05, 2.968508e-08
3.274549e+05, 3.705109e-08
3.678380e+05, 4.602307e-08
4.132012e+05, 5.612349e-08
4.641589e+05, 6.769900e-08
5.214008e+05, 8.088406e-08
5.857021e+05, 9.584480e-08
6.579332e+05, 1.127910e-07
7.390722e+05, 1.320101e-07
8.302176e+05, 1.538636e-07
9.326033e+05, 1.788114e-07
1.047616e+06, 2.073950e-07
1.176812e+06, 2.401901e-07
1.321941e+06, 2.782248e-07
1.484968e+06, 3.250623e-07
1.668101e+06, 3.781094e-07
1.873817e+06, 4.400500e-07
2.104904e+06, 5.118792e-07
2.364489e+06, 5.942575e-07
2.656088e+06, 6.872730e-07
2.983647e+06, 7.902545e-07
3.351603e+06, 9.015748e-07
