Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains (0.0100 microns):
f(x) = -1.23011683e-02x^6 + 5.47237891e-01x^5 + -1.00148330e+01x^4 + 9.65438468e+01x^3 + -5.17901524e+02x^2 + 1.47005987e+03x^1 + -1.73821405e+03x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.071891e+04, 0.000000e+00
1.148951e+04, 0.000000e+00
1.231551e+04, 2.126429e-18
1.320088e+04, 8.566777e-18
1.414991e+04, 3.177168e-17
1.516717e+04, 1.108547e-16
1.625756e+04, 3.525747e-16
1.742633e+04, 1.047682e-15
1.867914e+04, 2.920676e-15
2.002200e+04, 7.667559e-15
2.146141e+04, 1.902176e-14
2.300430e+04, 4.473285e-14
2.465811e+04, 1.000044e-13
2.643081e+04, 2.131297e-13
2.833096e+04, 4.338246e-13
3.036771e+04, 8.454079e-13
3.255089e+04, 1.580367e-12
3.489101e+04, 2.839155e-12
3.739937e+04, 4.915113e-12
4.008806e+04, 8.197409e-12
4.297005e+04, 1.320480e-11
4.605922e+04, 2.057666e-11
4.937048e+04, 3.243119e-11
5.291979e+04, 6.459775e-11
5.672426e+04, 9.802025e-11
6.080224e+04, 1.456186e-10
6.517340e+04, 2.120629e-10
6.985880e+04, 3.031073e-10
7.488104e+04, 4.256813e-10
8.026434e+04, 5.880053e-10
8.603464e+04, 7.996656e-10
9.221979e+04, 1.071669e-09
9.884959e+04, 1.416386e-09
1.059560e+05, 1.847836e-09
1.135733e+05, 2.381208e-09
1.217383e+05, 3.033014e-09
1.304902e+05, 3.820839e-09
1.398713e+05, 4.763053e-09
1.499268e+05, 5.878384e-09
1.607053e+05, 7.185302e-09
1.722586e+05, 8.701312e-09
1.846425e+05, 1.044178e-08
1.979167e+05, 1.241880e-08
2.121452e+05, 1.487625e-08
2.273966e+05, 1.750742e-08
2.437444e+05, 2.046821e-08
2.612675e+05, 2.378225e-08
2.800504e+05, 2.747103e-08
3.001836e+05, 3.155643e-08
3.217642e+05, 3.606024e-08
3.448962e+05, 4.100428e-08
3.696913e+05, 4.641070e-08
3.962689e+05, 5.230231e-08
4.247572e+05, 5.870260e-08
4.552935e+05, 6.563792e-08
4.880252e+05, 7.313562e-08
5.231099e+05, 8.122593e-08
5.607170e+05, 8.994184e-08
6.010277e+05, 9.931548e-08
6.442364e+05, 1.093895e-07
6.905514e+05, 1.201966e-07
7.401960e+05, 1.317679e-07
7.934097e+05, 1.441255e-07
8.504489e+05, 1.586729e-07
9.115888e+05, 1.735842e-07
9.771242e+05, 1.897826e-07
1.047371e+06, 2.074187e-07
1.122668e+06, 2.266685e-07
1.203378e+06, 2.477231e-07
1.289890e+06, 2.707948e-07
1.382622e+06, 2.961133e-07
1.482021e+06, 3.239217e-07
1.588565e+06, 3.544593e-07
1.702769e+06, 3.879992e-07
1.825183e+06, 4.247714e-07
1.956398e+06, 4.649932e-07
2.097046e+06, 5.088438e-07
2.247806e+06, 5.564472e-07
2.409404e+06, 6.078544e-07
2.582619e+06, 6.630183e-07
2.768287e+06, 7.218009e-07
2.967302e+06, 7.839227e-07
3.180626e+06, 8.489746e-07
3.409285e+06, 9.172782e-07
3.654383e+06, 9.869412e-07
3.917101e+06, 1.057705e-06
4.198707e+06, 1.128786e-06
4.500558e+06, 1.199225e-06
4.824109e+06, 1.268041e-06
5.170920e+06, 1.334229e-06
5.542665e+06, 1.396791e-06
5.941134e+06, 1.454768e-06
6.368250e+06, 1.507272e-06
6.826072e+06, 1.553491e-06
7.316807e+06, 1.592781e-06
7.842822e+06, 1.624587e-06
8.406653e+06, 1.648512e-06
9.011018e+06, 1.664315e-06
9.658832e+06, 1.671877e-06
1.035322e+07, 1.671324e-06
1.109752e+07, 1.662819e-06
1.189534e+07, 1.646686e-06
1.275051e+07, 1.623359e-06
1.366716e+07, 1.593415e-06
1.464971e+07, 1.557327e-06
1.570290e+07, 1.515846e-06
1.683180e+07, 1.469593e-06
1.804186e+07, 1.419377e-06
1.933892e+07, 1.365863e-06
2.072922e+07, 1.309749e-06
2.221947e+07, 1.251710e-06
2.381686e+07, 1.192383e-06
2.552908e+07, 1.132264e-06
2.736440e+07, 1.072096e-06
2.933166e+07, 1.012272e-06
3.144035e+07, 9.532252e-07
3.370064e+07, 8.953347e-07
3.612343e+07, 8.389218e-07
3.872039e+07, 7.842543e-07
4.150405e+07, 7.314729e-07
4.448783e+07, 6.808983e-07
4.768612e+07, 6.325787e-07
5.111433e+07, 5.865987e-07
