Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains:
f(x) = -1.20965055e-02x^6 + 5.38583582e-01x^5 + -9.86442434e+00x^4 + 9.51693713e+01x^3 + -5.10939305e+02x^2 + 1.45153191e+03x^1 + -1.71798027e+03x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.149757e+04, 0.000000e+00
1.321941e+04, 8.803695e-18
1.519911e+04, 1.149300e-16
1.747528e+04, 1.093315e-15
2.009233e+04, 8.038286e-15
2.310130e+04, 4.703443e-14
2.656088e+04, 2.244450e-13
3.053856e+04, 8.905963e-13
3.511192e+04, 2.988752e-12
4.037017e+04, 8.615191e-12
4.641589e+04, 2.157341e-11
5.336699e+04, 6.802646e-11
6.135907e+04, 1.531567e-10
7.054802e+04, 3.183511e-10
8.111308e+04, 6.166482e-10
9.326033e+04, 1.122114e-09
1.072267e+05, 1.931732e-09
1.232847e+05, 3.165604e-09
1.417474e+05, 4.963098e-09
1.629751e+05, 7.474168e-09
1.873817e+05, 1.084103e-08
2.154435e+05, 1.543352e-08
2.477076e+05, 2.120582e-08
2.848036e+05, 2.842409e-08
3.274549e+05, 3.726619e-08
3.764936e+05, 4.790988e-08
4.328761e+05, 6.053964e-08
4.977024e+05, 7.536195e-08
5.722368e+05, 9.261804e-08
6.579332e+05, 1.125848e-07
7.564633e+05, 1.355514e-07
8.697490e+05, 1.633594e-07
1.000000e+06, 1.954925e-07
1.149757e+06, 2.336838e-07
1.321941e+06, 2.794745e-07
1.519911e+06, 3.346862e-07
1.747528e+06, 4.013482e-07
2.009233e+06, 4.813828e-07
2.310130e+06, 5.762386e-07
2.656088e+06, 6.863389e-07
3.053856e+06, 8.105269e-07
3.511192e+06, 9.466317e-07
4.037017e+06, 1.088582e-06
4.641589e+06, 1.230053e-06
5.336699e+06, 1.363154e-06
6.135907e+06, 1.479872e-06
7.054802e+06, 1.573020e-06
8.111308e+06, 1.637160e-06
9.326033e+06, 1.669066e-06
1.072267e+07, 1.667970e-06
1.232847e+07, 1.635499e-06
1.417474e+07, 1.575128e-06
1.629751e+07, 1.491615e-06
1.873817e+07, 1.390512e-06
2.154435e+07, 1.277662e-06
2.477076e+07, 1.158344e-06
2.848036e+07, 1.037544e-06
3.274549e+07, 9.191124e-07
3.764936e+07, 8.060843e-07
4.328761e+07, 7.005282e-07
4.977024e+07, 6.039396e-07
5.722368e+07, 5.171029e-07
6.579332e+07, 4.399381e-07
7.564633e+07, 3.720002e-07
8.697490e+07, 3.129560e-07
1.000000e+08, 2.621001e-07
1.149757e+08, 2.186489e-07
1.321941e+08, 1.817545e-07
1.519911e+08, 1.506208e-07
1.747528e+08, 1.244250e-07
2.009233e+08, 1.025877e-07
2.310130e+08, 8.440757e-08
2.656088e+08, 6.932767e-08
3.053856e+08, 5.684731e-08
3.511192e+08, 4.654883e-08
4.037017e+08, 3.808558e-08
4.641589e+08, 3.111524e-08
5.336699e+08, 2.539705e-08
6.135907e+08, 2.071296e-08
7.054802e+08, 1.688073e-08
8.111308e+08, 1.374920e-08
9.326033e+08, 1.118738e-08
1.072267e+09, 9.101749e-09
1.232847e+09, 7.402844e-09
1.417474e+09, 6.018923e-09
1.629751e+09, 4.892214e-09
1.873817e+09, 3.975695e-09
2.154435e+09, 3.229849e-09
2.477076e+09, 2.622051e-09
2.848036e+09, 2.129340e-09
3.274549e+09, 1.728949e-09
3.764936e+09, 1.403658e-09
4.328761e+09, 1.139458e-09
4.977024e+09, 9.248751e-10
5.722368e+09, 7.506363e-10
6.579332e+09, 6.094001e-10
7.564633e+09, 4.945235e-10
8.697490e+09, 4.012787e-10
1.000000e+10, 3.255993e-10
======================
Polynomial Coefficients largeC grains:
f(x) = -3.26536158e-03x^6 + 1.67447688e-01x^5 + -3.50418200e+00x^4 + 3.83327046e+01x^3 + -2.31671058e+02x^2 + 7.35897040e+02x^1 + -9.70212072e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.149757e+04, 0.000000e+00
1.321941e+04, 8.803694e-18
1.519911e+04, 1.149300e-16
1.747528e+04, 1.093315e-15
2.009233e+04, 8.038283e-15
2.310130e+04, 4.703440e-14
2.656088e+04, 2.244448e-13
3.053856e+04, 8.905956e-13
3.511192e+04, 2.988749e-12
4.037017e+04, 8.615181e-12
4.641589e+04, 2.157339e-11
5.336699e+04, 6.802599e-11
6.135907e+04, 1.531550e-10
7.054802e+04, 3.183453e-10
8.111308e+04, 6.166295e-10
9.326033e+04, 1.122057e-09
1.072267e+05, 1.931569e-09
1.232847e+05, 3.165162e-09
1.417474e+05, 4.961976e-09
1.629751e+05, 7.471521e-09
1.873817e+05, 1.083528e-08
2.154435e+05, 1.541625e-08
2.477076e+05, 2.116688e-08
2.848036e+05, 2.833932e-08
3.274549e+05, 3.708796e-08
3.764936e+05, 4.754754e-08
4.328761e+05, 5.982699e-08
4.977024e+05, 7.400598e-08
5.722368e+05, 9.012514e-08
6.579332e+05, 1.081685e-07
7.564633e+05, 1.280432e-07
8.697490e+05, 1.501632e-07
1.000000e+06, 1.738498e-07
1.149757e+06, 1.991832e-07
1.321941e+06, 2.260018e-07
1.519911e+06, 2.541008e-07
1.747528e+06, 2.832765e-07
2.009233e+06, 3.132798e-07
2.310130e+06, 3.438495e-07
2.656088e+06, 3.746907e-07
3.053856e+06, 4.054535e-07
3.511192e+06, 4.366438e-07
4.037017e+06, 4.671810e-07
4.641589e+06, 4.973283e-07
5.336699e+06, 5.270792e-07
6.135907e+06, 5.565851e-07
7.054802e+06, 5.861771e-07
8.111308e+06, 6.164287e-07
9.326033e+06, 6.481363e-07
1.072267e+07, 6.822797e-07
1.232847e+07, 7.199334e-07
1.417474e+07, 7.651783e-07
1.629751e+07, 8.167809e-07
1.873817e+07, 8.775052e-07
2.154435e+07, 9.486203e-07
2.477076e+07, 1.030515e-06
2.848036e+07, 1.122433e-06
3.274549e+07, 1.221970e-06
3.764936e+07, 1.325082e-06
4.328761e+07, 1.426251e-06
4.977024e+07, 1.519085e-06
5.722368e+07, 1.597184e-06
6.579332e+07, 1.654378e-06
7.564633e+07, 1.686442e-06
8.697490e+07, 1.690833e-06
