Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains (0.0100 microns):
f(x) = -1.19072860e-02x^6 + 5.31262797e-01x^5 + -9.75119978e+00x^4 + 9.42766571e+01x^3 + -5.07163026e+02x^2 + 1.44345239e+03x^1 + -1.71123716e+03x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.071891e+04, 0.000000e+00
1.148951e+04, 0.000000e+00
1.231551e+04, 2.126429e-18
1.320088e+04, 8.566778e-18
1.414991e+04, 3.177169e-17
1.516717e+04, 1.108547e-16
1.625756e+04, 3.525749e-16
1.742633e+04, 1.047683e-15
1.867914e+04, 2.920680e-15
2.002200e+04, 7.667578e-15
2.146141e+04, 1.902183e-14
2.300430e+04, 4.473310e-14
2.465811e+04, 1.000052e-13
2.643081e+04, 2.131321e-13
2.833096e+04, 4.338310e-13
3.036771e+04, 8.454242e-13
3.255089e+04, 1.580405e-12
3.489101e+04, 2.839241e-12
3.739937e+04, 4.915292e-12
4.008806e+04, 8.197761e-12
4.297005e+04, 1.320546e-11
4.605922e+04, 2.057784e-11
4.937048e+04, 3.248178e-11
5.291979e+04, 6.469812e-11
5.672426e+04, 9.821172e-11
6.080224e+04, 1.459721e-10
6.517340e+04, 2.126946e-10
6.985880e+04, 3.042015e-10
7.488104e+04, 4.275228e-10
8.026434e+04, 5.910213e-10
8.603464e+04, 8.044808e-10
9.221979e+04, 1.079175e-09
9.884959e+04, 1.427825e-09
1.059560e+05, 1.864905e-09
1.135733e+05, 2.406174e-09
1.217383e+05, 3.068847e-09
1.304902e+05, 3.871358e-09
1.398713e+05, 4.833077e-09
1.499268e+05, 5.973864e-09
1.607053e+05, 7.313455e-09
1.722586e+05, 8.870709e-09
1.846425e+05, 1.066238e-08
1.979167e+05, 1.271144e-08
2.121452e+05, 1.525130e-08
2.273966e+05, 1.798295e-08
2.437444e+05, 2.106512e-08
2.612675e+05, 2.452445e-08
2.800504e+05, 2.838571e-08
3.001836e+05, 3.267429e-08
3.217642e+05, 3.741571e-08
3.448962e+05, 4.263582e-08
3.696913e+05, 4.836095e-08
3.962689e+05, 5.461863e-08
4.247572e+05, 6.143720e-08
4.552935e+05, 6.884829e-08
4.880252e+05, 7.688492e-08
5.231099e+05, 8.558347e-08
5.607170e+05, 9.498348e-08
6.010277e+05, 1.051240e-07
6.442364e+05, 1.160549e-07
6.905514e+05, 1.278159e-07
7.401960e+05, 1.404449e-07
7.934097e+05, 1.539694e-07
8.504489e+05, 1.699743e-07
9.115888e+05, 1.864056e-07
9.771242e+05, 2.043086e-07
1.047371e+06, 2.238579e-07
1.122668e+06, 2.452578e-07
1.203378e+06, 2.687318e-07
1.289890e+06, 2.945293e-07
1.382622e+06, 3.229217e-07
1.482021e+06, 3.541985e-07
1.588565e+06, 3.886500e-07
1.702769e+06, 4.266052e-07
1.825183e+06, 4.683523e-07
1.956398e+06, 5.141690e-07
2.097046e+06, 5.642954e-07
2.247806e+06, 6.189113e-07
2.409404e+06, 6.781246e-07
2.582619e+06, 7.419298e-07
2.768287e+06, 8.102193e-07
2.967302e+06, 8.827261e-07
3.180626e+06, 9.590315e-07
3.409285e+06, 1.039987e-06
3.654383e+06, 1.122883e-06
3.917101e+06, 1.207746e-06
4.198707e+06, 1.293739e-06
4.500558e+06, 1.379824e-06
4.824109e+06, 1.464929e-06
5.170920e+06, 1.547940e-06
5.542665e+06, 1.627739e-06
5.941134e+06, 1.703222e-06
6.368250e+06, 1.773375e-06
6.826072e+06, 1.837225e-06
7.316807e+06, 1.893969e-06
7.842822e+06, 1.942887e-06
8.406653e+06, 1.983418e-06
9.011018e+06, 2.015151e-06
9.658832e+06, 2.037804e-06
1.035322e+07, 2.051340e-06
1.109752e+07, 2.055771e-06
1.189534e+07, 2.051275e-06
1.275051e+07, 2.038156e-06
1.366716e+07, 2.016936e-06
1.464971e+07, 1.987907e-06
1.570290e+07, 1.951770e-06
1.683180e+07, 1.909104e-06
1.804186e+07, 1.860692e-06
1.933892e+07, 1.807195e-06
2.072922e+07, 1.749335e-06
2.221947e+07, 1.687832e-06
2.381686e+07, 1.623390e-06
2.552908e+07, 1.556584e-06
2.736440e+07, 1.488278e-06
2.933166e+07, 1.418975e-06
3.144035e+07, 1.349239e-06
3.370064e+07, 1.279593e-06
3.612343e+07, 1.210462e-06
3.872039e+07, 1.142336e-06
4.150405e+07, 1.075470e-06
4.448783e+07, 1.010330e-06
4.768612e+07, 9.471058e-07
5.111433e+07, 8.860153e-07
