Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains:
f(x) = 5.725e-02x^5 + -1.968e+00x^4 + 2.683e+01x^3 + -1.820e+02x^2 + 6.166e+02x^1 + -8.452e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.123324e+04, 0.000000e+00
1.261857e+04, 0.000000e+00
1.417474e+04, 0.000000e+00
1.592283e+04, 0.000000e+00
1.788650e+04, 0.000000e+00
2.009233e+04, 8.056241e-15
2.257020e+04, 3.586253e-14
2.535364e+04, 1.388843e-13
2.848036e+04, 4.744878e-13
3.199267e+04, 1.449138e-12
3.593814e+04, 4.001998e-12
4.037017e+04, 1.009785e-11
4.534879e+04, 2.346313e-11
5.094138e+04, 5.059089e-11
5.722368e+04, 1.018170e-10
6.428073e+04, 1.921501e-10
7.220809e+04, 3.412410e-10
8.111308e+04, 6.169515e-10
9.111628e+04, 1.020337e-09
1.023531e+05, 1.622552e-09
1.149757e+05, 2.490312e-09
1.291550e+05, 3.701154e-09
1.450829e+05, 5.342446e-09
1.629751e+05, 7.509606e-09
1.830738e+05, 1.030404e-08
2.056512e+05, 1.383004e-08
2.310130e+05, 1.819075e-08
2.595024e+05, 2.348066e-08
2.915053e+05, 2.977675e-08
3.274549e+05, 3.717903e-08
3.678380e+05, 4.619640e-08
4.132012e+05, 5.635408e-08
4.641589e+05, 6.800087e-08
5.214008e+05, 8.127366e-08
5.857021e+05, 9.634146e-08
6.579332e+05, 1.134176e-07
7.390722e+05, 1.327936e-07
8.302176e+05, 1.548366e-07
9.326033e+05, 1.800129e-07
1.047616e+06, 2.088718e-07
1.176812e+06, 2.419976e-07
1.321941e+06, 2.804552e-07
1.484968e+06, 3.277971e-07
1.668101e+06, 3.814616e-07
1.873817e+06, 4.441567e-07
2.104904e+06, 5.169031e-07
2.364489e+06, 6.003864e-07
2.656088e+06, 6.947177e-07
2.983647e+06, 7.992418e-07
3.351603e+06, 9.123387e-07
