3A,,3.67A,,4.48A,,5.47A,,6.68A,
X,Y,X,Y,X,Y,X,Y,X,Y
0.01063764854316313,1.7240868515129409e-9,0.011142428752325104,0.000014142872768440368,0.011671161911100675,160.06673089593986,23.39524064744828,7070699.258721259,722870.3350949581,7070699.258721259
0.014049180968354592,1.4142872768440369e-9,0.016145581502618366,0.00000951688066627356,0.015414145817536437,118.9238107716044,33.90012833314503,3201668.359362326,757172.1488337431,2626363.5276533356
0.022335377063851233,8.619535664753068e-10,0.024505397127942575,0.0000064040042711973095,0.024505397127942575,72.47947748081384,59.130572049939865,1077105.0560367713,911447.2598521175,400083.40492444887
0.035508765223261136,5.800171836601367e-10,0.04912190125853851,0.0000032016683593623263,0.04689655486926548,40.0083404924448,108.03315190764677,297247.5471559787,1047452.2360006364,82031.09232014357
0.05389439786840601,3.534981105030124e-10,0.10313897683787221,0.0000014497406703726346,0.10313897683787221,16.40792882413993,179.90099155778313,110410.59561003903,1383373.9627296194,8408.745006670906
0.07455610674814366,2.626363527653346e-10,0.21655612406317568,7.247947748081385e-7,0.21655612406317568,8.203109232014373,414.42854818394187,22638.034095214512,1913723.5207582584,353.49811050301093
0.11315956652786067,1.767306309557263e-10,0.4546928455862407,3.6235961115318124e-7,0.4546928455862407,4.101127070551312,757.1721488337407,6897.785379387672,2527461.5867817323,24.383540982688316
0.15654199796841278,1.3130448779508364e-10,0.9546974703287516,1.6407928824139963e-7,0.8701563933188907,2.0503497848313534,2527.4615867817297,525.327465589178,3496424.5509531368,1.1317837154918573
,,2.004533980905242,8.203109232014389e-8,2.4129611832536098,0.761588592128412,6098.666701068894,88.35610429024561,5066382.636136659,0.0525327465589178
,,4.018156480603804,3.714432521527319e-8,4.408545241834125,0.4203934240157977,16911.72544644807,12.190499622963596,7341280.397070115,0.003623596111531812
,,8.436736721624852,1.857022664811099e-8,7.689640567018708,0.23205524975343497,37193.73553072647,2.0503497848313534,9256417.88971283,0.0006729100107235916
,,18.55480420138844,8.408745006670905e-9,14.049180968354593,0.11601553017399763,108033.15190764665,0.23205524975343497,,
,,38.95866144687557,4.203934240157977e-9,25.668233015746917,0.0640400427119731,344280.7589518628,0.016006673089593984,,
,,81.79969377519475,1.903574561589807e-9,42.74373643209659,0.03902993692766083,1047452.2360006364,0.0012190499622963572,,
,,171.75102154985,9.5168806662736e-10,74.55610674814373,0.019512934226359663,2412961.183253617,0.00009284145445194763,,
,,360.61765077612296,4.3093185828053076e-10,149.45024946065254,0.008002502278161069,3662337.7139033843,0.000003902993692766083,,
,,722.8703350949573,2.1544346900318954e-10,286.0064575760388,0.003281927872511484,4836862.686437171,7.247947748081385e-7,,
,,1320.7036227366298,1.189238107716039e-10,547.3372849520146,0.0012190499622963572,7689640.567018732,5.519954321281573e-8,,
,,,,999.999999999999,0.00041011270705513213,9256417.88971283,2.75968946102349e-8,,
,,,,1744.2580591096632,0.00015233359765771828,,,,
,,,,3186.80657624591,0.00005124805876960947,,,,
,,,,5558.613053440597,0.000017240868515129337,,,,
,,,,9695.655615935904,0.000005800171836601367,,,,
,,,,17714.22463351089,0.0000017673063095572557,,,,
,,,,29498.413403417104,5.945570708544407e-7,,,,
,,,,51452.84530985853,2.0002085014429132e-7,,,,
,,,,89747.04009584349,6.094614443529072e-8,,,,
,,,,156541.99796841358,2.0503497848313533e-8,,,,
,,,,273049.6415455325,6.897785379387672e-9,,,,
,,,,476269.0378027994,2.101748011332496e-9,,,,
,,,,830736.1074919403,6.404004271197309e-10,,,,
,,,,1383373.9627296194,1.9512934226359744e-10,,,,
,,,,1827027.0041765452,1.189238107716039e-10,,,,
